indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,3,ZWE-dpi.govtech-smart-zimbabwe-2030-master-plan,,,,,,,2026-08-31,0,Smart Zimbabwe 2030 master plan adopted with pillars; no costed plan or M&E report on record,
gov.policy--ict-strategy,3,ZWE-gov.policy-ict-policy-2022-2027,,,,,,,2026-08-31,0,ICT Policy 2022-2027 signed and published; no implementation plan or reporting against it on record,
gov.policy--broadband-strategy,,,,,,,,,2026-08-31,0,Unplaced: rows show a telecoms amendment bill and an ownership rule; no broadband plan and no cited absence,
gov.policy--data-storage-cloud-strategy,2,ZWE-infra.store-sovereign-cloud,,,,,,,2026-08-31,0,Sovereign cloud provided for in the AI strategy only; no hosting policy instrument; strategy lacks legal force,
gov.policy--data-interoperability-framework-roadmap,2,ZWE-dpi.exchange-government-interoperability-framework|ZWE-gov.standards-government-service-bus,,,,,,,2026-08-31,0,Enterprise architecture blueprint handed over May 2026; no published interoperability framework,
gov.policy--ai-strategy,3,ZWE-gov.policy-ai-strategy-2026-2030,,,,,,,2026-08-31,0,Adopted and published; AI council and implementation office not constituted; no financing envelope,
gov.policy--data-localisation-policies,3,ZWE-gov.policy-data-localisation-rule-sensitive-systems,,,,,,,2026-08-31,0,Regulator guideline localises core banking and critical financial systems; no application or exemption decision on record,
gov.policy--data-governance-policy,,,,,,,,,2026-08-31,0,Unplaced: only a planned data agency and AI regulatory committee in the AI strategy; no national data policy on record,
gov.policy--open-data-policy,2,ZWE-data.statistics-open-data-portal,,,,,,,2026-08-31,0,Statistics agency portal publishing with no open data policy behind it; data commons only announced,
gov.legislate--data-protection-legislation,4,ZWE-gov.legislate-cyber-data-protection-act|ZWE-gov.legislate-statutory-instrument-155-2024-data|ZWE-gov.legislate-regulatory-notice-1-2026,,,,,,,2026-08-31,0,Act in force with licensing regulations and a regulator warning notice; Malabo ratification not on record,
gov.legislate--cybersecurity-legislation,3,ZWE-gov.legislate-cyber-data-protection-act|ZWE-gov.legislate-criminal-law-code-cybercrime-offences,,,,,,,2026-08-31,0,Act and code offences in force; cyber security centre operation and cybersecurity authority not on record,
gov.legislate--legislation-covering-digital-id,3,ZWE-gov.legislate-national-registration-act,,,,,,,2026-08-31,0,National Registration Act in force; no digital-ID law and no data-protection linkage or grievance provisions on record,
