fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,proposed,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,2024,line,PROCUREMENT OF E-BORDER SOLUTION FOR NIGERUIA IMMIGRATION SERVICE (MULTILATERAL/BILATERAL PROJECT TIED LOAN),0124003001/ERGP14212350,dpi.govtech,whole,external-loan,NGN,"naira, full units as printed; no scale factor",52500000000,52500000000,,"2024 Appropriation Bill (Details), PDF p. 382; 2024 Appropriation Act (scan), PDF p. 306; MDA 0124003001, project ERGP14212350",2024-01-01-nga-2024-0156001001,2026-09-25,E-border solution for the immigration service; the line names the loan as tied and names no lender.
2024,2024,line,NIGERIA IDENTIFICATION FOR DEVELOPMENT (ID4D) PROJECT (MULTILATERAL/BILATERAL PROJECT TIED LOAN),0161005001/ERGP29211704,dpi.id,whole,external-loan,NGN,"naira, full units as printed; no scale factor",9527358795,9527358795,,"2024 Appropriation Bill (Details), PDF p. 501; 2024 Appropriation Act (scan), PDF p. 385; MDA 0161005001, project ERGP29211704",2024-01-01-nga-2024-0156001001,2026-09-25,Nigeria ID4D project inside NIMC's vote; the line names the loan as tied and names no lender. Taken out of the NIMC row.
2024,2024,line,NATIONAL INFORMATION COMMUNICATION TECHNOLOGY INFRASTRUCTURE BACKBONE (NICTIB) PHASE 11 PROJECT (MULTILATERAL/BILATERAL PROJECT TIOED LOAN),0220001001/ERGP30211730,infra.connect,whole,external-loan,NGN,"naira, full units as printed; no scale factor",43500000000,43500000000,,"2024 Appropriation Bill (Details), PDF p. 682; 2024 Appropriation Act (scan), PDF p. 633; MDA 0220001001, project ERGP30211730",2024-01-01-nga-2024-0156001001,2026-09-25,National ICT infrastructure backbone phase II; the line names the loan as multilateral/bilateral and tied and names no lender.
2024,2024,line,INVESTMENT IN DIGITAL AND CREATIVE ENTERPRISES (IDICE) (TRIANING OF ENTERPRENUERS IN CREATIVITY AND DIGITAL TECHNOLOGY) (MULTILATERAL/BILATERAL PROJECT TIED LOAN),0220001001/ERGP8211727,capacity.training,partial,external-loan,NGN,"naira, full units as printed; no scale factor",51518301150,51518301150,,"2024 Appropriation Bill (Details), PDF p. 684; 2024 Appropriation Act (scan), PDF p. 636; MDA 0220001001, project ERGP8211727",2024-01-01-nga-2024-0156001001,2026-09-25,IDICE training of entrepreneurs in creativity and digital technology; the creative-industry share is not separable. The 2024 bill names no lender; the 2025 and 2026 Acts name the three IDICE lenders.
2024,2024,line,INVESTMENT IN DIGITAL AND CREATIVE ENTERPRISES (IDICE) (TRIANING OF ENTERPRENUERS IN CREATIVITY AND DIGITAL TECHNOLOGY) (MULTILATERAL/BILATERAL PROJECT TIED LOAN),0220001001/ERGP8211728,capacity.training,partial,external-loan,NGN,"naira, full units as printed; no scale factor",45496115798,45496115798,,"2024 Appropriation Bill (Details), PDF p. 684; 2024 Appropriation Act (scan), PDF p. 636; MDA 0220001001, project ERGP8211728",2024-01-01-nga-2024-0156001001,2026-09-25,As ERGP8211727; no lender named in 2024.
2024,2024,line,INVESTMENT IN DIGITAL AND CREATIVE ENTERPRISES (IDICE) (TRIANING OF ENTERPRENUERS IN CREATIVITY AND DIGITAL TECHNOLOGY) (MULTILATERAL/BILATERAL PROJECT TIED LOAN),0220001001/ERGP8211729,capacity.training,partial,external-loan,NGN,"naira, full units as printed; no scale factor",18375000000,18375000000,,"2024 Appropriation Bill (Details), PDF p. 684; 2024 Appropriation Act (scan), PDF p. 636; MDA 0220001001, project ERGP8211729",2024-01-01-nga-2024-0156001001,2026-09-25,As ERGP8211727; no lender named in 2024.
2025,2025,line,COMMUNICATION TECHNOLOGY INFRASTRUCTURE BACKBONE (NICTIB) PHASE II PROJECT,0156001001/ERGP29234141,infra.connect,whole,external-loan,NGN,"naira, full units as printed; no scale factor",,400629709813,,"2025 Appropriation Act as Passed, PDF p. 335, MDA 0156001001, project ERGP29234141",2025-02-28-nga-2025-0156001001,2026-09-25,National ICT infrastructure backbone phase II; the line names the loan as multilateral/bilateral and tied and names no lender.
2025,2025,line,AND CREATIVE ENTERPRISES (IDICE) [TRAINING OF G ENTERPRENUERS IN CREATIVITY AND DIGITAL TECHNOLOGY,0220001001/ERGP7234148,capacity.training,partial,external-loan,NGN,"naira, full units as printed; no scale factor",,127490596500,,"2025 Appropriation Act as Passed, PDF p. 719, MDA 0220001001, project ERGP7234148",2025-02-28-nga-2025-0156001001,2026-09-25,"IDICE tied loan from the African Development Bank, named on the line; the creative-industry share is not separable."
2025,2025,line,AND CREATIVE ENTERPRISES (IDICE) [TRAINING OF ENTERPRENUERS IN CREATIVITY AND DIGITAL TECHNOLOGY,0220001001/ERGP7234149,capacity.training,partial,external-loan,NGN,"naira, full units as printed; no scale factor",,21000000000,,"2025 Appropriation Act as Passed, PDF p. 719, MDA 0220001001, project ERGP7234149",2025-02-28-nga-2025-0156001001,2026-09-25,"IDICE tied loan from the Islamic Development Bank, named on the line; the creative-industry share is not separable."
2025,2025,line,AND CREATIVE ENTERPRISES (IDICE) [TRAINING OF ENTERPRENUERS IN CREATIVITY AND DIGITAL TECHNOLOGY,0220001001/ERGP7234150,capacity.training,partial,external-loan,NGN,"naira, full units as printed; no scale factor",,75000000000,,"2025 Appropriation Act as Passed, PDF p. 719, MDA 0220001001, project ERGP7234150",2025-02-28-nga-2025-0156001001,2026-09-25,"IDICE tied loan from the French Development Agency, named on the line; the creative-industry share is not separable."
2026,2026,line,MULTILATERAL/BILATERAL TIED LOAN - NATIONAL INFORMATION COMMUNICATION TECHNOLOGY INFRASTRUCTURE BACKBONE (NICTIB) PHASE II PROJECT,0156001001/ERGP29234141,infra.connect,whole,external-loan,NGN,"naira, full units as printed; no scale factor",30000000000,30000000000,,"2026 Appropriation Bill (Details), PDF p. 487; 2026 Appropriation Act (Details, April 2026), PDF p. 375; MDA 0156001001, project ERGP29234141",2026-01-08-nga-2026-0156001001,2026-09-25,"National ICT infrastructure backbone phase II; the line names the loan as multilateral/bilateral and tied and names no lender. The appropriated figure is from the 2026 Appropriation Act (Details), which OSINT does not hold (fetched from budgetoffice.gov.ng, md5 7c93a3756df705ec0fbc31412861f17f); source_slug names the held bill."
