row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
TZA-infra.cybersec-cybersecurity-strategy-or-response,TZA,infra.cybersec,Infrastructure,National cybersecurity strategy or response team,"the instrument establishing the national response team under the regulator, or a national cybersecurity strategy document with its approval date",,
TZA-infra.energy-energy-provision-digital-infrastructure,TZA,infra.energy,Infrastructure,Energy provision for digital infrastructure,"a dated grid-reliability or generation-capacity figure from the utility, or a stated contracted load or power-purchase arrangement for any named Tanzanian data centre",,
TZA-gov.legislate-online-content-cybercrime-regulation,TZA,gov.legislate,Governance and regulation,Online content and cybercrime regulation,"the gazetted online content regulations or cybercrime Act text, or a dated regulator notice",,
TZA-gov.standards-data-or-interoperability-standards,TZA,gov.standards,Governance and regulation,National data or interoperability standards instrument,"a published national data standard, interoperability framework or e-government standards circular with a date",,
TZA-data.open-open-data-policy-or,TZA,data.open,Governance and regulation,Open-data policy or national open-data portal,an open-data policy document or a dated portal launch,,
TZA-geopol.eu-eu-tanzania-digital-governance,TZA,geopol.eu,Governance and regulation,EU-Tanzania digital governance instrument,"a signed EU-Tanzania digital partnership, adequacy arrangement or gateway instrument with a date",,
TZA-data.satellite-earth-observation-or-geospatial,TZA,data.satellite,Digital public infrastructure,Earth-observation or national geospatial data programme,"a ministry, regulator or lands primary naming a geospatial data programme with a dated status",,
TZA-data.statistics-statistical-system-objects,TZA,data.statistics,Digital public infrastructure,National statistical system objects,a statistics-bureau primary or a statistics Act instrument with dated coverage,,
TZA-digital.localgov-local-government-administrative-financial,TZA,digital.localgov,Digital public infrastructure,Local-government administrative and financial systems,"a local-government ministry or auditor-general primary naming a council-level system, its coverage across the 184 councils, and a dated figure",,
TZA-geopol.usa-united-states-technology-sector,TZA,geopol.usa,Artificial intelligence and the technology sector,United States technology-sector engagement,"a signed US-Tanzania digital or AI cooperation instrument, a named US cloud or AI vendor contract with a Tanzanian public body, or a dated development-finance technology commitment",,
TZA-geopol.gulf-gulf-state-technology-or,TZA,geopol.gulf,Artificial intelligence and the technology sector,Gulf-state technology or AI engagement,"a dated Gulf data-centre, AI or telecom investment in Tanzania with a named counterparty and value",,
TZA-geopol.india-india-tanzania-technology-cooperation,TZA,geopol.india,Artificial intelligence and the technology sector,India-Tanzania technology cooperation,"a dated India-Tanzania technology memorandum, or a funding and enrolment series for the Zanzibar campus",,
TZA-capacity.research-ict-or-ai-research,TZA,capacity.research,Inclusion and capacity,National ICT or AI research programme or fund,"the science commission's budget or annual report, the higher-education project appraisal document, or a national AI or ICT research strategy",,
