deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,admin_head_basis,programme_basis,programme_level,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
mwi-2026-050-001-020-1,MWI,national,,2026/2027,2026-04-01,2027-03-31,gregorian,original,,050,Vote 050 - State Residences,001,State House Headquarters,020,Management and Support Services,1,Information and Communication Technology,,printed,printed,programme,Management and Support Services - Information and Communication Technology (State House Headquarters),"Running costs of the ICT unit at this cost centre, booked under management and support services.",dpi.govtech,partial,"A ministry's own ICT unit printed as its own sub-programme: it runs the body's systems alongside desktop support and equipment, and the estimates do not separate them.",domestic-state,unstated,false,,MWK,full kwacha as printed; the Detailed Estimates tables carry no scale factor,,64114786,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Approved Estimates of Expenditure on Recurrent and Capital Budget for the Financial Year 2026/2027, Detailed Estimates Vol. 1 (Votes 010-240), Recurrent Details, Vote 050, cost centre 001- State House Headquarters, programme 020-Management and Support Services, sub-programme 1-Information and Communication Technology, row Total, column 2026-27 Estimate, PDF p. 14",2026-06-01-mwi-approved-detailed-estimates-2026-27-vol-1-companion,2026-09-25,,"Cross-foot: the items printed under the line sum to its total, 64,114,786. Appropriated: the year's Approved Estimates volume; the Appropriation Act itself is not held. Funding source unstated: the recurrent estimates print no financing split. The publisher's copy of the volume matches OSINT's artefact by md5 (companion page and artefact index)."
mwi-2026-060-001-020-1,MWI,national,,2026/2027,2026-04-01,2027-03-31,gregorian,original,,060,Vote 060 - National Audit Office,001,Headquarters,020,Management and Support Services,1,Information and Communication Technology,,printed,printed,programme,Management and Support Services - Information and Communication Technology,"Running costs of the ICT unit at this cost centre, booked under management and support services.",dpi.govtech,partial,"A ministry's own ICT unit printed as its own sub-programme: it runs the body's systems alongside desktop support and equipment, and the estimates do not separate them.",domestic-state,unstated,false,,MWK,full kwacha as printed; the Detailed Estimates tables carry no scale factor,,43000000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Approved Estimates of Expenditure on Recurrent and Capital Budget for the Financial Year 2026/2027, Detailed Estimates Vol. 1 (Votes 010-240), Recurrent Details, Vote 060, cost centre 001- Headquarters, programme 020-Management and Support Services, sub-programme 1-Information and Communication Technology, row Total, column 2026-27 Estimate, PDF p. 18",2026-06-01-mwi-approved-detailed-estimates-2026-27-vol-1-companion,2026-09-25,,"Cross-foot: the items printed under the line sum to its total, 43,000,000. Appropriated: the year's Approved Estimates volume; the Appropriation Act itself is not held. Funding source unstated: the recurrent estimates print no financing split. The publisher's copy of the volume matches OSINT's artefact by md5 (companion page and artefact index)."
mwi-2026-060-001-161-3,MWI,national,,2026/2027,2026-04-01,2027-03-31,gregorian,original,,060,Vote 060 - National Audit Office,001,Headquarters,161,Audit Services,3,Information Technology Audit Services,,printed,printed,programme,Audit Services - Information Technology Audit Services,"The National Audit Office's information technology audit sub-programme, which audits government IT systems.",gov.standards,whole,Sub-programme titled Information Technology Audit Services.,domestic-state,unstated,false,,MWK,full kwacha as printed; the Detailed Estimates tables carry no scale factor,,100000000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Approved Estimates of Expenditure on Recurrent and Capital Budget for the Financial Year 2026/2027, Detailed Estimates Vol. 1 (Votes 010-240), Recurrent Details, Vote 060, cost centre 001- Headquarters, programme 161-Audit Services, sub-programme 3-Information Technology Audit Services, row Total, column 2026-27 Estimate, PDF p. 19",2026-06-01-mwi-approved-detailed-estimates-2026-27-vol-1-companion,2026-09-25,,"Cross-foot: the items printed under the line sum to its total, 100,000,000. Appropriated: the year's Approved Estimates volume; the Appropriation Act itself is not held. Funding source unstated: the recurrent estimates print no financing split. The publisher's copy of the volume matches OSINT's artefact by md5 (companion page and artefact index)."
mwi-2026-060-003-020-1,MWI,national,,2026/2027,2026-04-01,2027-03-31,gregorian,original,,060,Vote 060 - National Audit Office,003,Regional Office - Mzuzu,020,Management and Support Services,1,Information and Communication Technology,,printed,printed,programme,Management and Support Services - Information and Communication Technology (Regional Office - Mzuzu),"Running costs of the ICT unit at this cost centre, booked under management and support services.",dpi.govtech,partial,"A ministry's own ICT unit printed as its own sub-programme: it runs the body's systems alongside desktop support and equipment, and the estimates do not separate them.",domestic-state,unstated,false,,MWK,full kwacha as printed; the Detailed Estimates tables carry no scale factor,,3463000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Approved Estimates of Expenditure on Recurrent and Capital Budget for the Financial Year 2026/2027, Detailed Estimates Vol. 1 (Votes 010-240), Recurrent Details, Vote 060, cost centre 003- Regional Office - Mzuzu, programme 020-Management and Support Services, sub-programme 1-Information and Communication Technology, row Total, column 2026-27 Estimate, PDF p. 20",2026-06-01-mwi-approved-detailed-estimates-2026-27-vol-1-companion,2026-09-25,,"Cross-foot: the items printed under the line sum to its total, 3,463,000. Appropriated: the year's Approved Estimates volume; the Appropriation Act itself is not held. Funding source unstated: the recurrent estimates print no financing split. The publisher's copy of the volume matches OSINT's artefact by md5 (companion page and artefact index)."
mwi-2026-070-001-020-1,MWI,national,,2026/2027,2026-04-01,2027-03-31,gregorian,original,,070,Vote 070 - Office of the Chief Justice,001,Headquarters,020,Management and Support Services,1,Information and Communication Technology,,printed,printed,programme,Management and Support Services - Information and Communication Technology,"Running costs of the ICT unit at this cost centre, booked under management and support services.",dpi.govtech,partial,"A ministry's own ICT unit printed as its own sub-programme: it runs the body's systems alongside desktop support and equipment, and the estimates do not separate them.",domestic-state,unstated,false,,MWK,full kwacha as printed; the Detailed Estimates tables carry no scale factor,,197084884,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Approved Estimates of Expenditure on Recurrent and Capital Budget for the Financial Year 2026/2027, Detailed Estimates Vol. 1 (Votes 010-240), Recurrent Details, Vote 070, cost centre 001- Headquarters, programme 020-Management and Support Services, sub-programme 1-Information and Communication Technology, row Total, column 2026-27 Estimate, PDF p. 24",2026-06-01-mwi-approved-detailed-estimates-2026-27-vol-1-companion,2026-09-25,,"Cross-foot: the items printed under the line sum to its total, 197,084,884. Appropriated: the year's Approved Estimates volume; the Appropriation Act itself is not held. Funding source unstated: the recurrent estimates print no financing split. The publisher's copy of the volume matches OSINT's artefact by md5 (companion page and artefact index)."
mwi-2026-080-001-020-1,MWI,national,,2026/2027,2026-04-01,2027-03-31,gregorian,original,,080,Vote 080 - National Assembly,001,Headquarters,020,Management and Support Services,1,Information and Communication Technology,,printed,printed,programme,Management and Support Services - Information and Communication Technology,"Running costs of the ICT unit at this cost centre, booked under management and support services.",dpi.govtech,partial,"A ministry's own ICT unit printed as its own sub-programme: it runs the body's systems alongside desktop support and equipment, and the estimates do not separate them.",domestic-state,unstated,false,,MWK,full kwacha as printed; the Detailed Estimates tables carry no scale factor,,358701099,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Approved Estimates of Expenditure on Recurrent and Capital Budget for the Financial Year 2026/2027, Detailed Estimates Vol. 1 (Votes 010-240), Recurrent Details, Vote 080, cost centre 001- Headquarters, programme 020-Management and Support Services, sub-programme 1-Information and Communication Technology, row Total, column 2026-27 Estimate, PDF p. 40",2026-06-01-mwi-approved-detailed-estimates-2026-27-vol-1-companion,2026-09-25,,"Cross-foot: the items printed under the line sum to its total, 358,701,099. Appropriated: the year's Approved Estimates volume; the Appropriation Act itself is not held. Funding source unstated: the recurrent estimates print no financing split. The publisher's copy of the volume matches OSINT's artefact by md5 (companion page and artefact index)."
mwi-2026-081-001-020-1,MWI,national,,2026/2027,2026-04-01,2027-03-31,gregorian,original,,081,Vote 081 - Office of the Director of Public Officers' Declarations,001,Headquarters,020,Management and Support Services,1,Information and Communication Technology,,printed,printed,programme,Management and Support Services - Information and Communication Technology,"Running costs of the ICT unit at this cost centre, booked under management and support services.",dpi.govtech,partial,"A ministry's own ICT unit printed as its own sub-programme: it runs the body's systems alongside desktop support and equipment, and the estimates do not separate them.",domestic-state,unstated,false,,MWK,full kwacha as printed; the Detailed Estimates tables carry no scale factor,,94471583,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Approved Estimates of Expenditure on Recurrent and Capital Budget for the Financial Year 2026/2027, Detailed Estimates Vol. 1 (Votes 010-240), Recurrent Details, Vote 081, cost centre 001- Headquarters, programme 020-Management and Support Services, sub-programme 1-Information and Communication Technology, row Total, column 2026-27 Estimate, PDF p. 44",2026-06-01-mwi-approved-detailed-estimates-2026-27-vol-1-companion,2026-09-25,,"Cross-foot: the items printed under the line sum to its total, 94,471,583. Appropriated: the year's Approved Estimates volume; the Appropriation Act itself is not held. Funding source unstated: the recurrent estimates print no financing split. The publisher's copy of the volume matches OSINT's artefact by md5 (companion page and artefact index)."
mwi-2026-082-001-020-1,MWI,national,,2026/2027,2026-04-01,2027-03-31,gregorian,original,,082,Vote 082 - Independent Complaints Commission,001,Headquarters,020,Management and Support Services,1,Information and Communication Technology,,printed,printed,programme,Management and Support Services - Information and Communication Technology,"Running costs of the ICT unit at this cost centre, booked under management and support services.",dpi.govtech,partial,"A ministry's own ICT unit printed as its own sub-programme: it runs the body's systems alongside desktop support and equipment, and the estimates do not separate them.",domestic-state,unstated,false,,MWK,full kwacha as printed; the Detailed Estimates tables carry no scale factor,,67018637,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Approved Estimates of Expenditure on Recurrent and Capital Budget for the Financial Year 2026/2027, Detailed Estimates Vol. 1 (Votes 010-240), Recurrent Details, Vote 082, cost centre 001- Headquarters, programme 020-Management and Support Services, sub-programme 1-Information and Communication Technology, row Total, column 2026-27 Estimate, PDF p. 48",2026-06-01-mwi-approved-detailed-estimates-2026-27-vol-1-companion,2026-09-25,,"Cross-foot: the items printed under the line sum to its total, 67,018,637. Appropriated: the year's Approved Estimates volume; the Appropriation Act itself is not held. Funding source unstated: the recurrent estimates print no financing split. The publisher's copy of the volume matches OSINT's artefact by md5 (companion page and artefact index)."
mwi-2026-090-001-020-1,MWI,national,,2026/2027,2026-04-01,2027-03-31,gregorian,original,,090,Vote 090 - Office of the President and Cabinet,001,O.P.C. Headquarters,020,Management and Support Services,1,Information and Communication Technology,,printed,printed,programme,Management and Support Services - Information and Communication Technology (O.P.C. Headquarters),"Running costs of the ICT unit at this cost centre, booked under management and support services.",dpi.govtech,partial,"A ministry's own ICT unit printed as its own sub-programme: it runs the body's systems alongside desktop support and equipment, and the estimates do not separate them.",domestic-state,unstated,false,,MWK,full kwacha as printed; the Detailed Estimates tables carry no scale factor,,95560000,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Approved Estimates of Expenditure on Recurrent and Capital Budget for the Financial Year 2026/2027, Detailed Estimates Vol. 1 (Votes 010-240), Recurrent Details, Vote 090, cost centre 001- O.P.C. Headquarters, programme 020-Management and Support Services, sub-programme 1-Information and Communication Technology, row Total, column 2026-27 Estimate, PDF p. 52",2026-06-01-mwi-approved-detailed-estimates-2026-27-vol-1-companion,2026-09-25,,"Cross-foot: the items printed under the line sum to its total, 95,560,000. Appropriated: the year's Approved Estimates volume; the Appropriation Act itself is not held. Funding source unstated: the recurrent estimates print no financing split. The publisher's copy of the volume matches OSINT's artefact by md5 (companion page and artefact index)."
mwi-2026-090-019-020-1,MWI,national,,2026/2027,2026-04-01,2027-03-31,gregorian,original,,090,Vote 090 - Office of the President and Cabinet,019,Department of Innovation and Creativity,020,Management and Support Services,1,Information and Communication Technology,,printed,printed,programme,Management and Support Services - Information and Communication Technology (Department of Innovation and Creativity),"Running costs of the ICT unit at this cost centre, booked under management and support services.",dpi.govtech,partial,"A ministry's own ICT unit printed as its own sub-programme: it runs the body's systems alongside desktop support and equipment, and the estimates do not separate them.",domestic-state,unstated,false,,MWK,full kwacha as printed; the Detailed Estimates tables carry no scale factor,,34909500,,,,,appropriated,appropriated,,,budget-document,budget-estimates,"Approved Estimates of Expenditure on Recurrent and Capital Budget for the Financial Year 2026/2027, Detailed Estimates Vol. 1 (Votes 010-240), Recurrent Details, Vote 090, cost centre 019-Department of Innovation and Creativity, programme 020-Management and Support Services, sub-programme 1-Information and Communication Technology, row Total, column 2026-27 Estimate, PDF p. 55",2026-06-01-mwi-approved-detailed-estimates-2026-27-vol-1-companion,2026-09-25,,"Cross-foot: the items printed under the line sum to its total, 34,909,500. Appropriated: the year's Approved Estimates volume; the Appropriation Act itself is not held. Funding source unstated: the recurrent estimates print no financing split. The publisher's copy of the volume matches OSINT's artefact by md5 (companion page and artefact index)."
