indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
infra.connect--internet-exchange-points,ICT Infrastructure,Connectivity,infra.connect,Internet Exchange Points,3
infra.connect--internet-usage,ICT Infrastructure,Connectivity,infra.connect,Internet usage,3
infra.connect--mobile-affordability,ICT Infrastructure,Connectivity,infra.connect,Mobile affordability,3
infra.connect--national-fibre-backbone,ICT Infrastructure,Connectivity,infra.connect,National fibre backbone,3
infra.store--local-data-centre-capacity-national-providers,ICT Infrastructure,Data Storage,infra.store,Local data centre capacity (national providers),1
infra.store--off-site-backup-capacity,ICT Infrastructure,Data Storage,infra.store,Off-site backup capacity,1
infra.energy--rural-electrification,ICT Infrastructure,Energy,infra.energy,Rural electrification,1
infra.energy--sufficient-energy-and-water-for-data-centres,ICT Infrastructure,Energy,infra.energy,Sufficient energy and water for data centres,1
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,ICT Infrastructure,Technical Capacity,infra.capacity,"Local capacity to maintain, manage and develop government systems",1
infra.capacity--robustness-of-government-hardware-and-software,ICT Infrastructure,Technical Capacity,infra.capacity,Robustness of government hardware and software,1
