indicator_id,topic_l1,topic,subject,indicator,subject_rows_at_probe
capacity.literacy--digital-literacy-civil-service,Capacity,Literacy,capacity.literacy,Digital literacy (civil service),2
capacity.literacy--digital-literacy-general-population,Capacity,Literacy,capacity.literacy,Digital literacy (general population),2
capacity.training--dt-related-university-facilities-and-qualifications,Capacity,Training and skills,capacity.training,DT-related university facilities and qualifications,0
capacity.training--graduates-entering-dt-ecosystem,Capacity,Training and skills,capacity.training,Graduates entering DT ecosystem,0
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,Capacity,Research institutions,capacity.research,Think tanks and academic departments contributing to DT policy,1
include.access--citizen-feedback-portals,Inclusion,Access to services,include.access,Citizen feedback portals,0
include.access--citizen-participation-in-policy,Inclusion,Access to services,include.access,Citizen participation in policy,0
include.access--gender-equity,Inclusion,Access to services,include.access,Gender equity,0
include.access--inclusion-of-persons-with-disabilities,Inclusion,Access to services,include.access,Inclusion of persons with disabilities,0
include.access--inclusion-of-refugees-and-idps,Inclusion,Access to services,include.access,Inclusion of refugees and IDPs,0
include.divides--bridging-of-digital-divides,Inclusion,Digital divides,include.divides,Bridging of digital divides,0
