fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,2024,line,"Projet d'Identification Unique pour l'Intégration Régionale et l'Inclusion en Afrique de l'Ouest-Guinée (WURI-Guinée) - Autres acquisitions, installations d'infrastructures, machines et équipements",02-211150000000-5-1-1-11-99,dpi.id,whole,external,GNF,full Guinean francs as printed; the détail des crédits tables carry no scale factor,66040000000,0,"LFR 2024 (Loi L/2024/020/CNT), *Détail des crédits par ministère/institution*, PDF p. 74 (printed p. 68), ministère 02, service 211150000000, imputation 5-1-1-11-99, source Ress. Extérieures, columns LFI 2024 and LFR 2024",2024-08-12-gin-lfr-2024-loi-l-2024-020-cnt-companion,2026-09-24,"The source column reads Ress. Extérieures and names no funder. The printed écart -66,040,000,000 equals LFR minus LFI. Nature: Autres acquisitions, installations d'infrastructures, machines et équipements. The project is the unique identification programme; its domestic lines are the counterpart to external financing."
2024,2024,line,"Projet d'Appui au Développement agropastoral, à la Digitalisation et à l'Accès aux Marches en Guinée (PADDAMAG) - Autres acquisitions, installations d'infrastructures, machines et équipements",11-265501000000-5-1-1-11-99,digital.rural,partial,external,GNF,full Guinean francs as printed; the détail des crédits tables carry no scale factor,126200000000,100200000000,"LFR 2024 (Loi L/2024/020/CNT), *Détail des crédits par ministère/institution*, PDF p. 169 (printed p. 163), ministère 11, service 265501000000, imputation 5-1-1-11-99, source Ress. Extérieures, columns LFI 2024 and LFR 2024",2024-08-12-gin-lfr-2024-loi-l-2024-020-cnt-companion,2026-09-24,"The source column reads Ress. Extérieures and names no funder. The printed écart -26,000,000,000 equals LFR minus LFI. Nature: Autres acquisitions, installations d'infrastructures, machines et équipements. The project names digitalisation beside agro-pastoral development and market access; the digital share is not printed."
2024,2024,line,"Projet de Digitalisation et de Sécurisation du Cadastre Foncier - Autres acquisitions, installations d'infrastructures, machines et équipements",15-264141000000-5-1-1-11-99,dpi.registry,partial,external,GNF,full Guinean francs as printed; the détail des crédits tables carry no scale factor,192224000000,192224000000,"LFR 2024 (Loi L/2024/020/CNT), *Détail des crédits par ministère/institution*, PDF p. 215 (printed p. 209), ministère 15, service 264141000000, imputation 5-1-1-11-99, source Ress. Extérieures, columns LFI 2024 and LFR 2024",2024-08-12-gin-lfr-2024-loi-l-2024-020-cnt-companion,2026-09-24,"The source column reads Ress. Extérieures and names no funder. The printed écart 0 equals LFR minus LFI. Nature: Autres acquisitions, installations d'infrastructures, machines et équipements. The project joins digitalisation of the cadastre with its securing, which includes surveying; outside the software line the digital share is not printed."
2024,2024,line,Cabinet - Ouvrages et installations télécommunications,20-100281000000-5-1-1-10-20,infra.connect,whole,external,GNF,full Guinean francs as printed; the détail des crédits tables carry no scale factor,0,11219427595,"LFR 2024 (Loi L/2024/020/CNT), *Détail des crédits par ministère/institution*, PDF p. 274 (printed p. 268), ministère 20, service 100281000000, imputation 5-1-1-10-20, source Afd, columns LFI 2024 and LFR 2024",2024-08-12-gin-lfr-2024-loi-l-2024-020-cnt-companion,2026-09-24,"The source column reads Afd, the Agence Française de Développement; it does not say grant or loan. The printed écart 11,219,427,595 equals LFR minus LFI. Nature: Ouvrages et installations télécommunications. The economic nature is telecommunications works and installations."
2024,2024,line,"Cabinet - Logiciels, applications et programmes informatiques",20-100281000000-5-1-2-12-00,dpi.govtech,whole,external,GNF,full Guinean francs as printed; the détail des crédits tables carry no scale factor,0,800000000,"LFR 2024 (Loi L/2024/020/CNT), *Détail des crédits par ministère/institution*, PDF p. 275 (printed p. 269), ministère 20, service 100281000000, imputation 5-1-2-12-00, source Afd, columns LFI 2024 and LFR 2024",2024-08-12-gin-lfr-2024-loi-l-2024-020-cnt-companion,2026-09-24,"The source column reads Afd, the Agence Française de Développement; it does not say grant or loan. The printed écart 800,000,000 equals LFR minus LFI. Nature: Logiciels, applications et programmes informatiques. The economic nature is software, applications and computer programs."
2024,2024,line,"snfcpe - Logiciels, applications et programmes informatiques",20-191741000000-5-1-2-12-00,dpi.govtech,whole,external,GNF,full Guinean francs as printed; the détail des crédits tables carry no scale factor,0,3600000000,"LFR 2024 (Loi L/2024/020/CNT), *Détail des crédits par ministère/institution*, PDF p. 275 (printed p. 269), ministère 20, service 191741000000, imputation 5-1-2-12-00, source Afd, columns LFI 2024 and LFR 2024",2024-08-12-gin-lfr-2024-loi-l-2024-020-cnt-companion,2026-09-24,"The source column reads Afd, the Agence Française de Développement; it does not say grant or loan. The printed écart 3,600,000,000 equals LFR minus LFI. Nature: Logiciels, applications et programmes informatiques. The economic nature is software, applications and computer programs."
2024,2024,line,Ecole Nationale des Postes et Télécommunication EN de Ratoma - Achats de autres produits spécifiques,21-191112010400-3-2-9-10-00,capacity.training,partial,external,GNF,full Guinean francs as printed; the détail des crédits tables carry no scale factor,0,320000000,"LFR 2024 (Loi L/2024/020/CNT), *Détail des crédits par ministère/institution*, PDF p. 282 (printed p. 276), ministère 21, service 191112010400, imputation 3-2-9-10-00, source Afd, columns LFI 2024 and LFR 2024",2024-08-12-gin-lfr-2024-loi-l-2024-020-cnt-companion,2026-09-24,"The source column reads Afd, the Agence Française de Développement; it does not say grant or loan. The printed écart 320,000,000 equals LFR minus LFI. Nature: Achats de autres produits spécifiques. The school trains for posts as well as telecommunications; the split is not printed."
2024,2024,line,Direction Nationale du Numérique - Assistance technique,21-152021000000-3-3-5-10-00,capacity.training,whole,external,GNF,full Guinean francs as printed; the détail des crédits tables carry no scale factor,0,3204158623,"LFR 2024 (Loi L/2024/020/CNT), *Détail des crédits par ministère/institution*, PDF p. 283 (printed p. 277), ministère 21, service 152021000000, imputation 3-3-5-10-00, source Afd, columns LFI 2024 and LFR 2024",2024-08-12-gin-lfr-2024-loi-l-2024-020-cnt-companion,2026-09-24,"The source column reads Afd, the Agence Française de Développement; it does not say grant or loan. The printed écart 3,204,158,623 equals LFR minus LFI. Nature: Assistance technique. A directorate named for digital matters in the technical and vocational education ministry; every line of it is held."
2024,2024,line,"Cabinet - Logiciels, applications et programmes informatiques",21-100291000000-5-1-2-12-00,dpi.govtech,whole,external,GNF,full Guinean francs as printed; the détail des crédits tables carry no scale factor,0,2000000000,"LFR 2024 (Loi L/2024/020/CNT), *Détail des crédits par ministère/institution*, PDF p. 284 (printed p. 278), ministère 21, service 100291000000, imputation 5-1-2-12-00, source Afd, columns LFI 2024 and LFR 2024",2024-08-12-gin-lfr-2024-loi-l-2024-020-cnt-companion,2026-09-24,"The source column reads Afd, the Agence Française de Développement; it does not say grant or loan. The printed écart 2,000,000,000 equals LFR minus LFI. Nature: Logiciels, applications et programmes informatiques. The economic nature is software, applications and computer programs."
2024,2024,line,"Direction Nationale du Numérique - Logiciels, applications et programmes informatiques",21-152021000000-5-1-2-12-00,capacity.training,whole,external,GNF,full Guinean francs as printed; the détail des crédits tables carry no scale factor,0,3000000000,"LFR 2024 (Loi L/2024/020/CNT), *Détail des crédits par ministère/institution*, PDF p. 284 (printed p. 278), ministère 21, service 152021000000, imputation 5-1-2-12-00, source Afd, columns LFI 2024 and LFR 2024",2024-08-12-gin-lfr-2024-loi-l-2024-020-cnt-companion,2026-09-24,"The source column reads Afd, the Agence Française de Développement; it does not say grant or loan. The printed écart 3,000,000,000 equals LFR minus LFI. Nature: Logiciels, applications et programmes informatiques. A directorate named for digital matters in the technical and vocational education ministry; every line of it is held."
