indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--ai-strategy,,,,,,,,,"Readiness assessment with UNESCO under way; no strategy in drafting or task force on record, and no cited absence",0,
gov.policy--open-data-policy,2,SOM-data.open-open-government-data,,,,,,,"Portal and CC-BY terms published; no adopted open data policy on record",0,
gov.legislate--cybersecurity-legislation,2,SOM-gov.legislate-cybersecurity-law,,,,,,,"Bill at first reading in the Upper House 29 August 2026; not enacted",0,
gov.legislate--ai-legislation-regulations,,,,,,,,,"No-policy row states no AI policy, not no AI law; readiness assessment is not a regulatory gap analysis",0,
gov.regional--regional-policy-collaboration,,,,,,,,,"AfCFTA ratification planned and a bilateral study visit; no digital-policy body membership or regional process on record",0,
gov.standards--adoption-of-international-standards,2,SOM-gov.standards-iso-membership|SOM-gov.standards-cyber-compliance-framework,,,,,,,"ISO member body on ISO's record; no international ICT standards adopted as national standards on record",0,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,"One signed opinion on resource governance; neither restrictions nor free digital-policy discussion on record",0,
infra.store--off-site-backup-capacity,,,,,,,,,"Commercial DR service advertised; no government backup site or government contract on record",0,
dpi.exchange--national-data-exchange-system,,,,,,,,,"Audit finds seven systems unintegrated with SFMIS; not a statement that no exchange layer exists",0,
dpi.exchange--use-of-digital-id-in-other-systems,2,SOM-dpi.exchange-payroll-identity-link,,,,,,,"Payroll link to the identity database announced; no system consuming the ID in service on this row",0,
dpi.id--robustness-of-system,3,SOM-dpi.id-eaqoonsi,,,,,,,"In service issuing credentials; no published assurance level audit or certification",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,"Only a passport plan held; nothing on who builds or operates the ID system",0,
dpi.id--authentication,3,SOM-dpi.id-hubiye,,,,,,,"Verification platform in service; no usage or cross-channel consumers on record",0,
dpi.pay--revenue-collection,3,SOM-dpi.pay-digital-revenue-receipts,,,,,,,"E-payment and receipts in service; no electronic revenue share published",0,
dpi.pay--b2b-and-b2g-functionality,3,SOM-dpi.pay-national-payment-system,,,,,,,"Interbank and instant payments in service; no end-to-end e-procurement on record",0,
dpi.mis--health,,,,,,,,,"Immunisation register pilot and a surveillance project launch; no HMIS on record",0,
dpi.mis--customs,3,SOM-dpi.govtech-somcas,,,,,,,"SOMCAS in service; single window only planned",0,
dpi.govtech--e-government-services,2,SOM-dpi.govtech-job-portal,,,,,,,"A few transactional services; not tens of services dematerialised",0,
tech.ai--use-of-ai-in-government-administration,,,,,,,,,"University AI centre and readiness assessment only; no AI platform in administration on record",0,
tech.ai--use-of-ai-in-sectoral-management-information-systems,3,SOM-tech.ai-saadaal,,,,,,,"Early-warning AI deployed with a state ministry; one sector only",0,
tech.ai--development-of-national-regional-ai-systems,2,SOM-tech.ai-garad-ai,,,,,,,"Local AI product launched by a private centre; no capability users or hosting stated",0,
include.access--citizen-participation-in-policy,2,SOM-gov.discourse-public-debate-on-digital-policy,,,,,,,"One consultation on a digital instrument in the 12 months; no stated procedure",0,
data.satellite--agricultural-use-of-satellite-data,2,SOM-data.satellite-drought-index,,,,,,,"Remote-sensing services partner-operated; no national service in operation",0,
