indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--data-interoperability-framework-roadmap,3,DZA-dpi.exchange-interop-system,,,,,,,"Decree 25-320 system provided for; art. 8 referentiels untraced so no binding standards or custodian record",0,
gov.policy--ai-strategy,2,DZA-tech.ai-national-strategy|DZA-tech.ai-cstd-ai-submission,,,,,,,"follow-up committee installed August 2026; strategy text still unpublished and no Council-of-Ministers adoption on record",0,
gov.policy--open-data-policy,1,DZA-data.open-open-data,,,,,,,"data-governance decree keeps public data inside institutions; no open-data instrument or portal held",0,
gov.legislate--e-commerce-legislation,3,DZA-gov.legislate-law-18-05-ecommerce,,,,,,,"Law 18-05 in force on a consumer body's account; text not held and no enforcement act on record",0,
gov.regional--regional-policy-collaboration,3,DZA-gov.regional-algiers-platforms-declaration|DZA-gov.regional-50in5,,,,,,,"ministerial declarations and campaign membership; no regional guideline carried in domestic instruments",0,
gov.regional--shared-regional-infrastructure,2,DZA-gov.regional-niger-trans-saharan-projects,,,,,,,"trans-Saharan integration projects with Niger in development; no shared asset in service on the rows",0,
gov.standards--national-interoperability-standards,2,DZA-dpi.exchange-interop-system,,,,,,,"art. 8 referentiels provided for by decree but untraced; no published interoperability standards",0,
gov.discourse--non-governmental-contribution-to-national-policy,,,,,,,,,"no consultation on a digital instrument on record; rows show state bodies and a reporting platform only",0,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,"rows hold draft platform and fact-checking measures only; no shutdown record or access-to-information law either way",0,
infra.capacity--robustness-of-government-hardware-and-software,2,DZA-infra.store-ndsc,,,,,,,"national data centre inaugurated; interconnection unreported and core systems named as stalled or malfunctioning",0,
infra.cybersec--national-cybersecurity-readiness,2,DZA-infra.cybersec-strategy|DZA-infra.cybersec-assi|DZA-infra.cybersec-mpt-cert,,,,,,,"strategy approved and agency operating; no cybersecurity law or incident-response record held",0,
dpi.exchange--national-data-exchange-system,2,DZA-dpi.exchange-interop-system,,,,,,,"provided for by Decree 25-320; July interconnection deadline has no reported completion",0,
dpi.exchange--use-of-digital-id-in-other-systems,3,DZA-dpi.id-unified-national-digital-identity,,,,,,,"credential used on the national portal and sports ministry platforms; no verification service or usage figure",0,
dpi.id--robustness-of-system,2,DZA-dpi.id-unified-national-digital-identity,,,,,,,"credential in service but no unique-number or deduplication evidence in the row; no assurance level held",0,
dpi.id--digital-id-from-birth,,,,,,,,,"no row shows a number assigned at birth registration; civil register and NIN held separately",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,,,,,,,,,"no row shows exchange or a planned link between the civil register and the ID system",0,
dpi.pay--governance-role-of-central-bank,3,DZA-dpi.pay-bank-licensing,,,,,,,"licensing and KYC in force; payments committee seated but no switch oversight or consumer function on record",0,
dpi.pay--revenue-collection,3,DZA-dpi.mis-tax-integration|DZA-dpi.pay-tabioucom,,,,,,,"e-payment for declared taxes and stamp duty; no customs e-payment or electronic share published",0,
dpi.registry--business-register,3,DZA-dpi.registry-commercial,,,,,,,"electronic commercial register in service; no public search or beneficial-ownership collection on record",0,
dpi.registry--tax-register,3,DZA-dpi.mis-tax-integration,,,,,,,"integrated tax platforms on a tax identifier; no centralised whole-of-taxpayer view on record",0,
dpi.mis--tax,3,DZA-gov.legislate-jibayatic-generalisation|DZA-dpi.mis-tax-integration,,,,,,,"e-filing generalised but e-payment optional outside large enterprises; no uptake figure",0,
dpi.mis--customs,3,DZA-dpi.exchange-customs-single-electronic-window,,,,,,,"customs information system in service with single-window rollout begun; no all-post automation or duty e-payment on record",0,
dpi.govtech--e-government-services,3,DZA-dpi.govtech-dzair-services|DZA-dpi.govtech-bawabatak|DZA-dpi.govtech-apostille,,,,,,,"single portal adding services; no usage figure or maintained inventory published",0,
digital.rural--digitalisation-of-rural-registry-offices,3,DZA-dpi.registry-civil-status-register,,,,,,,"automated civil-status register in service; no share of offices covered published",0,
tech.ai--use-of-ai-in-government-administration,2,DZA-tech.ai-parliamentary-transcription,,,,,,,"parliamentary transcription presented only; no administrative AI system in service in the rows",0,
tech.ai--use-of-ai-in-sectoral-management-information-systems,3,DZA-tech.ai-forest-fire-detection,,,,,,,"forestry and civil protection credit the AI early-warning system with results in the July 2026 fires",0,
tech.innovate--tech-startup-ecosystem,2,DZA-tech.innovate-ipo-waiver,,,,,,,"support measures and prize decree on record; no startup law or strategy held",0,
include.access--citizen-feedback-portals,2,DZA-dpi.govtech-trade-complaints-platform,,,,,,,"trade ministry complaints platform live for one body; no complaint count or cases on record",0,
include.access--citizen-participation-in-policy,,,,,,,,,"budget reform names participation as an aim only; no consultation on record",0,
data.statistics--statistics-from-administrative-data,,,,,,,,,"rows are operational systems; no statistical product compiled from them on record",0,
