indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--broadband-strategy,3,TZA-gov.policy-broadband-strategy,,,,,,,"strategy adopted; the funded 758-tower project is cited against Vision 2050 and the digital economy strategy, not this plan",0,
gov.policy--open-data-policy,2,TZA-data.open-open-data-policy-or,,,,,,,"statistical portal and sectoral release policies only; no general open data policy adopted",0,
gov.legislate--cybersecurity-legislation,3,TZA-gov.legislate-cybercrimes-act,,,,,,,"Cybercrimes Act in force and critical-infrastructure registration opened; no CERT under the law or prosecutions on record",0,
gov.legislate--legislation-covering-digital-id,3,TZA-gov.legislate-registration-of-persons-act,,,,,,,"1986 Act in force; no regulations or data-protection linkage for the digital layer on record",0,
gov.legislate--e-commerce-legislation,3,TZA-gov.legislate-electronic-transactions-act-amendment,,,,,,,"Electronic Transactions Act amended; no trust-service regulations or accredited providers on record",0,
gov.protect--data-protection-authority,3,TZA-gov.protect-registration-data-protection-officer|TZA-gov.protect-certified-data-protection-officer,,,,,,,"commission registering and inspecting from 31 August; no enforcement decision on record",0,
gov.protect--national-data-protection-readiness,,,,,,,,,"only SIM-fraud enforcement rows mapped here; the law and commission sit under the authority indicator",0,
gov.regional--regional-policy-collaboration,3,TZA-gov.regional-eac-regional-ai-strategy,,,,,,,"active in EAC processes; no regional guidelines implemented domestically in more than one area",0,
gov.standards--national-quality-standards,,,,,,,,,"only a private-sector-founded digital trust body is held; no standards body or quality policy on record",0,
gov.discourse--open-discussion-of-government-policy,2,TZA-gov.policy-election-period-internet-shutdowns,,,,,,,"October 2025 election shutdown within the 12 months; third-party monitoring only",0,
infra.connect--national-fibre-backbone,3,TZA-infra.connect-ict-broadband-backbone|TZA-infra.connect-kenya-border-terrestrial-fibre,,,,,,,"all mainland regional headquarters reached; no open-access or wholesale terms published",0,
infra.connect--internet-exchange-points,3,TZA-infra.connect-internet-exchange-points,,,,,,,"six exchanges on the association's own account; no member count or traffic figure at two dates",0,
infra.capacity--robustness-of-government-hardware-and-software,,,,,,,,,"only the asset management system is held; finance, revenue and payroll platforms not on record",0,
infra.cybersec--national-cybersecurity-readiness,2,TZA-infra.cybersec-cybercrime-investigation-centres,,,,,,,"cybercrime centres provided for in the 2026/27 budget, none built; no national strategy on record",0,
dpi.id--digital-id-from-birth,2,TZA-dpi.id-registration-from-birth,,,,,,,"piloted in some districts; agency linkage stated with no national assignment at birth",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,2,TZA-dpi.id-birth-registration-interoperability-act|TZA-dpi.id-registration-from-birth,,,,,,,"linkage provided in law and being built; no exchange in service on record",0,
dpi.pay--governance-role-of-central-bank,3,TZA-dpi.pay-fintech-regulatory-sandbox|TZA-dpi.pay-tanqr,,,,,,,"central bank's own reports; no consumer-protection or dispute function on record here",0,
dpi.pay--g2p-functionality,,,,,,,,,"only an operator's crop-proceeds service is held; no government-to-person payment on record",0,
dpi.pay--revenue-collection,3,TZA-dpi.pay-zanzibar-transport-and-fee-payments,,,,,,,"Zanzibar municipal fees and fines paid through a mobile-money platform; no e-filing or electronic revenue share on record",0,
dpi.pay--b2b-and-b2g-functionality,3,TZA-dpi.pay-participating-financial-service-providers|TZA-dpi.pay-merchants-accepting-digital-payments,,,,,,,"interbank and merchant payments in service; no end-to-end e-procurement on record",0,
dpi.pay--p2p-p2g-and-p2b-functionality,3,TZA-dpi.pay-instant-payment-system-throughput|TZA-dpi.pay-mobile-money-core-platform,,,,,,,"instant payment system in service; agent networks and government payment acceptance not on record",0,
dpi.pay--cross-border-functionality,2,TZA-dpi.pay-cross-border-instant-payment,,,,,,,"Rwanda corridor still a proof of concept; card acceptance is a company's",0,
dpi.registry--population-register,,,,,,,,,"only birth-registration rows mapped here; the identity register sits under the registration measure",0,
dpi.registry--civil-register,3,TZA-dpi.registry-electronic-birth-certificate-issuance,,,,,,,"digital birth certificates issued; deaths and ID linkage not in service on record",0,
dpi.registry--business-register,,,,,,,,,"only a cooperative societies system is held; no business register row",0,
dpi.registry--social-protection-register,,,,,,,,,"Zanzibar registry blueprint and briefing only; no procurement or pilot on record",0,
dpi.registry--land-register,3,TZA-dpi.registry-land-register,,,,,,,"digital services in use; no parcel count or national cadastre on record",0,
dpi.mis--tax,,,,,,,,,"e-invoicing and e-receipt mandates held; no row on e-filing or e-payment of core taxes",0,
dpi.mis--land,2,TZA-dpi.mis-e-ardhi-land-records,,,,,,,"records digitisation under way and behind target; Zanzibar registry newly launched",0,
dpi.govtech--e-government-services,,,,,,,,,"a third-party maturity ranking, a crop auction pilot and a 2013 centre; no inventory of online services",0,
digital.localgov--ict-infrastructure-for-local-government,,,,,,,,,"one constituency's donated computers; not a local administration's programme on record",0,
digital.rural--digitalisation-of-rural-health-clinics,2,TZA-digital.rural-ehealth-systems,,,,,,,"ministry lists its systems; no rural facility reporting coverage on record",0,
digital.rural--digitalisation-of-rural-primary-schools,2,TZA-digital.rural-primary-school-tablets,,,,,,,"pilots in Manyara, Dodoma and Kigoma; no national connectivity or device share held",0,
tech.ai--use-of-ai-in-government-administration,2,TZA-tech.ai-ports-authority-enquiry-chatbot,,,,,,,"ports authority chatbot piloted in a usability study; no production deployment",0,
tech.ai--development-of-national-regional-ai-systems,2,TZA-tech.ai-kiswahili-large-language-model,,,,,,,"Kiswahili model named in the vision; no developer, budget or deployment",0,
tech.innovate--tech-startup-ecosystem,2,TZA-tech.innovate-startup-ecosystem-report,,,,,,,"programmes run; no startup law or strategy adopted",0,
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,2,TZA-capacity.research-global-ai-capacity-development-network,,,,,,,"an institute joined a global AI capacity network; no funded programme on record",0,
include.access--citizen-participation-in-policy,,,,,,,,,"statutory local assemblies and a complaints channel; no consultation on a digital instrument on record",0,
include.access--inclusion-of-persons-with-disabilities,,,,,,,,,"central bank Braille publications only; no accessibility law or policy on record",0,
data.open--use-of-open-data,,,,,,,,,"only an external fiscal transparency assessment is mapped here; the portal sits under the policy indicator",0,
data.satellite--agricultural-use-of-satellite-data,,,,,,,,,"agriculture systems and a closed livestock project; no satellite data use on record",0,
