indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,SEN-finance.new-technology-strategy-financing-envelope,,,,,,,"New Deal strategy launched to 2034 with a headline envelope; no costed plan by programme or M&E report",0,
gov.policy--ict-strategy,3,SEN-gov.policy-newdeal,,,,,,,"Sector covered by the adopted national technology strategy; no implementation reporting in listed sources",0,
gov.policy--broadband-strategy,,,,,,,,,"Universal connectivity programme launched; no national broadband plan with dated targets on record",0,
gov.policy--data-storage-cloud-strategy,2,SEN-infra.store-diamniadio-data-centre|SEN-infra.store-nationalcloud,,,,,,,"National data centre and cloud in service; no hosting or cloud policy instrument cited here",0,
gov.policy--data-interoperability-framework-roadmap,2,SEN-gov.policy-jokkoo,,,,,,,"Framework validated by a steering committee; adopting decree still a draft",0,
gov.policy--ai-strategy,3,SEN-gov.policy-ai-strategy-roadmap,,,,,,,"Adopted 2023 per press; ethics committee only planned and no governance body constituted",0,
gov.policy--data-localisation-policies,3,SEN-gov.policy-datalocalisation,,,,,,,"Presidential directive localises state data only; no application decisions or supervising body on record",0,
gov.policy--data-governance-policy,3,SEN-gov.policy-data-strategy,,,,,,,"Data strategy adopted; no institutional owner or implementing instruments on record",0,
gov.policy--open-data-policy,2,SEN-gov.policy-geoportail|SEN-data.open-open-government-data-policy,,,,,,,"Portals publishing with no open-data policy or licence adopted",0,
gov.legislate--data-protection-legislation,3,SEN-gov.protect-loi-n-2008-12,,,,,,,"Law in force since 2014; no regulations or enforcement act in these rows",0,
gov.legislate--cybersecurity-legislation,2,SEN-gov.legislate-critical-information-infrastructure-bill,,,,,,,"Bill tabled by the as-at; adoption on 2026-08-20 falls after it",0,
gov.legislate--legislation-covering-digital-id,3,SEN-gov.legislate-loi-2016-09-ecowas-card,,,,,,,"Loi 2016-09 in force; no access or oversight provisions and identity bill still in finalisation",0,
gov.legislate--legislation-enabling-data-interoperability,2,SEN-gov.policy-jokkoo,,,,,,,"Interoperability decree drafted; minister's decree vests competence without obliging sharing",0,
gov.legislate--e-commerce-legislation,,,,,,,,,"Rows cover media and social-media regulation only; no e-transactions evidence",0,
gov.legislate--statistics-legislation,3,SEN-gov.legislate-statisticslaw,,,,,,,"2004 law as amended 2012 on a regional inventory; Charter principles in the text not shown",0,
gov.legislate--access-to-information-legislation,3,SEN-gov.legislate-accesslaw,,,,,,,"Law gazetted 2025; commission decree adopted in Council but commission not installed",0,
gov.protect--data-protection-authority,3,SEN-gov.protect-cooperation-convention-with-benin,,,,,,,"Commission operating and signing conventions; no enforcement decision on record in these rows",0,
gov.protect--national-data-protection-readiness,,,,,,,,,"Rows are a child-protection plan and an intelligence law; no data protection law evidence here",0,
gov.regional--regional-policy-collaboration,,,,,,,,,"Only founding membership of a global AI body; no regional or continental process on record",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"Statistical guides and non-binding AI guidelines only; nothing on the cyberlaw set",0,
gov.regional--shared-regional-infrastructure,3,SEN-infra.connect-senegal-togo-benin-free,,,,,,,"Free roaming with Togo and Benin in effect; no usage or other shared assets reported",0,
gov.regional--cross-border-data-transfers,,,,,,,,,"Only a customs data-exchange roadmap; no personal-data transfer rules in rows",0,
gov.standards--national-interoperability-standards,,,,,,,,,"Enterprise architecture under diagnosis; no standards catalogue drafted or published",0,
gov.standards--national-quality-standards,,,,,,,,,"Only a defence procurement decree; no standards body or quality policy evidence",0,
gov.standards--adoption-of-international-standards,2,SEN-gov.standards-asncatalogue,,,,,,,"ISO member body with IT mirror committees; ICT or data standards adopted not itemised",0,
gov.discourse--non-governmental-contribution-to-national-policy,3,SEN-gov.discourse-ogpplan|SEN-gov.discourse-jubbanti,,,,,,,"OGP co-creation and a standing consultation platform; digital council has no output on record",0,
gov.discourse--open-discussion-of-government-policy,2,SEN-gov.legislate-mediaregulator|SEN-gov.discourse-pressfreedom,,,,,,,"New media regulator over online content and rising threats to journalists per RSF",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,3,SEN-finance.budget-digital-sector-appropriation,,,,,,,"Digital-economy line appropriated in FY2024 and FY2025; no dedicated fund in these rows",0,
infra.energy--grid-reliability,4,SEN-infra.energy-reliability,0.76,outages per month,2024,2025-07-01-crse-rapport-annuel-2024,,,"Regulator's SAIFI 9.12 a year; no regional power-pool trading on record",0,
infra.connect--national-fibre-backbone,3,SEN-infra.connect-statebackbone,,,,,,,"4500 km state backbone in 14 regions; no open-access or wholesale terms published",0,
infra.connect--internet-exchange-points,2,SEN-infra.connect-senix|SEN-infra.store-internet-exchange-point-reactivation,,,,,,,"Association constituted and reactivation announced; no members or traffic on record",0,
infra.connect--satellite-broadband-licensing-and-availability,3,SEN-infra.connect-satellite-operating-authorisation,,,,,,,"Individual five-year operator authorisation; no blanket terminal licensing or published fees",0,
infra.store--off-site-backup-capacity,2,SEN-infra.store-agerouteprocurement,,,,,,,"One agency's procurement requires DR; no state data centre designated for recovery",0,
infra.capacity--robustness-of-government-hardware-and-software,,,,,,,,,"Breach records only; state of core systems and custodian not described in rows",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2,SEN-infra.capacity-projectdelivery,,,,,,,"Capacity component rated with no tangible progress; cloud-engineer training only announced",0,
infra.cybersec--national-cybersecurity-readiness,2,SEN-infra.cybersec-computer-emergency-response-team,,,,,,,"Intranet-only response team; expert states no national agency or CERT; law not yet adopted",0,
dpi.exchange--national-data-exchange-system,2,SEN-dpi.exchange-interoperability-platform,,,,,,,"Platform still under construction on listed sources; silos named by the state",0,
dpi.exchange--use-of-digital-id-in-other-systems,3,SEN-dpi.govtech-esenegal|SEN-dpi.id-simregistration|SEN-dpi.id-proofoflife,,,,,,,"Portal and pension platform rely on the NIN; no verification service offered to others",0,
dpi.exchange--interoperability-of-health-systems,2,SEN-dpi.exchange-digital-agency-health-cover,,,,,,,"Interconnection convention signed; no go-live",0,
dpi.exchange--interoperability-of-education-systems,,,,,,,,,"School platform in service but no exchange between education systems on record",0,
dpi.exchange--interoperability-of-social-protection-systems,2,SEN-dpi.exchange-unified-social-protection-information,,,,,,,"Unified system at diagnostic stage; minister states structures cannot share data",0,
dpi.id--robustness-of-system,3,SEN-dpi.id-identity-card-production,,,,,,,"Card issuance resumed after ransomware breach; no assurance level or audit published",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,3,SEN-dpi.id-daf,,,,,,,"National directorate operates the system; no exit terms or funding model on record",0,
dpi.id--authentication,3,SEN-dpi.id-pki,,,,,,,"State PKI scoped to administration users; portal NIN login is a single consumer",0,
dpi.id--digital-id-from-birth,,,,,,,,,"Civil-registration modernisation outputs only; no identifier assigned at birth on record",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,,,,,,,,,"Only an audit of paper civil registration; no linkage evidence",0,
dpi.id--use-by-other-systems,3,SEN-dpi.id-universal-digital-identity-under,,,,,,,"Card doubles as voter card by decree; other registers keyed on the NIN not shown",0,
dpi.pay--governance-role-of-central-bank,3,SEN-dpi.pay-pispi,,,,,,,"BCEAO authorises instant-payment participants; no consumer-protection function in these rows",0,
dpi.pay--g2p-functionality,2,SEN-dpi.pay-sentresor,,,,,,,"State payments platform launched 2025; benefit payments detailed only after the as-at",0,
dpi.pay--revenue-collection,3,SEN-dpi.govtech-digital-fiscal-stamp,,,,,,,"Fiscal stamps digital-only; share collected electronically not published",0,
dpi.pay--b2b-and-b2g-functionality,3,SEN-dpi.pay-orbus|SEN-dpi.pay-treasurypayments,,,,,,,"Customs duties and state fees paid electronically; e-procurement end to end not shown here",0,
dpi.pay--p2p-p2g-and-p2b-functionality,3,SEN-dpi.pay-emoneyissuers|SEN-dpi.pay-taxbymobile,,,,,,,"Eleven e-money issuers and tax by mobile app; agent networks not reported",0,
dpi.pay--cross-border-functionality,2,SEN-dpi.pay-externalrelations,,,,,,,"Union regulation in force with application notes; no named corridor on record",0,
dpi.pay--consumer-protection,2,SEN-dpi.pay-complaintscircular,,,,,,,"Union complaints circular covers dispute handling only; other dimensions not on record",0,
dpi.registry--population-register,,,,,,,,,"Only a civil-service biometric audit; no population register evidence",0,
dpi.registry--civil-register,3,SEN-dpi.id-civil-status-software-deployment|SEN-dpi.id-live-civil-registration-database,,,,,,,"Central register live; software in 437 of 629 centres and archives partly digitised",0,
dpi.registry--business-register,3,SEN-dpi.registry-business-registration-platform,,,,,,,"Online NINEA registration launched; public search and sharing not on record",0,
dpi.registry--social-protection-register,3,SEN-dpi.registry-single-social-register-coverage,,,,,,,"One million households; ID linkage and use by main programmes not on record",0,
dpi.registry--electoral-register,2,SEN-dpi.registry-feb,,,,,,,"Digital roll revised periodically; public access to the roll not on record",0,
