indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,,,,,,,,,"Only a national digital council recommended; no strategy drafted or adopted on record, and no cited absence",0,
gov.policy--broadband-strategy,2,MLI-infra.connect-universal2030,,,,,,,"2030 target with a roadmap drafted; updated universal-access strategy only recommended, no plan adopted",0,
gov.policy--data-storage-cloud-strategy,2,MLI-infra.capacity-datacentrecapacity|MLI-infra.store-datacentre,,,,,,,"National data centre in service; no adopted hosting or cloud policy located; data law only recommended",0,
gov.policy--data-interoperability-framework-roadmap,,,,,,,,,"Only recommendations and an intranet on record; no interoperability framework drafted or announced",0,
gov.policy--ai-strategy,,,,,,,,,"AI strategy recommended at the Semaine du Numerique; no draft or task force on record",0,
gov.policy--data-localisation-policies,,,,,,,,,"Data centre and data protection law held; no localisation rule on record",0,
gov.policy--data-governance-policy,,,,,,,,,"Data-management law only recommended; no data policy in drafting on record",0,
gov.policy--open-data-policy,2,MLI-data.open-portal,,,,,,,"Statistics institute licence and portal migration only; no open-data policy instrument held",0,
gov.legislate--data-protection-legislation,3,MLI-gov.protect-loi2013,,,,,,,"Law 2013-015 in force; no implementing regulations on record for stage 4",0,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,"No instrument on public-body data sharing on record; customs pilot and e-transactions law do not place a rung",0,
gov.legislate--statistics-legislation,3,MLI-gov.legislate-loi-2016-005-statistiques-publiques,,,,,,,"Law 2016-005 in force; no independence or confidentiality provision extracted",0,
gov.legislate--access-to-information-legislation,3,MLI-gov.legislate-decret-03-580-relations-administration-usagers|MLI-data.open-portal,,,,,,,"No oversight mechanism or requests on record for stage 4",0,
gov.protect--data-protection-authority,3,MLI-gov.protect-apdp,,,,,,,"Authority operating with 1000+ files in session; no sanction or enforcement decision published",0,
gov.protect--national-data-protection-readiness,3,MLI-gov.protect-loi2013,,,,,,,"Law in force and authority operating; Guidelines' practices (impact assessments; breach notification) not on record",0,
gov.regional--regional-policy-collaboration,3,MLI-gov.regional-aes-dpa-roadmap|MLI-gov.regional-atu,,,,,,,"Active participation on record; no regional guidelines domesticated in more than one area",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"AES AI protocol only recommended; ECOWAS withdrawal leaves harmonisation unresolved",0,
gov.regional--cross-border-data-transfers,,,,,,,,,"Transfer provisions of law 2013-015 not extracted in the rows; no mechanism or decision on record",0,
gov.standards--national-interoperability-standards,,,,,,,,,"Standards agency held with no standard adopted; no interoperability standards on record",0,
gov.discourse--non-governmental-contribution-to-national-policy,,,,,,,,,"A CSO content-reporting app only; no consultation on a digital instrument on record",0,
gov.discourse--open-discussion-of-government-policy,2,MLI-gov.legislate-platformenforcement|MLI-include.access-main-news-source-shares,,,,,,,"Platform-content instruction and August cybercrime prosecutions of journalists on record",0,
infra.connect--national-fibre-backbone,2,MLI-infra.connect-moovfibre,,,,,,,"Operator fibre in six cities; national transport operator only recommended",0,
dpi.exchange--national-data-exchange-system,,,,,,,,,"Government intranet and PKI framework only; no exchange platform on record",0,
dpi.id--authentication,2,MLI-dpi.exchange-pki,,,,,,,"PKI framework prepared with ITU; no authentication service in operation",0,
dpi.id--digital-id-from-birth,,,,,,,,,"Community birth registration presented; no identifier assigned at birth on record",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,,,,,,,,,"ANSAEC ordinance names the population register; no linkage planned or piloted on record",0,
dpi.registry--population-register,,,,,,,,,"Only a diaspora skills directory on record; not a population register",0,
dpi.mis--customs,2,MLI-dpi.exchange-customs-interconnection,,,,,,,"Customs administration's transit-data interconnection pilot with Ivorian customs; no system name or coverage stated",0,
digital.localgov--digitalisation-of-local-government-records,2,MLI-digital.localgov-koutiala-fiscal-census,,,,,,,"One commune's fiscal census and digital financial tools in development; donor-funded and NGO-run",0,
digital.rural--digitalisation-of-rural-primary-schools,2,MLI-finance.new-agefauconventions,,,,,,,"Universal fund conventions to connect schools; no rural primary schools connected on record",0,
digital.rural--digitalisation-of-rural-registry-offices,,,,,,,,,"Community registration and health-worker notification only; no digital registry office platform on record",0,
tech.ai--use-of-ai-in-government-administration,,,,,,,,,"AI centre and forum only; no AI system in administration on record",0,
tech.ai--use-of-ai-in-sectoral-management-information-systems,,,,,,,,,"No sectoral AI tool piloted on record; operator assistant is a company's",0,
tech.ai--development-of-national-regional-ai-systems,2,MLI-tech.ai-ciar,,,,,,,"AI centre created by ordinance; inauguration falls after the as-at",0,
tech.innovate--tech-startup-ecosystem,,,,,,,,,"Startups law only recommended; nothing tabled",0,
include.access--citizen-feedback-portals,,,,,,,,,"Citizen participation project and a CSO app only; no state feedback channel on record",0,
include.access--citizen-participation-in-policy,,,,,,,,,"A digital participation project only; no consultation on an instrument on record",0,
data.statistics--national-strategy-for-development-of-statistics,3,MLI-data.statistics-instatmicrodata,,,,,,,"Master plan 2020-2024 under annual review; expired with no successor held and no costed plan",0,
data.statistics--censuses-and-surveys,3,MLI-data.statistics-instatmicrodata,,,,,,,"Household survey reports held; no definitive census results on record",0,
data.statistics--statistics-from-administrative-data,2,MLI-dpi.mis-education-management-information-system,,,,,,,"Education MIS supported for school health statistics; no administrative-data product on record",0,
data.open--use-of-open-data,3,MLI-data.open-portal,,,,,,,"Statistics institute publishes under an open licence; no reuse or interface on record",0,
