indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--data-storage-cloud-strategy,1,ERI-gov.policy-data-localisation,,,,,,,"No hosting or cloud policy on record; the state operator's commercial private cloud is a service, not a policy",0,
gov.policy--data-localisation-policies,1,ERI-gov.policy-data-localisation,,,,,,,"No localisation or residency rule; hosting at home is practice, not a legal duty",0,
gov.policy--open-data-policy,2,ERI-gov.policy-open-data-policy,,,,,,,A basic portal recorded in 2022 with no policy or licence behind it,0,
gov.legislate--data-protection-legislation,1,ERI-gov.protect-none,,,,,,,No data protection law; absence reconfirmed on a 1 August 2026 verification pass,0,
gov.protect--data-protection-authority,1,ERI-gov.protect-none,,,,,,,No law and so no authority provided for; reconfirmed August 2026,0,
gov.protect--national-data-protection-readiness,1,ERI-gov.protect-none,,,,,,,"No law, no authority, no ratification; absence cited and reconfirmed August 2026",0,
gov.regional--regional-legal-harmonisation,1,ERI-gov.regional-treaty-non-participation|ERI-gov.protect-none,,,,,,,Sole non-signatory to the continental trade agreement; outside the regional digital programme; no cyberlaw to harmonise,0,
gov.regional--cross-border-data-transfers,1,ERI-gov.policy-data-localisation,,,,,,,Nothing states where personal data may be held or how it may leave,0,
gov.discourse--non-governmental-contribution-to-national-policy,2,ERI-gov.discourse-participation,,,,,,,Ad hoc workshops with non-governmental participants; no required or standing consultation with published responses,0,
gov.discourse--open-discussion-of-government-policy,1,ERI-gov.discourse-suppression,,,,,,,No independent press or public forum; last of 180 on the 2026 press-freedom index,0,
infra.connect--internet-exchange-points,1,ERI-infra.connect-internet-exchange-points,,,,,,,Exchange tracker records none active; August diaspora proposal has no government adoption,0,
infra.store--off-site-backup-capacity,,,,,,,,,Only the state operator's commercial private cloud (six-day recovery objective) is held; no government backup site or contract on record,0,
dpi.pay--consumer-protection,,,,,,,,,"No digital financial services exist to regulate; the operator's complaint form covers internet service, not finance",0,
dpi.registry--address-register,,,,,,,,,"Absent from the postal union's postcode list; postcodes are not the whole addressing system, so no absence of addressing is cited",0,
tech.innovate--tech-startup-ecosystem,,,,,,,,,"A self-organised app collective is on record; no startup law, strategy or support scheme, and no cited absence",0,
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,,,,,,,,,2002 agency mandate and a diaspora policy essay only; no domestic research activity on digital policy on record,0,
include.access--citizen-feedback-portals,,,,,,,,,"Only the state telecom operator's customer complaint form, not a channel for feedback to government (CC)",0,
include.access--citizen-participation-in-policy,1,ERI-gov.discourse-suppression,,,,,,,"No public forum for policy; August geodesign workshop was technical, not an open consultation on an instrument",0,
data.satellite--agricultural-use-of-satellite-data,2,ERI-gov.policy-geospatial-framework-capacity,,,,,,,"Remote-sensing training for ministry staff; the August satellite advisory is a regional centre's, not a national service",0,
data.satellite--meteorological-use-of-satellite-data,,,,,,,,,Satellite monitoring of the country is produced abroad; a modern national meteorological service is only a planned objective,0,
