indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,LBR-gov.policy-digital-liberia,,,,,,,"Digital Liberia 2025-2029 published; no costing, delivery schedule or progress report on record",0,
gov.policy--ict-strategy,3,LBR-gov.policy-lta-strategic-plan-2025-2029,,,,,,,regulator's own 2025-2029 plan in abridged form; no implementation reporting against it on record,0,
gov.policy--broadband-strategy,2,LBR-gov.policy-broadband-plan,,,,,,,no broadband plan; roadmap commits ministry and regulator to prepare one in years 2-4,0,
gov.policy--data-storage-cloud-strategy,2,LBR-gov.policy-cloud-first,,,,,,,cloud-first named in infrastructure roadmap; no instrument or timetable,0,
gov.policy--data-interoperability-framework-roadmap,2,LBR-dpi.exchange-interoperability-framework-between-gover,,,,,,,framework mandated by Executive Order 163; nothing published by the as-at,0,
gov.policy--ai-strategy,,,,,,,,,"AI priority accepted in principle only; no drafting, task force or strategy section on record",0,
gov.policy--data-localisation-policies,2,LBR-gov.policy-payment-localisation,,,,,,,sectoral payment-system hosting rule with offshore escape; no category-based regime,0,
gov.policy--data-governance-policy,3,LBR-gov.policy-data-governance-policy,,,,,,,final policy issued March 2026; no implementing instruments on record,0,
gov.policy--open-data-policy,2,LBR-data.open-open-data-policy,,,,,,,statistics office publishes public-use microdata with no open-data policy behind it,0,
gov.legislate--data-protection-legislation,3,LBR-gov.protect-dp-bill,,,,,,,Act in force March 2026; no commissioner appointment or implementing rules on record,0,
gov.legislate--cybersecurity-legislation,3,LBR-infra.cybersec-cybercrime-act,,,,,,,Cybercrime Act in force July 2026; council not constituted and no prosecution by the as-at,0,
gov.legislate--legislation-covering-digital-id,3,LBR-gov.legislate-nir-act-2011,,,,,,,2011 Act in force establishing the registry; regulations and grievance provisions not on record,0,
gov.legislate--digital-payments-legislation,3,LBR-gov.legislate-mobile-money-regs,,,,,,,mobile money regulations in force; licensing and interoperability provisions not shown in rows,0,
gov.legislate--legislation-enabling-data-interoperability,3,LBR-dpi.id-eo147|LBR-dpi.id-identity-query-portal,,,,,,,executive order requires verification against the registry; no implementing acts or custodian,0,
gov.legislate--ai-legislation-regulations,1,LBR-gov.legislate-ai-regulation,,,,,,,searched absence: no AI-specific instrument or evidentiary rule,0,
gov.legislate--e-commerce-legislation,3,LBR-gov.legislate-e-transactions-law,,,,,,,2002 Electronic Transactions Law; no online consumer protection or trust-service rules since,0,
gov.legislate--statistics-legislation,3,LBR-gov.legislate-statistics-act-2004,,,,,,,2004 Act in force; independence and coordination provisions not shown in rows,0,
gov.protect--data-protection-authority,2,LBR-gov.protect-orange-fine,,,,,,,privacy enforcement by the telecom regulator; no data protection authority constituted,0,
gov.regional--regional-legal-harmonisation,,,,,,,,,no REC cyberlaw instrument referenced or domesticated in the rows,0,
gov.regional--shared-regional-infrastructure,3,LBR-gov.regional-ecowas-roaming,,,,,,,three-country free roaming in effect; no traffic reported; CLSG fibre not in service,0,
gov.regional--cross-border-data-transfers,,,,,,,,,rows hold only a health memorandum reading; no transfer rule on record,0,
