indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,,,,,,,,,"development plan and Vision 2035 only; no national digital transformation strategy on the rows",0,
gov.policy--ict-strategy,3,DJI-gov.policy-pndtic|DJI-gov.policy-smart-nation,,,,,,,"PNDTIC cited as reference framework and Smart Nation strategy in force; no implementation plan or reporting on record",0,
gov.policy--broadband-strategy,2,DJI-gov.policy-snhd,,,,,,,"strategy presented with coverage scenarios under consideration; no adoption instrument",0,
gov.policy--data-storage-cloud-strategy,2,DJI-gov.policy-sovereign-cloud,,,,,,,"sovereign cloud framework still to be put in place on the ministry's own account",0,
gov.policy--data-interoperability-framework-roadmap,3,DJI-gov.policy-cid,,,,,,,"CID published 2022; no binding instrument or application on record",0,
gov.policy--ai-strategy,2,DJI-tech.ai-ai-strategy,,,,,,,"strategy in preparation on the listed source; its presentation post-dates the as-at",0,
gov.policy--data-localisation-policies,,,,,,,,,"transfer rules in force but their text is not held; no localisation rule on record",0,
gov.policy--data-governance-policy,,,,,,,,,"data-protection law in force; no national data policy or strategy on the rows",0,
gov.policy--open-data-policy,3,DJI-data.open-code-open-data,,,,,,,"open-data provisions in force in the Digital Code, text not held; no licence or publication obligation on record",0,
gov.legislate--data-protection-legislation,3,DJI-gov.protect-dpl,,,,,,,"law in force within the Digital Code; authority not constituted and no enforcement act on record",0,
gov.legislate--cybersecurity-legislation,3,DJI-infra.cybersec-anc,,,,,,,"ANC law in force and authority operating; no implementing regulations or prosecutions on record",0,
gov.legislate--legislation-covering-digital-id,3,DJI-gov.legislate-rnpp-law,,,,,,,"law and implementing decree in force; enrolment rights, grievance and oversight not on record",0,
gov.legislate--digital-payments-legislation,3,DJI-gov.legislate-payments-law,,,,,,,"payment-system law in force; non-bank licensing and interoperability rules not on record",0,
gov.legislate--legislation-enabling-data-interoperability,3,DJI-gov.legislate-code-numerique,,,,,,,"Digital Code covers electronic exchange; no implementing decrees, sharing obligations or custodian on record",0,
gov.legislate--ai-legislation-regulations,1,DJI-tech.ai-ai-governance,,,,,,,"readiness diagnostic finds no AI-specific law; the absence may rest on a source after the as-at",0,
gov.legislate--e-commerce-legislation,3,DJI-gov.legislate-digital-code,,,,,,,"Digital Code in force; no implementing decree or trust-service regulations held",0,
gov.legislate--statistics-legislation,,,,,,,,,"INSTAD operating with its mandate restated by decree; no statistics act on the rows",0,
gov.legislate--access-to-information-legislation,,,,,,,,,"no ATI instrument on record; the source names only the 1992 press law and states no absence",0,
gov.protect--data-protection-authority,2,DJI-gov.protect-cndp,,,,,,,"CNDP provided for in the Digital Code; no constitution, members or decisions on record",0,
gov.regional--regional-policy-collaboration,3,DJI-gov.regional-au-psf-declaration|DJI-gov.regional-igad-health-data,,,,,,,"hosted the AU forum declaration and IGAD framework adopted; no domestic instruments across areas",0,
gov.regional--regional-legal-harmonisation,3,DJI-gov.regional-malabo,,,,,,,"Malabo ratified; domestication across the cyberlaw set and mutual legal assistance not on record",0,
gov.regional--shared-regional-infrastructure,2,DJI-infra.connect-horizon-fiber|DJI-infra.connect-dare1-extension,,,,,,,"corridor agreement signed and cable extension announced; landing counts post-date the as-at",0,
gov.regional--cross-border-data-transfers,3,DJI-gov.protect-transfer-regime,,,,,,,"transfer articles in force in the Digital Code, text not held; no mechanism issued",0,
gov.standards--national-interoperability-standards,3,DJI-gov.policy-cid,,,,,,,"CID published, voluntary; no mandate, custodian or conformance on record",0,
gov.standards--national-quality-standards,2,DJI-gov.standards-adn,,,,,,,"standards agency with two committees operating; no ICT standards or quality policy on record",0,
gov.standards--adoption-of-international-standards,,,,,,,,,"standards agency operating; ISO membership and adopted international standards not on the rows",0,
gov.discourse--non-governmental-contribution-to-national-policy,2,DJI-gov.discourse-discourse,,,,,,,"four ad hoc consultations on file; no legal requirement or standing mechanism",0,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,"consultations only; nothing on shutdowns, blocking or press freedom in the rows",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,3,DJI-finance.budget-budget,,,,,,,"ANSIE budget with a digital investment line appropriated; no dedicated fund constituted",0,
infra.connect--national-fibre-backbone,3,DJI-infra.connect-dfn-eardip,,,,,,,"domestic fibre reaching Ali-Sabieh and Arta sites; national reach and length not on record",0,
infra.connect--international-internet-bandwidth,3,DJI-infra.connect-ras-dika-cls,5,routes,2023,2021-10-18-djibouti-telecom-builds-a-new-cable-landing-station-in-djibouti-city,,,"five cables named at the one Ras Dika station; independent landings not shown on listed sources",0,
infra.connect--internet-exchange-points,2,DJI-infra.connect-ixp,,,,,,,"DjIX and AMS-IX Djibouti in operation; no membership, capacity or traffic cited",0,
infra.connect--satellite-broadband-licensing-and-availability,1,DJI-infra.connect-satellite-authorisation,,,,,,,"incumbent chief executive: no clear framework for new entrants; no licensing decision on file",0,
infra.store--off-site-backup-capacity,,,,,,,,,"payment-system backup detail not captured; no government recovery site on the rows",0,
infra.capacity--robustness-of-government-hardware-and-software,,,,,,,,,"government data centre in operation; core finance, revenue and payroll systems not on the rows",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2,DJI-capacity.training-civil-service-skills,,,,,,,"civil-service training programme running; in-house system teams not on record",0,
infra.cybersec--national-cybersecurity-readiness,3,DJI-infra.cybersec-cyber-strategy|DJI-infra.cybersec-anc|DJI-infra.cybersec-dj-cert,,,,,,,"strategy, law, ANC and DJ-CERT in place; an exercise only, no incident response or enforcement on record",0,
dpi.exchange--national-data-exchange-system,2,DJI-dpi.exchange-price-data-platform,,,,,,,"exchange platform ordered by the 2026 budget law; none running on these rows",0,
dpi.exchange--use-of-digital-id-in-other-systems,2,DJI-dpi.exchange-id-verification,,,,,,,"real-time verification for banks and social protection in preparation",0,
dpi.exchange--interoperability-of-health-systems,2,DJI-dpi.mis-medical-records,,,,,,,"record sharing at one hospital; no HIE policy or architecture on record",0,
dpi.exchange--interoperability-of-education-systems,,,,,,,,,"GOSE EMIS in service; no exchange with examinations, payroll or ID on record",0,
dpi.exchange--interoperability-of-social-protection-systems,2,DJI-dpi.exchange-id-verification,,,,,,,"ID verification for social protection in preparation; no registry link in service",0,
dpi.id--robustness-of-system,3,DJI-dpi.id-cnib,,,,,,,"biometric card issued nationwide on a national number; no assurance level or audit published",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,"no supplier, contract or operating-team evidence on the rows",0,
dpi.id--authentication,3,DJI-dpi.id-mobile-id,,,,,,,"Mobile ID authentication and e-signature in service; usage across consumers not on record",0,
dpi.id--digital-id-from-birth,,,,,,,,,"identification law in force; no number assigned at birth on the rows",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,2,DJI-dpi.registry-civil-archives,,,,,,,"civil archives digitised alongside ID enrolment by one directorate; no exchange on record",0,
dpi.id--use-by-other-systems,2,DJI-dpi.id-mobile-id,,,,,,,"use by driving-licence and health records planned, not delivered",0,
dpi.pay--governance-role-of-central-bank,3,DJI-gov.legislate-payments-law,,,,,,,"central bank licenses and supervises payment systems; no retail switch or published oversight on record",0,
dpi.pay--g2p-functionality,,,,,,,,,"state personnel file held; no digital payment of salaries or transfers on the rows",0,
dpi.pay--revenue-collection,3,DJI-dpi.govtech-asycuda,,,,,,,"customs duties paid electronically; tax filing and payment through the tax system at 0 per cent",0,
dpi.pay--b2b-and-b2g-functionality,3,DJI-dpi.pay-syrad,,,,,,,"interbank settlement and clearing in service; e-procurement not on record",0,
dpi.pay--p2p-p2g-and-p2b-functionality,3,DJI-dpi.pay-d-money|DJI-dpi.pay-d-money-gateway,,,,,,,"D-Money wallet and gateway in service; instant payment switch not live",0,
dpi.pay--cross-border-functionality,2,DJI-dpi.pay-cross-border|DJI-gov.regional-payments-interoperability,,,,,,,"corridor partnership signed and regional framework terms issued; nothing in service",0,
dpi.pay--consumer-protection,2,DJI-dpi.pay-consumer-protection,,,,,,,"only the Digital Code's general consumer book, its reach into payments not established",0,
dpi.registry--population-register,3,DJI-dpi.id-cnib|DJI-gov.legislate-rnpp-law,,,,,,,"register built from ID enrolment; updating from vital events not on record",0,
dpi.registry--civil-register,2,DJI-dpi.registry-civil-archives,,,,,,,"civil archive digitisation under way; no national digital registration of vital events on record",0,
dpi.registry--address-register,,,,,,,,,"postal three-word grid and locality directory only; no addressing policy or register",0,
dpi.registry--business-register,3,DJI-dpi.registry-company-creation,,,,,,,"online company creation in service since January 2026; unique identifier and public search not stated",0,
dpi.registry--social-protection-register,3,DJI-dpi.registry-social-register,,,,,,,"social register in service; coverage and ID linkage not published on the rows",0,
dpi.registry--electoral-register,,,,,,,,,"identification law only; no electoral register evidence",0,
dpi.registry--tax-register,,,,,,,,,"integrated tax system not operational; register structure not on the rows",0,
dpi.registry--land-register,3,DJI-dpi.registry-land-register,,,,,,,"digitised land books the operative register since 2018; parcel counts and linkages not on record",0,
dpi.mis--health,,,,,,,,,"mSupply supply chain installed nationwide; no HMIS in the rows mapped here",0,
dpi.mis--education,3,DJI-dpi.mis-education-gose,,,,,,,"GOSE in operational use; published annual census and individual identifiers not shown",0,
dpi.mis--social-protection,,,,,,,,,"social register held; no programme MIS on the rows",0,
dpi.mis--justice,2,DJI-dpi.mis-justice-case-management,,,,,,,"pilot for minor offences under construction",0,
dpi.mis--tax,2,DJI-dpi.mis-tax-system,,,,,,,"returns filed and paid through the system at 0 per cent in January 2026",0,
dpi.mis--customs,3,DJI-dpi.govtech-asycuda|DJI-dpi.exchange-dpcs,,,,,,,"electronic clearance compulsory with e-payment and a statutory single window; risk management not on record",0,
