indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,NAM-infra.store-digital-strategy,,,,,,,"Strategy published August 2025, text not held; no costed plan or progress report on record",0,
gov.policy--ict-strategy,3,NAM-infra.connect-ministry-strategic-plan-2025-2030,,,,,,,ICT policy launched January 2026 on launch reporting only; no implementation reporting on record,0,
gov.policy--broadband-strategy,3,NAM-gov.policy-national-broadband-policy,,,,,,,Broadband policy gazetted 2020; no funding cited against it or progress reported on its targets,0,
gov.policy--data-storage-cloud-strategy,2,NAM-infra.store-public-data-centre,,,,,,,National data centre at concept and budget stage; no government hosting policy; cloud rule binds banks only,0,
gov.policy--data-interoperability-framework-roadmap,2,NAM-dpi.exchange-government-interoperability-framework,,,,,,,Framework drafted 2016 on the Estonian model; never gazetted or adopted,0,
gov.policy--ai-strategy,2,NAM-gov.policy-artificial-intelligence-strategy,,,,,,,Strategy in development under technical advisory committees since September 2025; not adopted,0,
gov.policy--data-localisation-policies,2,NAM-gov.policy-cloud-computing-determination,,,,,,,Banking determination points to residency requirements; no general or category-based localisation rule,0,
gov.policy--data-governance-policy,,,,,,,,,No national data policy in drafting or adopted on record; statistics agency policy is sectoral only,0,
gov.policy--open-data-policy,2,NAM-data.open-spatial-data-geoportal,,,,,,,Spatial geoportal publishes data with no open data policy behind it; access to information act not commenced,0,
gov.legislate--data-protection-legislation,2,NAM-gov.legislate-data-protection-bill|NAM-gov.legislate-data-protection-bill-latest-draft,,,,,,,Bill drafted since about 2013; not tabled at the as-at date,0,
gov.legislate--cybersecurity-legislation,2,NAM-gov.legislate-cybercrime-bill,,,,,,,Cybercrime bill being finalised; no draft published or tabled,0,
gov.legislate--legislation-covering-digital-id,3,NAM-dpi.registry-civil-registration-identification-act-13,,,,,,,Act assented December 2024; commencement not established and no data protection law in force,0,
gov.legislate--digital-payments-legislation,3,NAM-dpi.pay-payment-system-management-act-14|NAM-gov.legislate-payment-service-provider-licensing-determination,,,,,,,Act in force and licensing determination effective 2026; no licences issued or interoperability rules on record,0,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,Rows hold e-transactions and e-signature law only; no instrument on public-sector data sharing on record,0,
gov.legislate--e-commerce-legislation,3,NAM-gov.legislate-electronic-transactions-act-2019,,,,,,,Electronic Transactions Act in force since 2021; consumer provisions and accreditation acts not on record here,0,
gov.legislate--statistics-legislation,3,NAM-gov.legislate-statistics-act-2011,,,,,,,Act constitutes the agency; independence and confidentiality provisions not shown in the rows,0,
gov.legislate--access-to-information-legislation,3,NAM-data.open-access-information-statute-information-commissioner,,,,,,,Act 8 of 2022 enacted but not commenced; commissioner recruitment opened February 2026,0,
gov.protect--data-protection-authority,,,,,,,,,Authority exists only in an unenacted draft bill; no statutory provision or ministry unit on record,0,
gov.protect--national-data-protection-readiness,2,NAM-gov.legislate-data-protection-bill|NAM-gov.legislate-data-protection-bill-latest-draft,,,,,,,Bill in drafting; no law or authority,0,
gov.regional--regional-policy-collaboration,,,,,,,,,Only bilateral ICT memoranda on record; no regional body membership or regional process contribution held,0,
gov.regional--regional-legal-harmonisation,,,,,,,,,No REC model law referenced or domesticated on record,0,
gov.regional--shared-regional-infrastructure,2,NAM-infra.connect-regional-subsea-satellite-integration-agreement,,,,,,,Angola subsea and satellite integration agreement signed June 2026; not yet in service,0,
gov.regional--cross-border-data-transfers,,,,,,,,,Malabo ratified but transfer provisions of the draft bill not shown; no rule in force,0,
gov.standards--national-interoperability-standards,2,NAM-dpi.exchange-government-interoperability-framework,,,,,,,Interoperability framework drafted 2016; no standards catalogue published,0,
gov.standards--national-quality-standards,2,NAM-gov.standards-standards-act-2005|NAM-gov.standards-national-standardisation-strategy,,,,,,,Standards body active; no ICT or data quality standards or national quality policy on record,0,
gov.standards--adoption-of-international-standards,,,,,,,,,ISO membership and national adoption of ICT standards not on record; ISO 20022 migration is a payments system choice,0,
gov.discourse--non-governmental-contribution-to-national-policy,2,NAM-gov.discourse-published-draft-consultation-record-data,,,,,,,Ad hoc consultation on the 2022 data protection draft; no standing mechanism on record,0,
gov.discourse--open-discussion-of-government-policy,3,NAM-gov.discourse-cybercrime-bill-regional-consultations|NAM-gov.discourse-published-draft-consultation-record-data,,,,,,,Drafts consulted and critiqued openly; no restriction on record; access to information act not in force,0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,4,NAM-finance.new-universal-service-levy|NAM-finance.new-universal-service-fund,,,,,,,Universal service levy in regulations and fund operating on the regulator's own annual report,0,
infra.connect--national-fibre-backbone,3,NAM-infra.connect-fibre-backbone-length,,,,,,,18719.5 km on the ministry's figure; every-region reach and published open-access terms not on record,0,
infra.connect--internet-exchange-points,,,,,,,,,IXP named only in the 2022 task force framing; its membership and traffic sections were not captured,0,
infra.connect--satellite-broadband-licensing-and-availability,,,,,,,,,"Starlink refused, but a OneWeb service launched June 2026 sits on a row mapped elsewhere; stage 1 would contradict the base (CC)",0,
infra.store--off-site-backup-capacity,,,,,,,,,Only a commercial DR offering and a planned national data centre; no government backup arrangement on record,0,
