indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,,,,,,,,,"Only a DPI roadmap in development and a budget priority; no national digital transformation strategy drafted or adopted on record",0,
gov.policy--ict-strategy,2,KEN-gov.policy-harmonised-county-wayleave-framework,,,,,,,"Wayleave framework agreed for development only; no adopted ICT sector policy text on record",0,
gov.policy--broadband-strategy,4,KEN-infra.connect-digital-superhighway-fibre-and-hotspot-targe,,,,,,,"Dated fibre targets funded through the USF and budget lines with regulator-reported progress; plan document itself not held",0,
gov.policy--data-storage-cloud-strategy,3,KEN-gov.policy-kenya-cloud-policy-implementation-guideline|KEN-gov.policy-national-cloud-policy,,,,,,,"Policy and guidelines adopted; accreditation and migration begin after the as-at and no conformance act on record",0,
gov.policy--data-interoperability-framework-roadmap,3,KEN-gov.policy-gea-gif,,,,,,,"GEA-GIF approved by the ICT Authority; no binding instrument or system conformance on record",0,
gov.policy--ai-strategy,3,KEN-tech.ai-national-ai-strategy-2025-2030,,,,,,,"Strategy adopted with roadmap; no governance body constituted and no funded action on record",0,
gov.policy--data-localisation-policies,,,,,,,,,"Transfer guidance and regulations held but no localisation rule or data categorisation read out from them",0,
gov.policy--data-governance-policy,2,KEN-gov.policy-draft-national-data-governance-policy,,,,,,,"Draft policy of May 2026; not adopted",0,
gov.policy--open-data-policy,,,,,,,,,"Only a proposed paid data marketplace in a draft policy; no open data policy or portal on record",0,
gov.legislate--data-protection-legislation,4,KEN-gov.protect-data-protection-act-2019|KEN-gov.protect-betting-and-gaming-firms-registered-with-the,,,,,,,"Act in force with regulations and penalties levied; Malabo not ratified",0,
gov.legislate--cybersecurity-legislation,3,KEN-gov.legislate-computer-misuse-and-cybercrimes-act-2018,,,,,,,"Act in force though narrowed by courts; no regulations or institution under it on these rows",0,
gov.legislate--legislation-covering-digital-id,,,,,,,,,"Only a court ruling on phone numbers as identifiers; no ID statute on these rows",0,
gov.legislate--digital-payments-legislation,3,KEN-gov.legislate-virtual-asset-service-providers-act-2025|KEN-gov.legislate-virtual-asset-service-providers-regulations,,,,,,,"Virtual-asset law and regulations in force; licensing not opened and no payment-systems law on these rows",0,
gov.legislate--legislation-enabling-data-interoperability,3,KEN-dpi.mis-digital-health-act-2023-and-digital-health-a,,,,,,,"Sectoral health instrument in force under a court stay; no general data-sharing law on record",0,
gov.legislate--ai-legislation-regulations,2,KEN-tech.ai-kenya-artificial-intelligence-bill-2026|KEN-gov.legislate-ai-governance-act,,,,,,,"AI bill at first reading in the Senate; nothing enacted",0,
gov.legislate--e-commerce-legislation,,,,,,,,,"Rows cover copyright and IP bills only; no electronic-transactions law or bill on record",0,
gov.legislate--statistics-legislation,3,KEN-gov.legislate-statistics-act,,,,,,,"2006 Act in force; independence provisions only in the 2026 replacement bill",0,
gov.legislate--access-to-information-legislation,2,KEN-gov.legislate-access-to-information-amendment-bill,,,,,,,"Amendment bill only; the principal Act and its oversight body are not on these rows",0,
gov.protect--data-protection-authority,3,KEN-gov.protect-odpc-enforcement-caseload-and-penalties|KEN-gov.protect-odpc-data-protection-services-appropriation,,,,,,,"Funded and enforcing on the regulator's own figures; statutory independence not on these rows",0,
gov.protect--national-data-protection-readiness,3,KEN-gov.protect-odpc-draft-guidance-on-offshore-ai-processin,,,,,,,"Data Protection Act in force; DPIA and privacy-by-design guidance still in draft",0,
gov.regional--regional-policy-collaboration,2,KEN-gov.regional-eac-treaty,,,,,,,"EAC membership on record; no digital policy contribution on these rows",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"Malabo accession in process only; no REC instrument referenced or domesticated on record",0,
gov.regional--shared-regional-infrastructure,3,KEN-infra.connect-kenya-tanzania-terrestrial-fibre-link,,,,,,,"One cross-border fibre link launched July 2026; no capacity or traffic reported",0,
gov.regional--cross-border-data-transfers,3,KEN-gov.protect-cross-border-transfer-guidance,,,,,,,"Transfer framework set out by the regulator; no adequacy decisions or authorisations on record",0,
gov.standards--national-quality-standards,,,,,,,,,"ICT Authority data-centre standard and CA licences held; no national standards body or quality policy on record",0,
gov.standards--adoption-of-international-standards,,,,,,,,,"Only a planned EU standards engagement; no ISO membership or adopted standards on record",0,
gov.discourse--non-governmental-contribution-to-national-policy,,,,,,,,,"Civil-society programmes and a tax brief held; no consultation on a digital instrument on these rows",0,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,"Rows show policies in drafting only; neither restrictions nor their absence on record here",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,3,KEN-finance.budget-vote-1122-state-department-for-ict-and-the-d,,,,,,,"Recurring ICT vote in the appropriation; no dedicated fund on these rows",0,
infra.connect--national-fibre-backbone,3,KEN-infra.connect-kenya-tanzania-terrestrial-fibre-link,,,,,,,"Only the cross-border link held; national reach and length not on these rows",0,
infra.connect--internet-exchange-points,3,KEN-infra.connect-linx-nairobi-internet-exchange|KEN-infra.capacity-kixp-nairobi|KEN-infra.capacity-kixp-mombasa,,,,,,,"Two cities and 55-plus networks; baseline traffic inferred and government network peering not on record",0,
