indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--ict-strategy,,,,,,,,,"Only a tender for a 2050 modelling system and a project dashboard; no ICT sector strategy in these rows",0,
gov.policy--broadband-strategy,,,,,,,,,"Cost to Communicate study at tender and IMT roadmap in consultation; no national broadband plan in these rows",0,
gov.policy--ai-strategy,2,ZAF-gov.policy-ai-policy,,,,,,,"Draft policy gazetted for comment then withdrawn in April 2026; redraft under way",0,
gov.policy--data-localisation-policies,2,ZAF-gov.protect-data-cloud-policy,,,,,,,"Data and Cloud Policy in force asserts sovereignty; categorisation of localised data not shown in the rows",0,
gov.policy--open-data-policy,,,,,,,,,"Only a research open-science policy on record; no government open data policy",0,
gov.legislate--data-protection-legislation,3,ZAF-gov.protect-popia-health-information-regulations,,,,,,,"POPIA in force with health regulations; enforcement sits under the authority indicator, not these rows",0,
gov.legislate--digital-payments-legislation,,,,,,,,,"Only draft crypto exchange-control rules; no payment-systems law or e-money regulation in these rows",0,
gov.legislate--ai-legislation-regulations,,,,,,,,,"Not-held row covers state automated decisions only; SRD algorithm appeal is litigation with judgment reserved",0,
gov.legislate--access-to-information-legislation,3,ZAF-gov.legislate-popia-enforcement-notices,,,,,,,"PAIA enforcement shown by one source only; procedures and proactive-disclosure duties not on record",0,
gov.protect--data-protection-authority,3,ZAF-gov.legislate-popia-enforcement-notices|ZAF-gov.protect-breach-portal,,,,,,,"Regulator issuing enforcement notices; statutory independence and budget funding not on record",0,
gov.protect--national-data-protection-readiness,3,ZAF-gov.legislate-breach-notification-rate,,,,,,,"Breach notification in use on the regulator's figures; regulator doubts impact assessments are practised",0,
gov.regional--regional-policy-collaboration,3,ZAF-dpi.exchange-one-stop-border-posts,,,,,,,"Digitised border systems made a regional chairship priority; no domestic implementation or reporting to the bloc on record",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"Malabo non-signatory on a literature review; no REC instrument domesticated or referenced in these rows",0,
gov.regional--cross-border-data-transfers,,,,,,,,,"Only a customs data-exchange roadmap here; POPIA transfer provisions sit in rows under other indicators",0,
gov.standards--adoption-of-international-standards,,,,,,,,,"Only an ITU-aligned frequency plan and a VigiFlow pilot; ISO membership and adopted ICT standards not in these rows",0,
gov.discourse--non-governmental-contribution-to-national-policy,,,,,,,,,"Rights commission brief and an industry AI summit only; no consultation on a digital instrument in these rows",0,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,"Only an electoral disinformation code; nothing on shutdowns or free policy discussion in these rows",0,
infra.connect--national-fibre-backbone,2,ZAF-infra.connect-sa-connect-phase-2,,,,,,,"About 1180 km of SA Connect fibre; national backbone reach and open-access terms not on record",0,
infra.connect--internet-exchange-points,3,ZAF-infra.connect-cinx,,,,,,,"Cape Town and Johannesburg exchanges with 122 and 208 networks; traffic growth and government peering not on record",0,
infra.connect--satellite-broadband-licensing-and-availability,3,ZAF-infra.connect-satellite-market-entry-via-section-13,,,,,,,"LEO entry through a licensed distributor; blanket terminal licensing still in draft after August hearings",0,
infra.capacity--robustness-of-government-hardware-and-software,,,,,,,,,"Home Affairs downtime and a prison telephony tender only; core finance revenue and payroll systems not described",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,3,ZAF-include.access-sita-performance|ZAF-infra.store-government-public-cloud,,,,,,,"State IT agency serves departments amid leadership gaps; no systematic capacity programme on record",0,
infra.cybersec--national-cybersecurity-readiness,2,ZAF-infra.connect-national-csirt|ZAF-infra.connect-national-cybersecurity-policy-framewor,,,,,,,"Policy framework adopted and CSIRT operating without incident statistics; no cybersecurity law in these rows",0,
dpi.exchange--interoperability-of-health-systems,2,ZAF-dpi.govtech-national-health-insurance-information-,,,,,,,"Interoperability framework gazetted 2021; no exchange in service on record",0,
dpi.exchange--interoperability-of-education-systems,,,,,,,,,"School administration system in testing and a post-school platform in dispute; no exchange between systems on record",0,
dpi.exchange--interoperability-of-social-protection-systems,,,,,,,,,"Only the student-aid scheme's integration order; no social protection registry or programme link in these rows",0,
dpi.id--robustness-of-system,3,ZAF-dpi.id-blocked-identity-documents,,,,,,,"Identity documents in issue with duplicates detected and blocked; no assurance level or audit on record",0,
dpi.pay--governance-role-of-central-bank,,,,,,,,,"PayInc stake and CBDC position only; the bank's licensing and oversight mandate not stated in these rows",0,
dpi.pay--g2p-functionality,3,ZAF-include.access-postbank-black-card-migration,,,,,,,"Social grants paid to Postbank cards; salaries and pensions not in these rows",0,
dpi.pay--revenue-collection,2,ZAF-dpi.exchange-digital-vat-model|ZAF-dpi.govtech-vat-modernisation-consultation,,,,,,,"E-invoicing and e-reporting model out to consultation; electronic payment in service not stated in these rows",0,
dpi.pay--b2b-and-b2g-functionality,,,,,,,,,"Only a private rand stablecoin; no e-procurement or interbank business payment service in these rows",0,
