indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--ai-strategy,3,MUS-tech.ai-aim,,,,,,,"strategy adopted; August lab launch adds no implementation plan or funding on record for stage 4",0,
gov.policy--open-data-policy,3,MUS-gov.policy-open-data-policy,,,,,,,"policy adopted 2017; no licence or publishing obligation on record",0,
gov.legislate--legislation-covering-digital-id,3,MUS-gov.legislate-nic-act|MUS-dpi.id-nic-regulations,,,,,,,"act and regulations in force; grievance and oversight provisions applied in practice not on record",0,
gov.legislate--ai-legislation-regulations,3,MUS-gov.legislate-he-ai-regs,,,,,,,"sectoral AI regulations for higher education only; no enabling AI framework",0,
gov.legislate--statistics-legislation,3,MUS-gov.legislate-statistics-act,,,,,,,"act in force; independence only proposed in budget annex; Finance Act 2026 content not shown to add it",0,
gov.protect--national-data-protection-readiness,,,,,,,,,"rows held show interception and ANPR use only; no data protection law or authority on record in them",0,
gov.regional--regional-policy-collaboration,3,MUS-gov.regional-ioc,,,,,,,"active on IOC and SADC tracks; no regional instruments implemented domestically on record",0,
gov.regional--shared-regional-infrastructure,,,,,,,,,"AFRINIC seat and governance dispute is not a shared infrastructure asset; no cross-border link or IXP row held",0,
gov.standards--national-interoperability-standards,3,MUS-dpi.exchange-interop-framework,,,,,,,"e-GIF 2002 published; August service framework only noted by cabinet with no custodian or conformance testing on record",0,
gov.discourse--non-governmental-contribution-to-national-policy,,,,,,,,,"national IGF convened on a visitor's press release; no consultation on a digital instrument on record",0,
gov.discourse--open-discussion-of-government-policy,2,MUS-gov.legislate-online-content-sanctions-notice|MUS-gov.legislate-online-speech-prosecution-warning,,,,,,,"ministry restated August 2026 that deceptive or inaccurate content carries up to 20 years; no prosecution count",0,
infra.connect--national-fibre-backbone,3,MUS-infra.connect-fibre-backbone,,,,,,,"in service; no route length or open-access terms on record",0,
infra.connect--satellite-broadband-licensing-and-availability,2,MUS-infra.connect-ngso,,,,,,,"regime issued with no service authorised; St Brandon link is a state contract not licensed availability",0,
infra.cybersec--national-cybersecurity-readiness,2,MUS-infra.cybersec-cii,,,,,,,"CII regulations in force; no adopted strategy or constituted CERT on record; incident figure has no reporting body",0,
dpi.id--digital-id-from-birth,,,,,,,,,"ID act and civil register held separately; no assignment of a number at birth on record",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,,,,,,,,,"civil register revamp and ID wallet held; no linkage between the registers on record",0,
dpi.pay--consumer-protection,,,,,,,,,"payment systems act and stablecoin guidance held; no consumer-protection content on record in them",0,
dpi.registry--population-register,3,MUS-dpi.registry-population-register|MUS-dpi.registry-crvs,,,,,,,"register in service and under revamp; use by other registers not on record",0,
dpi.mis--education,,,,,,,,,"only an operator's AI teaching platform held; no ministry EMIS on record",0,
dpi.govtech--e-government-services,2,MUS-dpi.govtech-motor-vehicle-licence-system,,,,,,,"one transactional service live August 2026 for taxi operators; tens of services not on record",0,
digital.rural--digitalisation-of-rural-registry-offices,,,,,,,,,"no rural registry network; national offices revamping systems with no rung on record",0,
tech.ai--development-of-national-regional-ai-systems,3,MUS-tech.ai-mytgpt,,,,,,,"operator's platform in service; no funded national programme or usage reported",0,
tech.ai--control-of-ai-abuse,2,MUS-tech.ai-aim,,,,,,,"FAIR guidelines non-binding; no rule in force on an AI harm",0,
include.access--citizen-participation-in-policy,2,MUS-include.access-consultations,,,,,,,"two consultations in 12 months, neither on a digital instrument; no stated procedure",0,
data.statistics--national-strategy-for-development-of-statistics,1,MUS-data.statistics-strategy,,,,,,,"2020-2025 strategy expired with no successor held",0,
data.statistics--censuses-and-surveys,3,MUS-data.statistics-surveys,,,,,,,"regular releases; no current-round census results on record",0,
data.statistics--statistics-from-administrative-data,,,,,,,,,"only a fisheries system proposal held; no statistical product from registers on record",0,
