indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--data-interoperability-framework-roadmap,2,SSD-gov.policy-gea,,,,,,,Enterprise architecture consultancy tendered; no adopted interoperability framework,0,
gov.policy--open-data-policy,2,SSD-data.open-open-data,,,,,,,Statistics bureau portal publishing datasets; no open data policy or licence held,0,
gov.legislate--digital-payments-legislation,2,SSD-gov.legislate-national-payment-system-bill,,,,,,,Bill validated at an August 2026 workshop; not yet passed,0,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,Only row is the ICT Authority; no data-sharing instrument drafted or in force on record,0,
gov.legislate--statistics-legislation,3,SSD-gov.legislate-nbs-act-2024,,,,,,,2024 Act in force on the bureau's own page; text not held so Charter principles unverified,0,
gov.protect--data-protection-authority,2,SSD-gov.protect-nca-data-privacy-mandate,,,,,,,Communications regulator carries the data privacy mandate; no dedicated authority constituted,0,
gov.protect--national-data-protection-readiness,2,SSD-gov.protect-dp-bill|SSD-gov.protect-nca-data-privacy-mandate,,,,,,,Data Protection Bill drafted and validated; no statute in force,0,
gov.regional--regional-policy-collaboration,,,,,,,,,ATU collaboration pledge only; neither membership nor any contribution stated,0,
gov.regional--shared-regional-infrastructure,2,SSD-gov.regional-kenya-connectivity-mou,,,,,,,Cross-border connectivity memorandum and satellite study; no shared asset in service on record,0,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,Blocking of January 2025 is outside the 12 months; no evidence of free discussion or published policy for stage 3,0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2,SSD-infra.capacity-government-systems,,,,,,,Training and skills-centre renovation only; no in-house system maintenance on record,0,
dpi.exchange--use-of-digital-id-in-other-systems,2,SSD-dpi.id-birth-registration-link,,,,,,,Link from civil registration to the ID planned; no system using the ID in service,0,
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,Issuance figures only; who builds and operates the system is not on record,0,
dpi.id--authentication,,,,,,,,,Only registration activity on record; no authentication or e-signature service and no cited absence,0,
dpi.id--use-by-other-systems,,,,,,,,,Integrated-registry memorandum does not state another register adopting the national number,0,
dpi.pay--g2p-functionality,,,,,,,,,Cash transfers paid but payment channel not stated as digital; delays tied to currency shortage,0,
dpi.pay--revenue-collection,3,SSD-dpi.pay-cashless-passport,,,,,,,Passport and ID fees digital only; cash tax payment ordered enforced from 29 August 2026,0,
dpi.pay--cross-border-functionality,,,,,,,,,Bilateral fintech support only; no corridor or cross-border framework on record,0,
dpi.registry--electoral-register,,,,,,,,,Registration pending; neither a digital register nor a cited absence on record,0,
dpi.mis--education,,,,,,,,,"Only the education-in-emergencies system on DHIS2, a humanitarian cluster's rather than the ministry's own EMIS (CC)",0,
tech.innovate--technology-hubs,2,SSD-capacity.training-aweil-ict-hub,,,,,,,One operator-run hub opened; no programme cohorts or outputs published,0,
include.access--inclusion-of-persons-with-disabilities,2,SSD-include.access-disability,,,,,,,Disability action plan and trainings; no accessibility requirement on digital services,0,
include.access--inclusion-of-refugees-and-idps,3,SSD-dpi.id-dtm-biometric-registration,,,,,,,Biometric registration by the migration agency; no access to digital services provided for,0,
data.open--use-of-open-data,2,SSD-data.open-open-data,,,,,,,Statistics portal with download and interface; no open licence stated,0,
