indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,CPV-gov.policy-eedcv,,,,,,,"EEDCV adopted by Resolucao 88/2024; no costed plan or M&E report on record; August consultation feeds a successor agenda only",0,
gov.policy--ict-strategy,3,CPV-gov.policy-eedcv|CPV-gov.policy-5g-strategy,,,,,,,"Adopted by resolution; no implementation reporting against the sector strategy on record",0,
gov.policy--open-data-policy,,,,,,,,,"Portal only planned for 2024 and not held; no policy and no cited absence on record",0,
gov.discourse--open-discussion-of-government-policy,3,CPV-gov.discourse-public-policy-dialogue-mechanism,,,,,,,"OGP forum and eParticipa in service; no access-to-information law or proactive disclosure on record",0,
infra.connect--satellite-broadband-licensing-and-availability,3,CPV-infra.connect-starlink-cabo-verde|CPV-gov.legislate-arme-general-authorisation-regime,,,,,,,"Starlink in service under general authorisation; satellite framework only in consultation to 31 August 2026",0,
dpi.pay--consumer-protection,3,CPV-dpi.pay-consumer-protection-regime,,,,,,,"Central bank complaints unit now reporting; responsible-lending and data-privacy rules not on record",0,
dpi.registry--civil-register,3,CPV-dpi.registry-codigo-registo-civil|CPV-dpi.registry-civil-register-output|CPV-dpi.id-birth-registration-coverage,,,,,,,"Births published by the registries directorate; digital registration of all events and historic digitisation not on record",0,
digital.localgov--ict-infrastructure-for-local-government,2,CPV-dpi.govtech-municipal-services-platform,,,,,,,"One municipal council building its own services platform; operation due end-2026; no national programme on record",0,
digital.localgov--digitalisation-of-local-government-records,3,CPV-digital.localgov-municipal-digital-government,,,,,,,"Municipal information system in all municipalities with uneven functionality; successor not deployed",0,
digital.rural--digitalisation-of-rural-police-stations,4,CPV-digital.rural-sipp-policia-nacional,,,,,,,"Electronic criminal process in all 17 comarcas; ID linkage and AFRIPOL connection not on record",0,
tech.innovate--tech-startup-ecosystem,2,CPV-tech.innovate-reinventa-hackathon,,,,,,,"Competition held; no startup law or strategy adopted; university partnership only projected",0,
data.statistics--national-strategy-for-development-of-statistics,3,CPV-data.statistics-ende-2022-2026,,,,,,,"ENDE 2022-2026 adopted; no funding or evaluation reported to the governing body on record",0,
data.statistics--statistics-from-administrative-data,,,,,,,,,"Rows here show no administrative-data product; the INE vital statistics series sits under the civil-register indicator",0,
