indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,2,COD-gov.policy-digital-plan-2026-2030|COD-gov.policy-sectoral-digital-economy-policy,,,,,,,"sectoral policy validated 2026-08-04 and referred for adoption; not adopted or published",0,
gov.policy--ict-strategy,2,COD-gov.policy-plan-national-numerique-2025|COD-gov.policy-digital-plan-2026-2030,,,,,,,"2025 plan expired; successor validated but not adopted or published",0,
gov.policy--broadband-strategy,2,COD-gov.policy-national-coverage-strategy,,,,,,,"connectivity strategy 2026-2035 unveiled by the universal service fund; text not held and no adoption instrument on record",0,
gov.policy--ai-strategy,2,COD-tech.ai-artificial-intelligence-strategy|COD-tech.ai-snia,,,,,,,"strategy validated 2026-08-04 and referred to Council of Ministers; not adopted or published",0,
gov.policy--open-data-policy,2,COD-data.open-open-data-policy-or,,,,,,,"portals publishing with no open-data policy or licence behind them",0,
gov.legislate--data-protection-legislation,3,COD-gov.legislate-code-du-num-rique,,,,,,,"Digital Code in force; no data-protection authority operating and no regulatory enforcement act",0,
gov.legislate--cybersecurity-legislation,3,COD-gov.legislate-code-du-num-rique|COD-infra.cybersec-functioning-incident-response-capability,,,,,,,"prosecutors instructed to open cases but no prosecution or CERT incident response on record",0,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,"rows show no instrument permitting public-body data sharing; exchange platform and framework are consultant deliverables",0,
gov.legislate--ai-legislation-regulations,2,COD-tech.ai-common-ai-governance-steering|COD-tech.ai-artificial-intelligence-strategy,,,,,,,"AI addressed in a validated strategy only; no rule with legal effect on record",0,
gov.legislate--e-commerce-legislation,3,COD-gov.legislate-code-du-num-rique|COD-dpi.exchange-electronic-certification-authority,,,,,,,"Digital Code in force; certification authority named but not established",0,
gov.legislate--statistics-legislation,3,COD-gov.legislate-statistics-ordinances,,,,,,,"ordonnance-loi signed naming the statistics institute with confidentiality; independence and funding basis not on record",0,
gov.protect--national-data-protection-readiness,,,,,,,,,"rows here show neither the law nor an authority; the Digital Code sits under the legislation indicator",0,
gov.regional--regional-policy-collaboration,2,COD-gov.regional-african-telecommunications-union-headquarters,,,,,,,"ATU membership and headquarters return ratified; no contribution to a policy process on record",0,
gov.standards--national-quality-standards,,,,,,,,,"rows concern operator redress and the regulator decree; no standards body or quality policy on record",0,
gov.discourse--non-governmental-contribution-to-national-policy,2,COD-gov.discourse-named-public-debate-object,,,,,,,"ad hoc working session with the industry network; standing framework agreed but not constituted",0,
