indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,SLE-gov.policy-innovation-digital-strategy,,,,,,,"Strategy 2019-2029 in force; no costed plan or M&E report on record",0,
gov.policy--ict-strategy,3,SLE-gov.policy-digital-development-policy,,,,,,,"Sector policy 2021 in force; no implementation plan or reporting on record",0,
gov.policy--broadband-strategy,3,SLE-infra.connect-broadband-strategy,,,,,,,"Strategy 2023-2028 published by the ministry; no funding source or progress report on record",0,
gov.policy--data-storage-cloud-strategy,2,SLE-infra.store-national-data-centre,,,,,,,"National data centre commissioned with no government hosting or cloud policy on record",0,
gov.policy--data-interoperability-framework-roadmap,,,,,,,,,"Only an X-Road exchange pilot on record; no framework or roadmap drafted or announced",0,
gov.policy--ai-strategy,2,SLE-tech.ai-ai-strategy,,,,,,,"Strategy in drafting with consultations run; not adopted",0,
gov.policy--data-localisation-policies,,,,,,,,,"Only SIM registration rules on record; nothing on where data may be held",0,
gov.policy--data-governance-policy,3,SLE-gov.policy-data-strategy|SLE-gov.policy-dp-policy,,,,,,,"Data strategy issued 2023; no institutional owner or implementing instruments on record",0,
gov.policy--open-data-policy,2,SLE-data.open-raic-open-data-programme|SLE-data.open-sleiti-open-data-policy,,,,,,,"Sectoral EITI policy and a commission programme only; no national open data policy",0,
gov.legislate--data-protection-legislation,2,SLE-gov.protect-dp-rti-bill,,,,,,,"Bill authorised by Cabinet April 2026; not tabled or enacted",0,
gov.legislate--cybersecurity-legislation,3,SLE-infra.cybersec-cybercrime-act-2021,,,,,,,"Act 2021 in force; no regulations or prosecution on record",0,
gov.legislate--legislation-covering-digital-id,3,SLE-gov.legislate-ncr-act-2016,,,,,,,"NCR Act 2016 in force; regulations and rights provisions not on record; successor bill validated",0,
gov.legislate--digital-payments-legislation,3,SLE-gov.legislate-nps-act-2022,,,,,,,"NPS Act 2022 in force; non-bank licensing and interoperability rules not on record",0,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,"No data-sharing instrument in force or drafted on record; ETA 2019 and pending bills do not provide for it",0,
gov.legislate--ai-legislation-regulations,2,SLE-tech.ai-ai-strategy,,,,,,,"Readiness diagnostic and consultations on AI only; no rule with legal effect",0,
gov.legislate--e-commerce-legislation,3,SLE-gov.legislate-eta-2019,,,,,,,"ETA 2019 enacted but not operationalised; text itself not held",0,
gov.legislate--statistics-legislation,3,SLE-gov.legislate-statistics-act-2002,,,,,,,"Act 2002 establishes Stats SL; Charter principles not shown in it",0,
gov.legislate--access-to-information-legislation,3,SLE-gov.legislate-rti-act-2013,,,,,,,"RTI Act 2013 in force with commission; no requests or decisions on record",0,
gov.protect--data-protection-authority,,,,,,,,,"No authority in law; RAIC to become one under a bill not yet tabled",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"Only a bilateral Nigeria framework on record; no REC instrument referenced or domesticated",0,
gov.regional--shared-regional-infrastructure,3,SLE-gov.regional-ecowas-roaming|SLE-infra.connect-sogeb-leonecom,,,,,,,"Roaming and Guinea fibre link in service; no traffic or usage reported",0,
gov.regional--cross-border-data-transfers,,,,,,,,,"No transfer rule in force or drafted on record; bilateral framework is not binding",0,
gov.standards--national-interoperability-standards,2,SLE-gov.standards-mocti-standards-and-compliance,,,,,,,"Ministry names frameworks but publishes none; no adoption date",0,
gov.standards--national-quality-standards,2,SLE-gov.standards-slsb-standards,,,,,,,"Standards bureau active; no ICT or data standards or quality policy on record",0,
gov.standards--adoption-of-international-standards,,,,,,,,,"Standards bureau active but ISO membership and ICT standard adoption not on record",0,
gov.discourse--non-governmental-contribution-to-national-policy,2,SLE-tech.innovate-tieac,,,,,,,"Advisory council constituted 2026; no consultation requirement or traceable input on record",0,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,"Libel repeal only; no record on shutdowns or free discussion in the 12 months",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,2,SLE-finance.budget-domestic-budget-appropriations-for-the-d,,,,,,,"MoCTI head at proposed stage only; no appropriation act or dedicated fund held",0,
infra.connect--national-fibre-backbone,3,SLE-infra.connect-fibre-backbone,,,,,,,"Fibre in 14 of 16 districts; two districts unserved",0,
infra.connect--internet-exchange-points,3,SLE-infra.connect-michcom-ix,,,,,,,"One IXP with five peers and 60G; national IXP at procurement",0,
infra.connect--satellite-broadband-licensing-and-availability,3,SLE-infra.connect-starlink-licence,,,,,,,"One operator licensed and in service; no blanket or class licensing on record",0,
infra.store--off-site-backup-capacity,2,SLE-infra.store-mof-data-centre,,,,,,,"Finance ministry data centre has no disaster recovery; plans under way",0,
infra.capacity--robustness-of-government-hardware-and-software,2,SLE-dpi.govtech-e-procurement,,,,,,,"Core systems being rolled out; no custodian or inventory on record",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2,SLE-capacity.training-enterprise-architecture,,,,,,,"One training exercise for 100 ICT staff; no in-house builds on record",0,
infra.cybersec--national-cybersecurity-readiness,2,SLE-infra.cybersec-nc3|SLE-infra.cybersec-cybercrime-act-2021,,,,,,,"Law in force and coordination centre operating; no strategy adopted on record",0,
dpi.exchange--national-data-exchange-system,2,SLE-dpi.exchange-gsb-xroad,,,,,,,"Exchange layer piloting on X-Road; no connected agencies published",0,
