indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,2,UGA-gov.policy-nita-u-strategic-plan,,,,,,,"IT authority's own five-year plan stands in; no national DTS adopted in these rows; plan document not held",0,
gov.policy--ict-strategy,3,UGA-gov.policy-digital-uganda-vision-2040|UGA-gov.policy-ict-ministry-strategic-plan,,,,,,,"Vision 2040 and ministry plan adopted; no implementation reporting on record",0,
gov.policy--broadband-strategy,3,UGA-gov.policy-national-broadband-policy-2018,,,,,,,"2018 policy adopted and under ITU review; targets not itemised; no funding or progress against targets on record",0,
gov.policy--data-storage-cloud-strategy,2,UGA-gov.policy-green-data-centre-strategy|UGA-gov.policy-nita-u-strategic-plan,,,,,,,"green data-centre strategy and national data-centre target only; no government hosting or cloud policy on record",0,
gov.policy--data-interoperability-framework-roadmap,3,UGA-gov.standards-egif-reference-architecture|UGA-gov.standards-government-enterprise-architecture-e,,,,,,,"e-GIF adopted and renewed May 2026; no binding instrument or conformance on record",0,
gov.policy--ai-strategy,2,UGA-tech.ai-ai-emerging-technologies-strategy,,,,,,,"strategy in drafting after March 2026 consultations; no adopted text",0,
gov.policy--data-localisation-policies,,,,,,,,,"no localisation rule in the rows; transfer regime evidence sits under the data protection rows; no cited absence",0,
gov.policy--data-governance-policy,2,UGA-gov.policy-national-data-strategy,,,,,,,"national data strategy in drafting on the permanent secretary's account",0,
gov.policy--open-data-policy,2,UGA-data.open-open-government-data-policy|UGA-data.open-national-sdg-open-data-portal,,,,,,,"draft policy never adopted; SDG portal publishes with no policy behind it",0,
gov.legislate--data-protection-legislation,3,UGA-gov.protect-data-protection-privacy-act,,,,,,,"law in force and enforced by the office; no implementing regulations on record",0,
gov.legislate--cybersecurity-legislation,3,UGA-gov.legislate-computer-misuse-act-ss,,,,,,,"Computer Misuse Act in force with sections nullified 2026-03; no regulations or agency under it on record",0,
gov.legislate--legislation-covering-digital-id,3,UGA-gov.legislate-registration-of-persons-act,,,,,,,"Act in force since 2015; regulations and grievance or oversight provisions not on record",0,
gov.legislate--digital-payments-legislation,,,,,,,,,"only digital-lending guidelines held; no payment-systems law or e-money regulation in the rows; no cited absence",0,
gov.legislate--legislation-enabling-data-interoperability,3,UGA-gov.legislate-nita-u-act-2009,,,,,,,"NITA-U Act is the enabling statute; no sharing obligations or implementing acts on record",0,
gov.legislate--ai-legislation-regulations,2,UGA-gov.legislate-ai-legal-framework|UGA-tech.ai-ai-emerging-technologies-strategy,,,,,,,"government landscape assessment found no AI framework; no rule with legal effect on record",0,
gov.legislate--e-commerce-legislation,,,,,,,,,"no electronic-transactions law in the rows; rows show a sovereignty bill and Wi-Fi licensing enforcement only",0,
gov.legislate--statistics-legislation,3,UGA-gov.legislate-uganda-bureau-of-statistics-act,,,,,,,"1998 Act in force; independence and confidentiality provisions not on record",0,
gov.legislate--access-to-information-legislation,3,UGA-gov.legislate-access-to-information-act-2005,,,,,,,"Act in force; no oversight mechanism or request statistics on record",0,
gov.protect--data-protection-authority,3,UGA-gov.protect-pdpo-decision-adlegal-v|UGA-gov.protect-pdpo-orders-against-google|UGA-gov.protect-beera-ku-guard-awareness,,,,,,,"office enforcing against private controllers; statutory independence and budget not on record",0,
gov.protect--national-data-protection-readiness,,,,,,,,,"only a public-awareness figure in these rows; law and authority evidence sits under the legislation and DPA rows",0,
gov.regional--regional-policy-collaboration,3,UGA-gov.regional-uganda-s-seat-atu,,,,,,,"ATU Administrative Council seat and floor contribution; no regional guideline domesticated on record",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"EAC Treaty and proposals only; no REC model law referenced in a domestic draft on record",0,
gov.regional--shared-regional-infrastructure,2,UGA-gov.regional-eac-cross-border-payment-masterplan|UGA-infra.connect-northern-corridor-regional-satellite,,,,,,,"regional payment masterplan and satellite study only; no shared asset in service in these rows",0,
gov.regional--cross-border-data-transfers,,,,,,,,,"only an unexecuted health data-sharing agreement here; transfer-assessment evidence sits under the DPA rows",0,
gov.standards--national-interoperability-standards,3,UGA-gov.standards-government-enterprise-architecture-e,,,,,,,"renewed e-GIF delivered May 2026; documents not held; no mandate or conformance testing",0,
gov.standards--national-quality-standards,2,UGA-gov.standards-uganda-national-bureau-of-standards,,,,,,,"standards body operating; no ICT or data standard adopted and no quality policy in these rows",0,
gov.standards--adoption-of-international-standards,2,UGA-gov.standards-ppda-iso-27001|UGA-gov.standards-unbs-ai-standards-work-programme,,,,,,,"sporadic: one ISO 27001 certification and AI standards still drafts; ISO membership not on record",0,
gov.discourse--non-governmental-contribution-to-national-policy,,,,,,,,,"only a civil-society UPR submission; no consultation on a digital instrument in these rows",0,
gov.discourse--open-discussion-of-government-policy,2,UGA-gov.legislate-ucc-order-suspending-public|UGA-infra.connect-social-media-ott-restriction,,,,,,,"January 2026 shutdown and continuing social-media block inside the 12 months",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,3,UGA-finance.budget-domestic-state-digital-transformation|UGA-finance.budget-national-budget-fy2026-27,,,,,,,"recurring domestically financed ICT vote; no dedicated fund cited in these rows",0,
infra.connect--internet-usage,1,UGA-infra.connect-census-ict-use,8.9,% of population,2024,2025-09-30-ubos-nphc2024-final-report-vol1,,,"2024 census figure",0,
infra.connect--national-fibre-backbone,2,UGA-infra.connect-backbone-infrastructure-phase-v|UGA-infra.connect-bayobab-kampala-malaba-fibre,,,,,,,"Phase V under way and one commercial route lit; national reach and length not on record",0,
infra.connect--international-internet-bandwidth,,,,,,,,,"Seacom Nairobi-Kampala in service is a floor of one route; Paratus live only after the as-at; independence not established",0,
infra.connect--internet-exchange-points,3,UGA-infra.connect-uixp|UGA-infra.connect-nipx,,,,,,,"UIXP 32 networks and 40 Gbps flat through 2024; no growth across two dates",0,
infra.connect--satellite-broadband-licensing-and-availability,,,,,,,,,"only a regional satellite feasibility study held; no satellite broadband licensing on record",0,
infra.store--off-site-backup-capacity,2,UGA-infra.store-off-site-backup-procurements|UGA-infra.store-national-data-centre-services,,,,,,,"DR offered in a catalogue with no uptake; agency backup procurements open",0,
infra.capacity--robustness-of-government-hardware-and-software,,,,,,,,,"central security services and a 2022 survey held; core finance revenue and payroll systems not in the rows",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2,UGA-infra.capacity-ict-cybersecurity-workforce-baseline,,,,,,,"workforce a programme objective; competence framework at terms of reference; no in-house teams on record",0,
infra.cybersec--national-cybersecurity-readiness,2,UGA-infra.cybersec-information-security-framework-2026|UGA-infra.cybersec-computer-emergency-response-team,,,,,,,"framework issued and CERT exists; no incident response record or law in these rows",0,
dpi.exchange--national-data-exchange-system,3,UGA-dpi.exchange-ughub,,,,,,,"UGHub at 37% agency integration; no usage reporting since 2024-06",0,
dpi.exchange--use-of-digital-id-in-other-systems,2,UGA-dpi.id-tax-identification-number-merged,,,,,,,"TIN-to-NIN migration announced; no verification service in use on record here",0,
dpi.exchange--interoperability-of-health-systems,3,UGA-dpi.exchange-health-information-exchange-guidelines|UGA-dpi.mis-laboratory-data-repository,,,,,,,"HIE guidelines adopted; lab data linked to warehouse; no national standards adopted on record",0,
dpi.exchange--interoperability-of-education-systems,,,,,,,,,"EMIS with learner IDs in service; no exchange with another system on record",0,
dpi.exchange--interoperability-of-social-protection-systems,2,UGA-dpi.registry-national-single-registry,,,,,,,"registry integration still in progress on donor account; no exchange in service",0,
dpi.id--robustness-of-system,3,UGA-dpi.id-secure-identification-system|UGA-dpi.id-enhanced-id-card,,,,,,,"system issuing with deduplication; QR and authentication failing; no assurance level or audit",0,
dpi.id--registration-of-entire-population,,,,,,,,,"first-time enrolment 37.3% of target only; no population share stated",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,3,UGA-geopol.gulf-tahaluf-id-system-contract|UGA-dpi.id-iris-capture-registration-kits,,,,,,,"authority operates on a foreign supplier's platform; no exit terms or funding model on record",0,
dpi.id--authentication,3,UGA-dpi.exchange-ugpass,,,,,,,"UGPass in service on the authority's description; no usage figure",0,
dpi.id--digital-id-from-birth,3,UGA-dpi.registry-birth-registration-drive,,,,,,,"NINs issued at referral hospitals; no national coverage figure since 2016",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,3,UGA-dpi.id-crvs-national-id-integration,,,,,,,"one agency and NIN on birth notification on its own account; no reconciliation reported",0,
dpi.id--use-by-other-systems,,,,,,,,,"only private e-KYC access held here; tax-register adoption of the NIN sits under other rows",0,
dpi.pay--governance-role-of-central-bank,3,UGA-dpi.pay-rtgs-replacement-iso-20022|UGA-dpi.pay-payment-switch|UGA-dpi.pay-cash-withdrawal-caps,,,,,,,"central bank operates RTGS and issues binding circulars; national switch still in development",0,
dpi.pay--g2p-functionality,3,UGA-dpi.mis-pdmis|UGA-dpi.pay-pdm-disability-grant|UGA-dpi.pay-g2p-payment-mechanisms-study,,,,,,,"parish programme pays through digital accounts; other streams not shown digital",0,
dpi.pay--revenue-collection,3,UGA-dpi.pay-tax-payment-mtn-momo|UGA-dpi.pay-non-tax-revenue-collection|UGA-dpi.govtech-electronic-invoicing,,,,,,,"electronic tax payment in service; electronic share of revenue not published",0,
dpi.pay--b2b-and-b2g-functionality,,,,,,,,,"rows are consumer fintech products; no e-procurement or business payment service on record here",0,
dpi.pay--p2p-p2g-and-p2b-functionality,3,UGA-dpi.pay-e-money-transaction-value|UGA-dpi.pay-interbank-and-agent-platforms|UGA-dpi.pay-tax-payment-mtn-momo,,,,,,,"central bank figures; mobile-money provider interoperability not on record",0,
dpi.pay--cross-border-functionality,2,UGA-dpi.pay-scrypt-stablecoin-settlement-corridor|UGA-dpi.pay-comesa-retail-payments-pilot,,,,,,,"one licensed corridor and a pilot designation; no regulatory framework on record",0,
dpi.pay--consumer-protection,,,,,,,,,"only the financial inclusion strategy held; no conduct rules or redress body in these rows",0,
dpi.registry--population-register,3,UGA-dpi.registry-alien-registration-alien-identification,,,,,,,"register in service but incomplete; this row shows only foreign residents",0,
dpi.registry--civil-register,3,UGA-dpi.registry-birth-registration-drive|UGA-dpi.registry-marriage-registration-under-nira,,,,,,,"digital birth registration issuing NINs; coverage not published since 2016",0,
dpi.registry--address-register,2,UGA-dpi.registry-address-register,,,,,,,"postcodes for 27 districts and an Entebbe pilot",0,
dpi.registry--business-register,3,UGA-dpi.registry-ursb-non-individual-register,,,,,,,"digital register with unique entity number; no public search or tax linkage on record",0,
dpi.registry--social-protection-register,2,UGA-dpi.registry-national-single-registry,,,,,,,"registry launched 2021 but described as still being operationalised",0,
dpi.registry--electoral-register,2,UGA-dpi.registry-electoral-register,,,,,,,"digital biometric register; public access and revision not on record; paper fallback on polling day",0,
dpi.registry--tax-register,2,UGA-dpi.registry-tax-register|UGA-dpi.id-tax-identification-number-merged,,,,,,,"NIN and BRN replacing TIN in law; linkage progress and integrity not assessed",0,
dpi.registry--land-register,2,UGA-dpi.registry-land-register-statutory,,,,,,,"systematic titling in 13 districts; no digital cadastre in service on record",0,
dpi.mis--health,3,UGA-dpi.mis-health-management-information-system|UGA-dpi.mis-laboratory-data-repository,,,,,,,"DHIS2 in service; reporting completeness and registry integration not published",0,
dpi.mis--education,3,UGA-dpi.mis-education-emis|UGA-data.statistics-baseline-education-census-2025,,,,,,,"EMIS with learner IDs and census published; teacher and payroll use not on record",0,
dpi.mis--social-protection,3,UGA-dpi.mis-pdmis,,,,,,,"one programme MIS; Auditor-General found two of seven modules complete",0,
dpi.mis--tax,3,UGA-dpi.pay-tax-payment-mtn-momo|UGA-dpi.govtech-electronic-invoicing|UGA-gov.discourse-ura-e-tax2-award,,,,,,,"electronic payment and e-invoicing in use; uptake not published; e-Tax2 award contested",0,
dpi.mis--customs,3,UGA-dpi.mis-asycuda-world,,,,,,,"ASYCUDA World operational; post coverage and risk management not on record",0,
dpi.mis--land,,,,,,,,,"only statements of intent; no land information system procured or in service on record",0,
dpi.govtech--e-government-services,2,UGA-dpi.govtech-government-procurement-portal,,,,,,,"procurement portal only in these rows; GovTech Group A is a secondary index",0,
digital.localgov--ict-infrastructure-for-local-government,2,UGA-digital.localgov-nbi-local-government-connectivity|UGA-digital.localgov-subnational-digital-service-systems,,,,,,,"fibre to one district's offices; no national count",0,
digital.localgov--digitalisation-of-local-government-records,2,UGA-digital.localgov-electronic-records-management,,,,,,,"records system being built; district onboarding only after the as-at",0,
digital.rural--digitalisation-of-rural-health-clinics,2,UGA-digital.rural-community-health-digitisation|UGA-digital.rural-electronic-medical-records-guidelines,,,,,,,"community death-notification pilot in 17 districts; no facility coverage figure",0,
digital.rural--digitalisation-of-rural-primary-schools,2,UGA-digital.rural-school-digital-minimum-standards,,,,,,,"standards require a school computer; no connectivity or device coverage on record",0,
digital.rural--digitalisation-of-rural-registry-offices,3,UGA-dpi.id-crvs-national-id-integration,,,,,,,"birth notification issues NINs on the authority's account; no count of rural offices",0,
