indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--data-governance-policy,2,MDG-gov.policy-data-policy,,,,,,,"drafting commissioned through AUDA-NEPAD; no policy adopted on record",0,
gov.policy--open-data-policy,2,MDG-data.open-open-data,,,,,,,"parliamentary open-data API publishing under licence; no whole-of-government policy on record",0,
gov.legislate--cybersecurity-legislation,2,MDG-gov.legislate-cybercrime-bill,,,,,,,"bill before the National Assembly at the as-at; not enacted",0,
gov.legislate--e-commerce-legislation,3,MDG-gov.legislate-etransactions-law,,,,,,,"law 2014-024 in force; no trust-service regulations or accreditation acts on record",0,
gov.legislate--access-to-information-legislation,2,MDG-gov.legislate-ati-bill,,,,,,,"bill 017/2025 still in parliament; left off the August extraordinary session",0,
gov.regional--regional-policy-collaboration,,,,,,,,,"accessions on record are to non-African networks; no ATU or Smart Africa membership or REC digital process on record",0,
gov.discourse--open-discussion-of-government-policy,2,MDG-gov.legislate-site-blocking,,,,,,,"ISP-level blocking order of July 2026 inside the 12 months; no ATI law in force",0,
infra.store--off-site-backup-capacity,2,MDG-infra.store-data-centres,,,,,,,"secondary data centre tendered; the commercial backup service holds no government contract",0,
infra.capacity--robustness-of-government-hardware-and-software,,,,,,,,,"only equipment tenders by a development fund on record; no core-system status held",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2,MDG-infra.capacity-egp-redesign,,,,,,,"capacity component tendered; specialist posts advertised with no appointment on record",0,
dpi.exchange--interoperability-of-health-systems,2,MDG-dpi.exchange-dhis2,,,,,,,"DHIS2 linked to one financing platform and Tracker piloted; no HIE policy adopted",0,
dpi.pay--consumer-protection,2,MDG-dpi.pay-eme-supervision,,,,,,,"central-bank supervision and ad hoc redress only; no conduct rules on record",0,
dpi.mis--health,3,MDG-dpi.exchange-dhis2,,,,,,,"national DHIS2 in service; registries and surveillance not shown integrated",0,
dpi.mis--education,,,,,,,,,"EMIS digitisation proposed in an unapproved World Bank project; accreditation platform is not an EMIS",0,
dpi.mis--social-protection,,,,,,,,,"only an HR ERP tender by the fund on record; no programme MIS held",0,
dpi.mis--customs,,,,,,,,,"maritime single window being deployed for port procedures; no customs management system on record",0,
digital.rural--digitalisation-of-rural-health-clinics,3,MDG-dpi.mis-sii-csb|MDG-dpi.mis-commcare,,,,,,,"digital community reporting and facility funding system in some regions; no coverage share published",0,
tech.ai--use-of-ai-in-government-administration,,,,,,,,,"only a reported Egypt partnership with no text; no AI platform authorised or piloted on record",0,
include.access--citizen-participation-in-policy,,,,,,,,,"statutory local consultation structure held; no consultation on a digital instrument on record in the 12 months",0,
data.statistics--censuses-and-surveys,3,MDG-data.statistics-instat-microdata,,,,,,,"census microdata gated behind registration; definitive results not shown publicly accessible",0,
data.open--use-of-open-data,3,MDG-data.open-assemblee-portal,,,,,,,"one body publishes under Licence Ouverte with an API; no second body or reuse on record",0,
