indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,BDI-gov.policy-pddsp,,,,,,,"Plan adopted 2023 with a roadmap; no costed plan, implementing body or published M&E report of the plan itself on record",0,
gov.policy--ict-strategy,2,BDI-gov.policy-pndtic|BDI-gov.policy-vision-2040-2060,,,,,,,"ICT policy expired 2025; Vision 2040-2060 sector documents in preparation, none adopted",0,
gov.policy--broadband-strategy,2,BDI-gov.policy-large-bande-2025,,,,,,,"Validated by stakeholders 2017 and still awaiting government adoption",0,
gov.policy--data-storage-cloud-strategy,2,BDI-tech.ai-cloud,,,,,,,"Sovereign cloud announced as an AI-strategy pillar; no hosting policy or instrument",0,
gov.policy--data-interoperability-framework-roadmap,2,BDI-gov.standards-concept-type-si,,,,,,,"Presented for validation December 2024; no formal adoption on record",0,
gov.policy--ai-strategy,3,BDI-tech.ai-strategy,,,,,,,"Validated April 2026; no governance body, implementation plan or funding on record",0,
gov.policy--data-localisation-policies,1,BDI-gov.policy-data-localisation,,,,,,,"Absence stated in UNECA profile; underlying survey runs to December 2021",0,
gov.policy--data-governance-policy,3,BDI-gov.policy-sngd,,,,,,,"Strategy validated and reported adopted; no institutional owner or implementing instruments on record",0,
gov.policy--open-data-policy,2,BDI-gov.policy-acces-information,,,,,,,"Access-to-information bill adopted in Council June 2026; not enacted; no open data policy",0,
gov.legislate--data-protection-legislation,3,BDI-gov.protect-law,,,,,,,"Law adopted 2026; authority not constituted and no enforcement act on record",0,
gov.legislate--cybersecurity-legislation,3,BDI-gov.legislate-cybercriminalite,,,,,,,"Cybercrime law in force since 2022; no agency, CERT or regulations on record",0,
gov.legislate--legislation-covering-digital-id,2,BDI-gov.legislate-fichier-national-texts|BDI-gov.legislate-sim-ordonnance,,,,,,,"ID file runs on executive texts; instituting texts still to be adopted",0,
gov.legislate--digital-payments-legislation,3,BDI-gov.legislate-loi-paiement,,,,,,,"2018 law in force with oversight framework; non-bank licensing and interoperability rules not on record",0,
gov.legislate--legislation-enabling-data-interoperability,3,BDI-gov.legislate-cadre-national-donnees,,,,,,,"2018 decree permits electronic data availability in general terms; no sharing obligations or custodian",0,
gov.legislate--ai-legislation-regulations,1,BDI-gov.legislate-ai-instrument,,,,,,,"Searched absence of any binding AI instrument, November 2025",0,
gov.legislate--e-commerce-legislation,3,BDI-gov.legislate-code-communications|BDI-gov.legislate-ecommerce-regime,,,,,,,"2024 code treated as e-commerce basis; e-signature regulations and accredited providers not on record",0,
gov.legislate--statistics-legislation,3,BDI-gov.legislate-loi-statistique,,,,,,,"2021 act in force; independence, confidentiality and funding provisions not shown in the rows",0,
gov.protect--data-protection-authority,2,BDI-gov.protect-authority,,,,,,,"Provided for by the 2026 law; no appointment, budget or decision on file",0,
gov.protect--national-data-protection-readiness,3,BDI-gov.protect-loi-protection-donnees,,,,,,,"Law promulgated March 2026; authority not operating",0,
gov.regional--regional-policy-collaboration,3,BDI-gov.regional-ona,,,,,,,"EAC One Network Area joined and protocol ratified; one area only",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"Only row is an EAC statistics bureau bill; no cyberlaw harmonisation or cited absence on record",0,
gov.regional--shared-regional-infrastructure,3,BDI-gov.regional-shared-infrastructure,,,,,,,"Cross-border fibre and regional roaming in service; no traffic or usage reported",0,
gov.regional--cross-border-data-transfers,2,BDI-dpi.exchange-eac,,,,,,,"EAC data-sharing framework validated; no national transfer mechanism on file",0,
gov.standards--national-interoperability-standards,2,BDI-gov.standards-concept-type-si|BDI-gov.standards-health-interop,,,,,,,"Standards defined at workshops and presented for validation; none published or adopted",0,
gov.standards--national-quality-standards,3,BDI-gov.standards-politique-qualite,,,,,,,"Quality policy adopted 2022; no ICT accreditation or certification on record",0,
gov.standards--adoption-of-international-standards,2,BDI-gov.standards-eac-harmonised|BDI-gov.standards-iso-20022,,,,,,,"ISO membership not on record; ISO 20022 adopted and EAC standards widely adopted",0,
gov.discourse--non-governmental-contribution-to-national-policy,,,,,,,,,"Only a consumer association's unanswered proposal; no consultation or cited absence on record",0,
gov.discourse--open-discussion-of-government-policy,2,BDI-gov.discourse-internet-controls|BDI-gov.discourse-igf-afrique-centrale,,,,,,,"Controls documented to 2019; regional IGF hosted 2026; no recent restriction-free record",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,4,BDI-infra.connect-fsu,,,,,,,"Universal service fund on an own-source levy appropriated FY2026/27; execution discipline weak",0,
infra.connect--national-fibre-backbone,3,BDI-infra.connect-backbone-fibre,,,,,,,"On the regulator's figures: 1750 km covering all provinces; no open-access terms published",0,
infra.connect--international-internet-bandwidth,4,BDI-infra.connect-international-capacity,3,routes,2020,2021-07-01-arct-rapport-indicateurs-tic-burundi-edition-2020,,,"On the regulator's report: links via Rwanda, DRC and Tanzania; no bandwidth-per-user figure",0,
infra.connect--internet-exchange-points,2,BDI-infra.connect-bdixp,,,,,,,"Established by 2014 decree; membership and capacity figures come from a post-as-at source",0,
infra.connect--satellite-broadband-licensing-and-availability,3,BDI-infra.connect-starlink,,,,,,,"Single operator licensed and selling; no blanket terminal licensing on record",0,
infra.store--off-site-backup-capacity,2,BDI-infra.store-off-site-backup,,,,,,,"Central bank holds its own alternative site; estate backup still being procured",0,
infra.capacity--robustness-of-government-hardware-and-software,2,BDI-infra.capacity-government-estate,,,,,,,"Financial system out to tender; network position unrestated since 2022",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2,BDI-infra.capacity-local-skills,,,,,,,"Change-management exercise for one system; no in-house team on record",0,
infra.cybersec--national-cybersecurity-readiness,,,,,,,,,"Only row is an EAC regional risk flag; no strategy, institution or cited absence on record",0,
dpi.exchange--national-data-exchange-system,1,BDI-dpi.exchange-national-layer,,,,,,,"No exchange layer in the government's 2022 appraisal; 2018 decree gives general legal basis only",0,
dpi.exchange--use-of-digital-id-in-other-systems,3,BDI-dpi.exchange-id-consumption,,,,,,,"SIM registration and bank KYC use the card documentarily; no verification service",0,
dpi.exchange--interoperability-of-health-systems,2,BDI-dpi.exchange-health-interop,,,,,,,"HL7 FHIR named and laboratory link in nine sites; no national HIE policy adopted",0,
dpi.exchange--interoperability-of-education-systems,,,,,,,,,"EMIS training and self-assessment only; no link planned or cited absence on record",0,
dpi.exchange--interoperability-of-social-protection-systems,3,BDI-dpi.exchange-social-protection-interop,,,,,,,"MIS linked to several payment providers; registry and ID linkage not yet in service",0,
dpi.id--robustness-of-system,2,BDI-dpi.id-cni,,,,,,,"Biometric card technically ready and piloted, awaiting its legal instrument",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,3,BDI-dpi.id-credential-production,,,,,,,"Travel documents produced by ministry staff; no exit terms or funding model on record",0,
dpi.id--authentication,3,BDI-dpi.id-authentication,,,,,,,"Border verification at the international airport only",0,
dpi.id--digital-id-from-birth,,,,,,,,,"Unique identifier at birth only planned in listed sources; no cited absence",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,2,BDI-dpi.id-crvs-to-digital-id,,,,,,,"Link stated as planned and not built, July 2026",0,
dpi.id--use-by-other-systems,1,BDI-dpi.id-use-by-other-systems,,,,,,,"UNCDF 2025: no central identity database; identity consumed as a document",0,
dpi.pay--governance-role-of-central-bank,3,BDI-dpi.pay-iso20022|BDI-gov.legislate-aml,,,,,,,"Oversight exercised by circular and switch run; no published oversight or complaints function in the rows",0,
dpi.pay--g2p-functionality,3,BDI-dpi.pay-g2p,,,,,,,"One programme paying through providers; salaries and pensions not shown",0,
dpi.pay--revenue-collection,3,BDI-dpi.govtech-ekori|BDI-dpi.govtech-telepaiement,,,,,,,"Online declaration and payment since January 2026; electronic share of revenue not published",0,
dpi.pay--b2b-and-b2g-functionality,3,BDI-dpi.pay-b2b-b2g,,,,,,,"Interbank instant payments in service; no e-procurement on record",0,
