indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,2,TUN-gov.policy-digital-vision|TUN-gov.policy-digital-tunisia,,,,,,,Vision set within the 2026-2030 plan; August council and circular adopt no standalone strategy,0,
gov.policy--ai-strategy,2,TUN-tech.ai-ai-strategy,,,,,,,Strategy presented in outline to a ministerial council; no adopted text,0,
gov.policy--open-data-policy,3,TUN-data.open-open-data-decree,,,,,,,Decree 2021-3 in force; no open licence or publication obligation on record,0,
gov.regional--regional-policy-collaboration,3,TUN-gov.regional-atu,,,,,,,Active participation on record; no regional instrument implemented domestically in two areas,0,
gov.discourse--open-discussion-of-government-policy,2,TUN-gov.discourse-decree-law-54,,,,,,,Decree-law 54 prosecutions within the 12 months; revision unpassed,0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,,,,,,,,,2027 draft finance law names a digital axis without allocation; no read budget states no domestic digital line,0,
infra.capacity--robustness-of-government-hardware-and-software,2,TUN-dpi.govtech-transformation-portfolio,,,,,,,Projects in execution; no custodian inventory or core-system status on record,0,
infra.cybersec--national-cybersecurity-readiness,2,TUN-infra.cybersec-ansi,,,,,,,Agency and 2023 decree-law held; national strategy still being finalised,0,
dpi.exchange--interoperability-of-education-systems,,,,,,,,,School-life portal links a citizen account to pupil records; no exchange between education systems on record,0,
dpi.exchange--interoperability-of-social-protection-systems,3,TUN-dpi.exchange-social-affairs-data-exchange,,,,,,,Council reports sector interoperability complete; no service list or coverage published,0,
dpi.id--robustness-of-system,2,TUN-dpi.id-biometric-rollout,,,,,,,Biometric card not issued on record; no assurance level or audit,0,
dpi.id--interoperability-of-birth-registration-and-digital-id,,,,,,,,,Remote birth certificates and IUC register held; no exchange between civil register and ID on record,0,
dpi.id--use-by-other-systems,2,TUN-dpi.id-ins,,,,,,,Health identifier keyed to national number in pilot regions; social identifier only planned,0,
dpi.pay--g2p-functionality,2,TUN-dpi.pay-g2p-electronic-transfers,,,,,,,Electronic AMEN payment targeted for 2029; no current electronic count,0,
dpi.pay--consumer-protection,,,,,,,,,Legal analysis finds no loss-allocation rule but cites a 2024 central bank circular; scope of DFS rules not on record,0,
dpi.registry--civil-register,3,TUN-dpi.registry-madania,,,,,,,Operator's own account of national digital register; no coverage published,0,
dpi.registry--social-protection-register,3,TUN-dpi.registry-amen,,,,,,,AMEN registry in service; no coverage update since December 2023,0,
dpi.registry--land-register,3,TUN-dpi.registry-land-registry-processing,,,,,,,Compulsory registration extended to six governorates; no national parcel count published,0,
dpi.mis--education,,,,,,,,,Enrolment portal and tarbia.tn in service; no EMIS or annual school census on record,0,
dpi.mis--social-protection,3,TUN-dpi.registry-amen,,,,,,,AMEN programme system in service; social identifier upgrade only decided,0,
dpi.mis--tax,,,,,,,,,Online business-tax registration and e-invoicing held; no e-filing or e-payment row for core taxes,0,
dpi.mis--customs,2,TUN-dpi.exchange-rules-of-origin-electronic-system,,,,,,,Electronic rules-of-origin system in execution for customs; no single window on record,0,
dpi.govtech--e-government-services,3,TUN-dpi.govtech-portal,,,,,,,Several portals in service; no services inventory or consolidated usage published,0,
digital.localgov--ict-infrastructure-for-local-government,3,TUN-digital.localgov-remo-project,,,,,,,Service houses and municipal systems in some communes; no national coverage published,0,
digital.rural--digitalisation-of-rural-registry-offices,2,TUN-dpi.registry-births|TUN-dpi.id-population-register-project,,,,,,,No share of rural offices registering digitally on record,0,
tech.ai--use-of-ai-in-sectoral-management-information-systems,3,TUN-tech.ai-customs-selectivity-module|TUN-tech.ai-electricity-demand-forecasting,,,,,,,AI in service in customs and power; no results reported,0,
tech.ai--development-of-national-regional-ai-systems,3,TUN-capacity.training-el-khawarizmi-supercomputer,,,,,,,National HPC in service; no funded programme or usage reported,0,
tech.innovate--technology-hubs,,,,,,,,,Only an order to procure completion of the Ennahli park (2026-08-10); a procurement is not a hub (CC),0,
tech.innovate--tech-startup-ecosystem,3,TUN-tech.innovate-startup-act,,,,,,,Startup Act in force; implementing measures across areas not on record,0,
include.access--citizen-participation-in-policy,3,TUN-gov.discourse-public-consultation-decree,,,,,,,Consultation decree cited for 2026 consultations; no account of changes published,0,
