indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,AGO-dpi.govtech-digital-transition-agenda,,,,,,,"Agenda adopted by presidential decree 178/24; no costed plan, budget line or progress report on record",0,
gov.policy--ict-strategy,3,AGO-gov.policy-ict-white-paper,,,,,,,ICT White Paper 2023-2027 approved by decree; no implementation plan or reporting against it on record,0,
gov.policy--broadband-strategy,3,AGO-gov.policy-ict-white-paper,,,,,,,"Broadband sits inside the ICT White Paper, no free-standing plan; no funding or progress against targets on record",0,
gov.policy--data-storage-cloud-strategy,2,AGO-infra.store-public-data-management-and-hosting-policy|AGO-infra.store-national-cloud,,,,,,,Hosting policy only out to consultancy; government cloud in service with mandatory migration stated but no instrument,0,
gov.policy--data-interoperability-framework-roadmap,2,AGO-dpi.exchange-public-administration-interoperability-platform,,,,,,,Interoperability a flagship project of the agenda; no framework or roadmap instrument adopted on record,0,
gov.policy--ai-strategy,1,AGO-gov.policy-national-artificial-intelligence-strategy,,,,,,,UNESCO readiness assessment names the absence of a national AI strategy; no drafting body on record,0,
gov.policy--data-localisation-policies,2,AGO-infra.store-public-data-management-and-hosting-policy|AGO-dpi.registry-private-credit-information-centres,,,,,,,Only sectoral localisation in force (credit data); national hosting policy at consultancy stage; no data classification,0,
gov.policy--data-governance-policy,,,,,,,,,No national data policy drafted or adopted on record; rows show protection law and agency only,0,
gov.policy--open-data-policy,2,AGO-data.open-open-data-framework-and-portal|AGO-data.statistics-census-portal-and-statistics-application,,,,,,,Open-data portal committed in a project safeguards plan; census portal publishes data with no policy or licence,0,
gov.legislate--data-protection-legislation,4,AGO-gov.protect-data-protection-law,,,,,,,"Law 22/11 in force; agency, fee regulation and fines on the DPA row; Malabo ratification not on record",0,
gov.legislate--cybersecurity-legislation,2,AGO-gov.legislate-cybersecurity-bill,,,,,,,Bill before the Assembly at the as-at; plenary adoption of 12 August 2026 falls after it,0,
gov.legislate--legislation-covering-digital-id,2,AGO-dpi.id-civil-and-criminal-identification-bill,,,,,,,Identification bill approved by Council of Ministers April 2026; no parliamentary stage on record,0,
gov.legislate--digital-payments-legislation,3,AGO-dpi.pay-payment-services-authorisation-regime,,,,,,,Central-bank avisos require non-bank authorisation; no licence register or enforcement act on record,0,
gov.legislate--legislation-enabling-data-interoperability,3,AGO-gov.legislate-civil-registration-simplification,,,,,,,Lei 6/15 provides for registry data sharing; no exchange-layer obligations or custodian; digital government bill in consultation,0,
gov.legislate--ai-legislation-regulations,2,AGO-gov.legislate-artificial-intelligence-bill,,,,,,,Draft AI law out for public consultation since September 2025; not tabled,0,
gov.legislate--e-commerce-legislation,2,AGO-gov.legislate-electronic-signature-and-certification-regim,,,,,,,E-signature legislative authorisation approved July 2026; no e-transactions law shown in force in the rows,0,
gov.legislate--statistics-legislation,3,AGO-gov.legislate-statistics-law|AGO-data.statistics-national-statistical-authority,,,,,,,"Charter principles written in the 2026 INE statute, not shown in the 2011 act; Charter ratification not on record",0,
gov.legislate--access-to-information-legislation,3,AGO-data.open-access-to-administrative-documents-law,,,,,,,"Lei 11/02 in force; no implementing regulation, oversight body or request statistics on record",0,
gov.protect--data-protection-authority,3,AGO-gov.protect-data-protection-agency|AGO-gov.protect-published-data-protection-fines,,,,,,,"Agency operating and fining; members removable at will and four of seven seats unfilled, so not independent by statute",0,
gov.protect--national-data-protection-readiness,3,AGO-gov.protect-judicial-oversight-regime-for-state-surveill,,,,,,,"Law in force per a secondary legal guide; no impact assessments, codes or breach notification practice on record",0,
gov.regional--regional-policy-collaboration,3,AGO-gov.regional-lusophone-data-governance-workshop|AGO-gov.regional-cplp-digital-rights-charter,,,,,,,Regulator active in the Maputo data-governance workshop; no regional guideline domesticated on record,0,
gov.regional--regional-legal-harmonisation,2,AGO-gov.regional-african-union-cybersecurity-convention,,,,,,,Malabo approved by Assembly resolution 33/19; no ratification deposit and no REC instrument domesticated on record,0,
gov.regional--cross-border-data-transfers,3,AGO-gov.protect-data-protection-law,,,,,,,Transfer control rests on the 2011 law's authorisation regime; no authority transfer decision on record,0,
