indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,,,,,,,,,"Only a national development plan on record; no digital strategy or cited absence of one",0,
gov.policy--ict-strategy,,,,,,,,,"Development plan and investment programme only; no ICT sector policy or cited absence on record",0,
gov.policy--broadband-strategy,,,,,,,,,"Fibre targets in an investment programme and a ministerial speech; no broadband plan on record",0,
gov.policy--data-storage-cloud-strategy,1,CAF-gov.policy-cloud-strategy,,,,,"Government-wide cloud strategy developed and disseminated",2026-12-31,"Development bank records no cloud strategy (2023); nothing later shows drafting",0,
gov.policy--data-interoperability-framework-roadmap,2,CAF-dpi.exchange-government-interoperability-or-data,,,,,,,"Interoperability architecture commissioned under a financed project; no framework drafted",0,
gov.policy--ai-strategy,2,CAF-tech.ai-ai-policy-strategy-or,,,,,,,"Minister's statement that a strategy is in elaboration; no draft or adoption",0,
gov.policy--data-localisation-policies,,,,,,,,,"Only an adequacy-based transfer regime; no localisation rule or cited absence on record",0,
gov.policy--data-governance-policy,,,,,,,,,"A data governance policy is named with no text, date or status",0,
gov.policy--open-data-policy,2,CAF-data.open-open-government-data-portal,,,,,,,"Statistics office portal with an open licence; no national open data policy adopted",0,
gov.legislate--data-protection-legislation,3,CAF-gov.protect-loi-n-24-001,,,,,,,"Law in force since January 2024; no implementing decree or authority",0,
gov.legislate--cybersecurity-legislation,3,CAF-infra.cybersec-cybersecurity-law-text|CAF-gov.legislate-cybersecurity-cybercrime-law,,,,,,,"Law 24.002 in force; no regulations or constituted agency on record",0,
gov.legislate--legislation-covering-digital-id,2,CAF-gov.legislate-digital-legal-reform-terms-of-reference|CAF-dpi.id-unique-identification-number-mandate,,,,,,,"Identifier mandated; legal reform scoped by terms of reference but no ID bill drafted",0,
gov.legislate--digital-payments-legislation,3,CAF-gov.regional-cemac-interoperable-qr-code,,,,,,,"Regional central-bank regulation only; no national licensing or consumer provisions on record",0,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,"A ministry platform with mandatory staff use; no data-sharing instrument or draft on record",0,
gov.legislate--ai-legislation-regulations,,,,,,,,,"No AI rule; consultation or cited absence on record; council requests are not an instrument",0,
