indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,2,MRT-gov.policy-agenda,,,,,,,"2022-2025 agenda expired; successor to 2030 announced in preparation December 2025, no text published",0,
gov.policy--ict-strategy,2,MRT-gov.policy-agenda,,,,,,,digital agenda expired; successor in preparation; no separate sector policy on record,0,
gov.policy--broadband-strategy,2,MRT-gov.policy-strategie-haut-debit,,,,,,,"2019 consultant strategy with no adoption instrument, funding or progress report; the national plan it calls for is not on record",0,
gov.policy--data-storage-cloud-strategy,3,MRT-gov.protect-dataprotectionlaw|MRT-infra.store-cloud,,,,,,,cloud-use rules issued by the authority and national cloud launched; no hosting classification or migration act on record,0,
gov.policy--data-interoperability-framework-roadmap,2,MRT-gov.standards-servicesframework,,,,,,,standards and interoperability framework under development with GIZ; nothing published,0,
gov.policy--ai-strategy,2,MRT-tech.ai-strategy,,,,,,,April 2024 draft only; no adoption instrument on record,0,
gov.policy--data-localisation-policies,2,MRT-gov.protect-dataprotectionlaw,,,,,,,prior authorisation required for all personal data processed abroad; no categorisation of data on record,0,
gov.policy--data-governance-policy,2,MRT-data.open-portal,,,,,,,only a 2023 open-data strategy published; no comprehensive national data policy on record,0,
gov.policy--open-data-policy,3,MRT-data.open-portal,,,,,,,2023 open-data strategy published; no open licence or publication obligation on record,0,
gov.legislate--data-protection-legislation,3,MRT-gov.protect-dataprotectionlaw,,,,,,,law in force with transfer and cloud deliberations; no enforcement or compliance act on record,0,
gov.legislate--cybersecurity-legislation,3,MRT-gov.legislate-loi-2016-007-cybercriminalite,,,,,,,cybercrime law in force; CERT only tendered and no prosecution on record,0,
gov.legislate--legislation-covering-digital-id,3,MRT-gov.legislate-code-etat-civil,,,,,,,civil status code establishes the population register; regulations and authority mandate not on record,0,
gov.legislate--digital-payments-legislation,3,MRT-dpi.pay-loi-2021-014,,,,,,,"law and central bank instruction in force; no licences, interoperability rules or enforcement on record",0,
gov.legislate--legislation-enabling-data-interoperability,3,MRT-gov.legislate-decret-2022-009-echanges-electroniques,,,,,,,"decree governs exchanges between administrations; no obligations, standards or custodian on record",0,
gov.legislate--ai-legislation-regulations,2,MRT-tech.ai-strategy,,,,,,,ethical use addressed only in a draft strategy; no rule with legal effect,0,
gov.legislate--statistics-legislation,,,,,,,,,no statistics act or bill on record; rows hold only the strategy and Charter list,0,
gov.legislate--access-to-information-legislation,2,MRT-gov.legislate-projet-loi-acces-information-publique,,,,,,,bill reported by a press-freedom organisation; no government text or tabling on record,0,
gov.protect--data-protection-authority,3,MRT-gov.protect-apd,,,,,,,authority operating on its own minutes; no budget or enforcement decision on record,0,
gov.protect--national-data-protection-readiness,3,MRT-gov.protect-dataprotectionlaw|MRT-gov.protect-apd,,,,,,,law in force and authority operating; no impact-assessment or breach-notification practice on record,0,
gov.regional--regional-policy-collaboration,2,MRT-gov.regional-senegalmou,,,,,,,bilateral memorandum signed; no deliverable or regional contribution on record,0,
gov.regional--regional-legal-harmonisation,,,,,,,,,only a dormant Maghreb Union treaty; no domesticated regional instrument or cited absence on record,0,
