indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--open-data-policy,2,BWA-data.open-open-data-portal-or|BWA-data.open-open-data-hackathons,,,,,,,"policy mandated by statute and anticipated; not adopted or published",0,
gov.legislate--statistics-legislation,3,BWA-data.statistics-statistics-act-2009,,,,,,,"act in force establishing the office; Charter principles not shown in it",0,
gov.regional--regional-policy-collaboration,,,,,,,,,"two bilateral memoranda signed in August; no regional or continental process or membership on record in the rows",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"SADC instruments held are outside the cyberlaw set; no domesticated or referenced model law on record",0,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,"a parliamentary engagement channel only; nothing on shutdowns or access-to-information law on record",0,
infra.connect--national-fibre-backbone,3,BWA-infra.connect-fibre-network-length,,,,,,,"ministerial length figure; national reach and published wholesale terms not on record",0,
infra.cybersec--national-cybersecurity-readiness,,,,,,,,,"drill and threat reports only; no strategy, law or CERT on record in these rows",0,
dpi.id--robustness-of-system,3,BWA-dpi.id-multi-biometric-platform|BWA-dpi.id-omang-card-production-replacement,,,,,,,"biometric system in service; no assurance level, certification or audit published",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,3,BWA-dpi.registry-national-identity-register,,,,,,,"nationally operated and funded annually; no exit terms or escrow on record",0,
dpi.id--digital-id-from-birth,,,,,,,,,"birth registration partly automated; no identifier assigned at birth on record",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,3,BWA-dpi.registry-births-deaths-registration-system|BWA-dpi.registry-national-identity-register,,,,,,,"no two-way exchange or reconciliation reported",0,
dpi.pay--revenue-collection,2,BWA-finance.budget-revenue-service-modernisation-line,,,,,,,"e-invoicing provided for in law with no start date; electronic payment in service not on record",0,
dpi.pay--cross-border-functionality,2,BWA-dpi.pay-instant-cross-border-payment,,,,,,,"corridor live; no cross-border regulatory framework in force on record",0,
dpi.registry--civil-register,2,BWA-dpi.registry-births-deaths-registration-system,,,,,,,"partially automated in district offices; national digital service for births not shown",0,
dpi.registry--electoral-register,2,BWA-dpi.registry-electronic-voter-registration|BWA-dpi.registry-elections-management-system,,,,,,,"electronic roll funded and committed; no bill or register in service",0,
dpi.mis--health,3,BWA-dpi.mis-dhis2,,,,,,,"national aggregate platform on WHO's account; supply chain and registries not integrated",0,
dpi.mis--tax,,,,,,,,,"modernisation programme and e-invoicing planned; e-filing and e-payment availability not on record",0,
digital.rural--digitalisation-of-rural-registry-offices,3,BWA-dpi.registry-births-deaths-registration-system,,,,,,,"district offices partly automated; share of offices covered not published",0,
tech.innovate--tech-startup-ecosystem,2,BWA-tech.innovate-national-research-innovation-council-bill,,,,,,,"innovation council bill before Parliament; no startup law or strategy adopted",0,
include.access--citizen-feedback-portals,2,BWA-gov.discourse-botswana-speaks|BWA-include.access-forensic-audit-engagement-platform,,,,,,,"channels in service; no cases or receipts on record",0,
include.access--citizen-participation-in-policy,2,BWA-include.access-budget-pitso,,,,,,,"one open consultation in the 12 months; no standing procedure on record",0,
data.statistics--national-strategy-for-development-of-statistics,3,BWA-data.statistics-second-statistics-development-strategy,,,,,,,"launched for 2026-2030; no budget, milestones or monitoring published",0,
