indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,MAR-gov.policy-digital-morocco-2030,,,,,,,"Adopted 2024; no costed plan or progress report on record; US$250m programme not yet effective",0,
gov.policy--ict-strategy,3,MAR-gov.policy-digital-morocco-2030,,,,,,,"National digital strategy stands as sector policy; no implementation plan or regulator reporting against it on record",0,
gov.policy--broadband-strategy,,,,,,,,,"5G licence coverage obligations only; no national broadband plan on record",0,
gov.policy--data-storage-cloud-strategy,3,MAR-gov.policy-cloud-first-policy,,,,,,,"Cloud First adopted; no hosting classification applied or migration act on record",0,
gov.policy--data-interoperability-framework-roadmap,,,,,,,,,"Only the AI roadmap row is mapped; no interoperability framework or roadmap on record",0,
gov.policy--ai-strategy,2,MAR-tech.ai-ai-made-morocco-roadmap,,,,,,,"Roadmap announced by the ministry; document unpublished at the as-at",0,
gov.policy--data-localisation-policies,3,MAR-infra.store-local-storage-requirement-sensitive-data|MAR-gov.standards-data-classification-guide,,,,,,,"Law 05-20 localises sensitive data; no hosting or exemption decision on record",0,
gov.policy--data-governance-policy,,,,,,,,,"No national data policy on record; rows show only the data protection law and interoperability platform",0,
gov.policy--open-data-policy,2,MAR-data.open-open-data-portal,,,,,,,"Portal publishing under procedure manuals; no adopted policy, licence or publication obligation on record",0,
gov.legislate--data-protection-legislation,3,MAR-gov.legislate-personal-data-protection-law-09,,,,,,,"Law 09-08 in force on secondary sources; no implementing regulations or enforcement act in the rows",0,
gov.legislate--cybersecurity-legislation,3,MAR-infra.store-local-storage-requirement-sensitive-data,,,,,,,"Law 05-20 enacted; article 53 defers force to implementing texts not on record",0,
gov.legislate--legislation-covering-digital-id,3,MAR-dpi.registry-registry-legal-basis-law-72,,,,,,,"Law 72-18 enacted; article 45 defers force to implementing texts not on record",0,
gov.legislate--digital-payments-legislation,3,MAR-gov.legislate-loi-103-12,,,,,,,"Law 103-12 licenses payment institutions; no interoperability rules, consumer provisions or licences on record",0,
gov.legislate--legislation-enabling-data-interoperability,2,MAR-gov.legislate-digital-x-0-framework-bill,,,,,,,"Digital X.0 bill with the general secretariat; no text or tabling on record",0,
gov.legislate--ai-legislation-regulations,3,MAR-gov.legislate-electoral-organic-bill-53-25,,,,,,,"Electoral law adds AI-enabled offences, cleared by the Constitutional Court; promulgation dahir not held",0,
gov.legislate--e-commerce-legislation,3,MAR-gov.legislate-loi-43-20,,,,,,,"Law 43-20 in force; no online consumer-protection provisions on record",0,
gov.legislate--statistics-legislation,3,MAR-gov.legislate-statistics-law-046-26|MAR-data.statistics-strategy,,,,,,,"Promulgated 28 July 2026; independence, confidentiality and funding provisions not on record",0,
gov.legislate--access-to-information-legislation,3,MAR-data.open-right-access-information-law-31,,,,,,,"Law in force with the CDAI; no requests, decisions or annual reports on record",0,
gov.protect--data-protection-authority,3,MAR-gov.protect-national-data-protection-register-rn-pdp,,,,,,,"CNDP register operating; no sanctions, statutory independence or funding in the rows",0,
gov.protect--national-data-protection-readiness,3,MAR-gov.protect-facial-recognition-authorisation-regime,,,,,,,"Law 09-08 applied by CNDP deliberation; no impact-assessment, breach-notification or code practice on record",0,
gov.regional--regional-policy-collaboration,3,MAR-gov.regional-african-telecommunications-union-administrative-council,,,,,,,"ATU council seat won and programmes offered; no regional guidelines domesticated on record",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"Dormant Arab Maghreb Union treaty only; no REC instrument domesticated or referenced",0,
gov.regional--shared-regional-infrastructure,2,MAR-dpi.exchange-adapt|MAR-gov.regional-host-country-agreement-regional-cyber,,,,,,,"Selected for the ADAPT pilot and host agreement approved; no shared asset in service in the rows",0,
gov.regional--cross-border-data-transfers,2,MAR-dpi.exchange-cross-border-data-exchange-guidelines,,,,,,,"Guidelines in drafting; Convention 108 ratified but domestic transfer provisions not in the rows",0,
gov.standards--national-interoperability-standards,,,,,,,,,"Platform live without a binding framework; no published standards catalogue on record",0,
gov.standards--national-quality-standards,,,,,,,,,"Only a 5G licence row is mapped; no standards body or quality policy on record",0,
gov.standards--adoption-of-international-standards,,,,,,,,,"DNSSI v2 is ISO 27002-structured and binding on state bodies; ISO membership and national adoption not on record",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,3,MAR-finance.budget-digital-ministry-investment-appropriation,,,,,,,"Recurring ministry investment line to 2024; no dedicated fund or levy on record",0,
infra.connect--national-fibre-backbone,3,MAR-infra.connect-shared-fibre-tower-joint-ventures|MAR-infra.connect-regulator-s-telecommunications-market-observatory,,,,,,,"Operators' fibre in service with uneven low-density coverage; no backbone length or open-access terms on record",0,
infra.connect--internet-exchange-points,3,MAR-infra.connect-ixp,,,,,,,"Two exchanges of three members each; traffic contracted over twelve months",0,
infra.connect--satellite-broadband-licensing-and-availability,2,MAR-infra.connect-starlink-licence,,,,,,,"Starlink licence pending; operator terminal licence renewed but broadband service not on record",0,
infra.store--off-site-backup-capacity,2,MAR-infra.store-backup-tenders,,,,,,,"Two institutional recovery tenders; no government recovery site in service on record",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,2,MAR-infra.capacity-government-it-capacity,,,,,,,"Post-by-post cyber engineer recruitment; no in-house system team or programme on record",0,
infra.cybersec--national-cybersecurity-readiness,3,MAR-infra.cybersec-cybersecurity-strategy-2030|MAR-infra.cybersec-computer-emergency-response-centre|MAR-infra.cybersec-dnssi-v2-directive,,,,,,,"Strategy, law and maCERT in place; no enforcement, prosecutions or published reporting on record",0,
dpi.exchange--national-data-exchange-system,2,MAR-dpi.exchange-justice-police-data-exchange-agreement,,,,,,,"Bilateral justice-police exchange agreed; no operating record in the rows",0,
dpi.exchange--use-of-digital-id-in-other-systems,3,MAR-dpi.id-trusted-third-party-identity-verification,,,,,,,"Police verification service with 30+ institutions authorised; no usage figures published",0,
dpi.exchange--interoperability-of-health-systems,2,MAR-dpi.exchange-mohim-health-interoperability-framework,,,,,,,"Standards profiling under way; no adopted HIE policy on record",0,
dpi.exchange--interoperability-of-education-systems,3,MAR-dpi.mis-massar-school-management-system,,,,,,,"MASSAR connected to the interoperability platform in 2022; no shared-identifier exchanges across systems",0,
dpi.exchange--interoperability-of-social-protection-systems,2,MAR-finance.new-second-identity-targeting-social-protection,,,,,,,"Financed extension of the identity and targeting layer; no delivery reported",0,
dpi.id--robustness-of-system,3,MAR-dpi.id-mon-e-id-digital-identity,,,,,,,"e-ID in service; no assurance level, audit or certification on record",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,"Online renewal run by the police; supplier dependence, contracts and funding not on record",0,
dpi.id--authentication,2,MAR-gov.protect-facial-recognition-remote-bank-account|MAR-gov.protect-facial-recognition-benefit-proof-of-life,,,,,,,"Facial authentication authorised case by case; no operating service or count on record",0,
dpi.id--digital-id-from-birth,3,MAR-dpi.id-civil-status-law-36-21,,,,,,,"IDCS identifier operational since the 2023 decree; birth coverage not published",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,2,MAR-dpi.id-civil-status-law-36-21,,,,,,,"IDCS identifier provided in law; no civil-register to ID exchange on record",0,
dpi.id--use-by-other-systems,2,MAR-dpi.id-idarati-x-0-digital-wallet,,,,,,,"Wallet conventions bind registers; build under way and none keyed in service on record",0,
dpi.pay--governance-role-of-central-bank,3,MAR-dpi.pay-srbm-gross-settlement-system|MAR-dpi.pay-market-infrastructure-oversight-convention,,,,,,,"Central bank runs RTGS and oversees clearing; no consumer-protection or dispute function on record",0,
dpi.pay--g2p-functionality,,,,,,,,,"Registries in service; no digital G2P payment programme on record",0,
dpi.pay--revenue-collection,3,MAR-dpi.registry-tadat-tax-administration-assessment|MAR-dpi.pay-tax-dematerialisation|MAR-dpi.pay-revenue-digitalisation,,,,,,,"Over 90% of tax paid electronically on DGI and TADAT figures; no e-invoicing or fiscal devices in use",0,
dpi.pay--b2b-and-b2g-functionality,3,MAR-dpi.pay-fatourati,,,,,,,"Bill-payment rail in service; no e-procurement on record",0,
