fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,proposed,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,2024,line,Projet de gouvernance numérique du secteur public (PGNSP),30.31.00.07,dpi.govtech,whole,external-grant,XAF,"milliers de FCFA, printed in the column header; stored normalised to units (x1,000)",,,1200000000,"PLF 2025, SIM_ba volume des charges, section 30, PDF pp. 200 and 203, imputations 30.31.00.07.120000.6635.25, .2111.25 and .2412.25, column Collectif 2024",2024-12-10-plf-2025-charges-companion,2026-09-23,"Revised is the Collectif 2024 column of PLF 2025, read as Credit 2025 less the printed variation, which is how each imputation's figure was checked. 200,000 + 600,000 + 400,000 thousand. The FY2024 enacted law is an image scan and its credit for the project was not read, so no appropriated figure."
2024,2024,line,Projet de numérisation de l'administration publique en RCA,30.31.00.09,dpi.govtech,whole,external-grant,XAF,"milliers de FCFA, printed in the column header; stored normalised to units (x1,000)",,,105000000,"PLF 2025, SIM_ba volume des charges, section 30, PDF pp. 200 and 203, imputations 30.31.00.09.120000.6635.25, .2111.25, .2369.25 and .2412.25, column Collectif 2024",2024-12-10-plf-2025-charges-companion,2026-09-23,"Revised is the Collectif 2024 column of PLF 2025, read as Credit 2025 less the printed variation, which is how each imputation's figure was checked. 10,500 + 31,500 + 42,000 + 21,000 thousand."
2024,2024,line,Education ministry: acquisitions and works on IT networks,40.41.00.01,infra.connect,whole,external-grant,XAF,"milliers de FCFA, printed in the column header; stored normalised to units (x1,000)",,,1060000000,"PLF 2025, SIM_ba volume des charges, section 40, PDF p. 281, imputation 40.41.00.01.120000.2369.25, column Collectif 2024",2024-12-10-plf-2025-charges-companion,2026-09-23,"Revised is the Collectif 2024 column of PLF 2025, read as Credit 2025 less the printed variation, which is how each imputation's figure was checked. The project's other lines (allowances, training, furniture) are not digital and are not counted."
2024,2024,line,Central African Backbone (CAB) fibre,85.88.00.08,infra.connect,whole,external-grant,XAF,"milliers de FCFA, printed in the column header; stored normalised to units (x1,000)",,900000000,,"Loi de finances 2024 (Loi n° 23.014), SIM_ba annex, section 85, project 85.88.00.08, as read in the FY2024 BUDGET-EXTRACT sitting",2024-01-05-loi-de-finances-2024-companion,2026-09-23,"Grant money (.25) in the enacted law; the figure is the FY2024 sitting's, logged 2026-09-22, not re-read here. No 2024 revised figure: PLF 2025's Collectif 2024 column prints only the project's allowance line (100,000 thousand)."
2025,2025,line,Projet de gouvernance numérique du secteur public (PGNSP),30.31.00.07,dpi.govtech,whole,external-grant,XAF,"milliers de FCFA, printed in the column header; stored normalised to units (x1,000)",,1000000000,,"PLF 2025, SIM_ba volume des charges, section 30, PDF pp. 200 and 203, imputations 30.31.00.07.120000.6635.25, .2111.25 and .2412.25, column Dons",2024-12-10-plf-2025-charges-companion,2026-09-23,"The project's imputations summed; its grant-financed (.25) lines print in the Dons column. 100,000 + 500,000 + 400,000 thousand. Appropriated as the domestic rows are: the enacted law annexes the bill's SIM_ba tables."
2025,2025,line,Projet de numérisation de l'administration publique en RCA,30.31.00.09,dpi.govtech,whole,external-grant,XAF,"milliers de FCFA, printed in the column header; stored normalised to units (x1,000)",,500000000,,"PLF 2025, SIM_ba volume des charges, section 30, PDF pp. 200 and 203, imputations 30.31.00.09.120000.6635.25, .2111.25, .2369.25 and .2412.25, column Dons",2024-12-10-plf-2025-charges-companion,2026-09-23,"The project's imputations summed; its grant-financed (.25) lines print in the Dons column. 50,000 + 150,000 + 200,000 + 100,000 thousand."
2025,2025,line,Projet de soutien à la modernisation de l'état civil en République Centrafricaine,14.14.00.42,dpi.id,partial,external-grant,XAF,"milliers de FCFA, printed in the column header; stored normalised to units (x1,000)",,1200000000,,"PLF 2025, SIM_ba volume des charges, section 14, PDF pp. 101-102, imputations 14.14.00.42.120000.6635.25, .6139.25 and .2412.25, column Dons",2024-12-10-plf-2025-charges-companion,2026-09-23,"The project's imputations summed; its grant-financed (.25) lines print in the Dons column. 120,000 + 840,000 + 240,000 thousand. Partial: civil-registration modernisation, of which the digital share is not printed. New in 2025."
2025,2025,line,Education ministry: acquisitions and works on IT networks,40.41.00.01,infra.connect,whole,external-grant,XAF,"milliers de FCFA, printed in the column header; stored normalised to units (x1,000)",,1800000000,,"PLF 2025, SIM_ba volume des charges, section 40, PDF p. 281, imputation 40.41.00.01.120000.2369.25, column Dons",2024-12-10-plf-2025-charges-companion,2026-09-23,"The project's other lines (allowances, training, furniture) are not digital and are not counted."
2026,2026,line,Projet de gouvernance numérique du secteur public (PGNSP),30.31.00.07,dpi.govtech,whole,external-grant,XAF,"milliers de FCFA, printed in the column header; stored normalised to units (x1,000)",,2500000000,,"PLF 2026, SIM_ba volume des charges, section 30, PDF pp. 220 and 223, imputations 30.31.00.07.120000.6635.25, .2111.25 and .2412.25, column Dons",2025-11-18-plf-2026-companion,2026-09-23,"The project's imputations summed; its grant-financed (.25) lines print in the Dons column. 250,000 + 1,250,000 + 1,000,000 thousand. Appropriated as the domestic rows are: Loi n° 25.015 annexes the bill's SIM_ba tables."
2026,2026,line,Projet de numérisation de l'administration publique en RCA,30.31.00.09,dpi.govtech,whole,external-grant,XAF,"milliers de FCFA, printed in the column header; stored normalised to units (x1,000)",,500000000,,"PLF 2026, SIM_ba volume des charges, section 30, PDF pp. 220 and 223, imputations 30.31.00.09.120000.6635.25, .2111.25, .2369.25 and .2412.25, column Dons",2025-11-18-plf-2026-companion,2026-09-23,"The project's imputations summed; its grant-financed (.25) lines print in the Dons column. 50,000 + 150,000 + 200,000 + 100,000 thousand."
