indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,2,EGY-gov.policy-digital-egypt-service-targets,,,,,,,2026-08-31,0,Service targets to 2030 announced by the minister; no adopted national strategy text on record,
gov.policy--ict-strategy,3,EGY-gov.policy-ict-strategy-and-digital-government,,,,,,,2026-08-31,0,ICT 2030 strategy adopted with ministry progress figures; no implementation plan or funded programme against it on record,
gov.policy--broadband-strategy,,,,,,,,,2026-08-31,0,Spectrum award and tower targets only; no national broadband plan and no dated absence on record,
gov.policy--data-storage-cloud-strategy,3,EGY-gov.policy-cloud-first-policy,,,,,,,2026-08-31,0,Cloud First Policy in force; no designated government cloud conformance or migration act on record,
gov.policy--data-interoperability-framework-roadmap,2,EGY-gov.policy-ict-strategy-and-digital-government,,,,,,,2026-08-31,0,Linking government systems named as a strategic objective; no framework instrument of its own,
gov.policy--ai-strategy,3,EGY-tech.ai-national-ai-strategy-second-edition|EGY-tech.ai-national-council-ai-quantum,,,,,,,2026-08-31,0,Strategy adopted and council constituted; no implementation plan or funding on record,
gov.policy--data-localisation-policies,3,EGY-infra.store-classified-data-localisation,,,,,,,2026-08-31,0,Top-secret and secret data localised by the Cloud First Policy; no application or exemption decision on record,
gov.policy--open-data-policy,3,EGY-data.open-national-open-data-policy,,,,,,,2026-08-31,0,Policy in force with officer duties; no portal or licence text on record,
gov.legislate--data-protection-legislation,3,EGY-gov.protect-pdpl-151-2020|EGY-gov.legislate-pdpl-executive-regulations,,,,,,,2026-08-31,0,Law and regulations issued; enforcement starts 2026-11-01 and no regulator enforcement act on record,
gov.legislate--cybersecurity-legislation,3,EGY-gov.legislate-cybersecurity-services-framework,,,,,,,2026-08-31,0,2018 IT crimes law with a regulator framework; no prosecution or incident-response act on record,
gov.legislate--legislation-covering-digital-id,,,,,,,,,2026-08-31,0,Only fintech identification decrees and an untabled child ID proposal; no national ID law or cited absence,
gov.legislate--digital-payments-legislation,3,EGY-dpi.pay-payment-institution-governance,,,,,,,2026-08-31,0,Central bank rules for payment institutions and eKYC regulations; no licences or enforcement acts on record,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,2026-08-31,0,Data-centre licensing and a property-identifier law only; no instrument on public-body data sharing,
gov.legislate--ai-legislation-regulations,2,EGY-gov.legislate-social-media-legislative-review,,,,,,,2026-08-31,0,Cabinet agreed a legislative review and comparative study; no AI rule with legal effect,
gov.legislate--e-commerce-legislation,3,EGY-gov.legislate-e-signature-law-15-2004,,,,,,,2026-08-31,0,E-signature law in force via practitioner guides; digital space bill a party draft only,
gov.legislate--statistics-legislation,3,EGY-gov.legislate-statistics-law,,,,,,,2026-08-31,0,1960 statistics law in force with the agency operating; Charter principles not shown in it,
gov.legislate--access-to-information-legislation,2,EGY-gov.legislate-freedom-of-information-bills,,,,,,,2026-08-31,0,Two bills submitted to parliament in August; nothing enacted,
gov.protect--data-protection-authority,3,EGY-gov.protect-pdpc|EGY-gov.protect-pdpc-guidelines,,,,,,,2026-08-31,0,Centre confirmed and guidelines published; no regulator decision or sanction on record,
gov.protect--national-data-protection-readiness,,,,,,,,,2026-08-31,0,Mapped rows are MPs' proposals and a biometric-registration dispute; the 2020 law in force is not mapped here,
gov.regional--regional-policy-collaboration,3,EGY-gov.regional-arab-ai-quantum-chairmanship,,,,,,,2026-08-31,0,Chairs Arab AI governance and quantum working groups; no regional instrument implemented domestically,
gov.regional--regional-legal-harmonisation,,,,,,,,,2026-08-31,0,Only a non-binding Arab AI ethics charter; no REC or AU instrument referenced or domesticated,
gov.regional--shared-regional-infrastructure,3,EGY-infra.connect-regional-interconnection,,,,,,,2026-08-31,0,2Africa landings and a Jordan interconnection in service; no traffic or usage reported,
gov.regional--cross-border-data-transfers,3,EGY-gov.regional-cross-border-data-transfers,,,,,,,2026-08-31,0,Transfer licence procedure set by regulation; no licence issued on record,
gov.standards--national-interoperability-standards,,,,,,,,,2026-08-31,0,"International-standard default, a metering standard and a tax e-receipt spec only; no government-systems interoperability standard",
gov.standards--national-quality-standards,3,EGY-gov.standards-national-standards-body,,,,,,,2026-08-31,0,Standards body adopting international data-exchange standards; no ICT accreditation or certification on record,
gov.standards--adoption-of-international-standards,,,,,,,,,2026-08-31,0,Only a sustainable-finance taxonomy working group mapped; standards-body adoption evidence sits under national interoperability standards,
gov.discourse--non-governmental-contribution-to-national-policy,,,,,,,,,2026-08-31,0,Consultation framework with no consultation held; syndicate FOI bill is not government consultation,
