iso3,indicator_id,dataset,value,unit,year,release,nature
AGO,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,16.7467,% of secondary schools,2016,2026-02-09,country
BDI,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,0.6911,% of secondary schools,2016,2026-02-09,country
BDI,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,0.6969,% of secondary schools,2017,2026-02-09,country
BDI,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,0.3015,% of secondary schools,2018,2026-02-09,country
BDI,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,0.4329,% of secondary schools,2019,2026-02-09,country
BEN,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,4.0126,% of secondary schools,2022,2026-02-09,country
BFA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,2.5776,% of secondary schools,2016,2026-02-09,country
BFA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,1.6177,% of secondary schools,2018,2026-02-09,country
BFA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,1.4038,% of secondary schools,2019,2026-02-09,country
BFA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,1.3882,% of secondary schools,2020,2026-02-09,country
BFA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,1.2895,% of secondary schools,2021,2026-02-09,country
BFA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,1.7953,% of secondary schools,2023,2026-02-09,country
BFA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,2.4612,% of secondary schools,2024,2026-02-09,country
BWA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,86.2816,% of secondary schools,2012,2026-02-09,country
BWA,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,98.6441,% of secondary schools,2022,2026-02-09,country
CIV,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,35.2461,% of secondary schools,2024,2026-02-09,country
CMR,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,23.1016,% of secondary schools,2016,2026-02-09,country
CMR,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,22.5614,% of secondary schools,2022,2026-02-09,country
CMR,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,24.0921,% of secondary schools,2023,2026-02-09,country
COD,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,0,% of secondary schools,2015,2026-02-09,country
COM,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,11.0879,% of secondary schools,2017,2026-02-09,country
COM,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,24.8,% of secondary schools,2021,2026-02-09,country
COM,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,24.4833,% of secondary schools,2024,2026-02-09,country
CPV,capacity.training--dt-related-training-in-secondary-education,uis-4a1-secondary-internet,100,% of secondary schools,2016,2026-02-09,country
