iso3,indicator_id,dataset,value,unit,year,release
AGO,gdp-current-usd,wdi-gdp,9.55469e+10,US$,2010,2026-07-13
AGO,gdp-current-usd,wdi-gdp,1.25552e+11,US$,2011,2026-07-13
AGO,gdp-current-usd,wdi-gdp,1.43573e+11,US$,2012,2026-07-13
AGO,gdp-current-usd,wdi-gdp,1.48845e+11,US$,2013,2026-07-13
AGO,gdp-current-usd,wdi-gdp,1.5345e+11,US$,2014,2026-07-13
AGO,gdp-current-usd,wdi-gdp,1.02543e+11,US$,2015,2026-07-13
AGO,gdp-current-usd,wdi-gdp,6.077e+10,US$,2016,2026-07-13
AGO,gdp-current-usd,wdi-gdp,8.56296e+10,US$,2017,2026-07-13
AGO,gdp-current-usd,wdi-gdp,9.05061e+10,US$,2018,2026-07-13
AGO,gdp-current-usd,wdi-gdp,8.11938e+10,US$,2019,2026-07-13
AGO,gdp-current-usd,wdi-gdp,5.8512e+10,US$,2020,2026-07-13
AGO,gdp-current-usd,wdi-gdp,7.82839e+10,US$,2021,2026-07-13
AGO,gdp-current-usd,wdi-gdp,1.28234e+11,US$,2022,2026-07-13
AGO,gdp-current-usd,wdi-gdp,1.06042e+11,US$,2023,2026-07-13
AGO,gdp-current-usd,wdi-gdp,1.03081e+11,US$,2024,2026-07-13
AGO,gdp-current-usd,wdi-gdp,1.22175e+11,US$,2025,2026-07-13
BDI,gdp-current-usd,wdi-gdp,2.03214e+09,US$,2010,2026-07-13
BDI,gdp-current-usd,wdi-gdp,2.23581e+09,US$,2011,2026-07-13
BDI,gdp-current-usd,wdi-gdp,2.3274e+09,US$,2012,2026-07-13
BDI,gdp-current-usd,wdi-gdp,2.45162e+09,US$,2013,2026-07-13
BDI,gdp-current-usd,wdi-gdp,2.70583e+09,US$,2014,2026-07-13
BDI,gdp-current-usd,wdi-gdp,2.81053e+09,US$,2015,2026-07-13
BDI,gdp-current-usd,wdi-gdp,2.61809e+09,US$,2016,2026-07-13
BDI,gdp-current-usd,wdi-gdp,2.83136e+09,US$,2017,2026-07-13
BDI,gdp-current-usd,wdi-gdp,2.91341e+09,US$,2018,2026-07-13
