fy,fiscal_year_label,basis,line_name,code,primary_subject,scope_confidence,funding_source,currency,amount_scale,proposed,appropriated,revised,doc_locator,source_slug,extracted,notes
2024,2024/2025,line,Ict Support Service Development,0801,tech.innovate,partial,external,RWF,RWF full units as printed; the annexes state no multiplier,,9890078000,,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-1 Detailed budget by budget agency, BA 0108 RWANDA DEVELOPMENT BOARD (RDB), programme 08, sub-programme 0801 (gazette p. 48); origin split: Annex II-2, institution 01, sub-programme 0801 (p. 343)",2024-06-26-rwa-2024-28-98,2026-09-25,"Externally financed part of the sub-programme; Annex II-2 prints this sub-programme for the institution and only this budget agency carries it in Annex II-1, so II-2 gives its split. Annex II-2 prints loans and grants together at this grain and names no lender."
2024,2024/2025,line,"Remote Sensing, Geospatial Science and Earth Observation",F501,data.satellite,whole,external,RWF,RWF full units as printed; the annexes state no multiplier,,3095679559,,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-1 Detailed budget by budget agency, BA 0112 RWANDA SPACE AGENCY, programme F5, sub-programme F501 (gazette p. 53); origin split: Annex II-2, institution 01, sub-programme F501 (p. 344)",2024-06-26-rwa-2024-28-98,2026-09-25,"Externally financed part of the sub-programme; Annex II-2 prints this sub-programme for the institution and only this budget agency carries it in Annex II-1, so II-2 gives its split. Annex II-2 prints loans and grants together at this grain and names no lender."
2024,2024/2025,line,Primary Ict Integration In Education,7001,capacity.literacy,partial,external,RWF,RWF full units as printed; the annexes state no multiplier,,5032687914,,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-1 Detailed budget by budget agency, BA 1413 RWANDA EDUCATION BOARD (REB), programme 70, sub-programme 7001 (gazette p. 164); origin split: Annex II-2, institution 14, sub-programme 7001 (p. 354)",2024-06-26-rwa-2024-28-98,2026-09-25,"Externally financed part of the sub-programme; Annex II-2 prints this sub-programme for the institution and only this budget agency carries it in Annex II-1, so II-2 gives its split. Annex II-2 prints loans and grants together at this grain and names no lender."
2024,2024/2025,line,HEALTH INFORMATION AND TECHNOLOGIES,EL01,dpi.mis,partial,external,RWF,RWF full units as printed; the annexes state no multiplier,,2968458304,,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-1 Detailed budget by budget agency, BA 1600 MINISANTE, programme EL, sub-programme EL01 (gazette p. 175); origin split: Annex II-2, institution 16, sub-programme EL01 (p. 356)",2024-06-26-rwa-2024-28-98,2026-09-25,"Externally financed part of the sub-programme; Annex II-2 prints this sub-programme for the institution and only this budget agency carries it in Annex II-1, so II-2 gives its split. Annex II-2 prints loans and grants together at this grain and names no lender."
2024,2024/2025,line,Innovation and ICT Private Sector Development,9804,tech.innovate,whole,external,RWF,RWF full units as printed; the annexes state no multiplier,,200000000,,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-1 Detailed budget by budget agency, BA 2800 MINICT, programme 98, sub-programme 9804 (gazette p. 244); origin split: Annex II-2, institution 28, sub-programme 9804 (p. 363)",2024-06-26-rwa-2024-28-98,2026-09-25,"Externally financed part of the sub-programme; Annex II-2 prints this sub-programme for the institution and only this budget agency carries it in Annex II-1, so II-2 gives its split. Annex II-2 prints loans and grants together at this grain and names no lender."
2024,2024/2025,line,Smart Agriculture Information System (SAIS),ADV,dpi.mis,whole,external-grant,RWF,RWF full units as printed; the annexes state no multiplier,,283385533,,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-3 Development budget by agency, project and funding type, BA 0900 MINAGRI, project ADV (gazette p. 472)",2024-06-26-rwa-2024-28-98,2026-09-25,"Project named for an agriculture information system. External loans 0, external grants 283,385,533; the columns name no lender. Its domestic part, 281,786,122, is its own row."
2024,2024/2025,line,NSDS Basket Fund NISR,C63,data.statistics,whole,external-grant,RWF,RWF full units as printed; the annexes state no multiplier,,11852174133,,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-3 Development budget by agency, project and funding type, BA 1202 NATIONAL INSTITUTE OF STATISTICS OF RWANDA (NISR), project C63 (gazette p. 474)",2024-06-26-rwa-2024-28-98,2026-09-25,"Project of NISR, a single-mandate body held whole. External loans 0, external grants 11,852,174,133; the columns name no lender."
2024,2024/2025,line,Electronic Single Window (ESW),AHU,dpi.exchange,whole,external-grant,RWF,RWF full units as printed; the annexes state no multiplier,,355700679,,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-3 Development budget by agency, project and funding type, BA 1203 RWANDA REVENUE AUTHORITY(RRA), project AHU (gazette p. 474)",2024-06-26-rwa-2024-28-98,2026-09-25,"Project named for the electronic single window. External loans 0, external grants 355,700,679; the columns name no lender."
2024,2024/2025,line,Rwanda Coding Academy Capacity Development Project,FNK,capacity.training,whole,external-grant,RWF,RWF full units as printed; the annexes state no multiplier,,2950577222,,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-3 Development budget by agency, project and funding type, BA 1420 RWANDA TECHNICAL AND VOCATIONAL EDUCATION AND TRAINING BOARD (RTB), project FNK (gazette p. 475)",2024-06-26-rwa-2024-28-98,2026-09-25,"Project named for the coding academy. External loans 0, external grants 2,950,577,222; the columns name no lender."
2024,2024/2025,line,Bloomberg Vital Strategy (Health Data),CB7,data.statistics,whole,external-grant,RWF,RWF full units as printed; the annexes state no multiplier,,141552640,,"Law n° 066/2024 of 26/06/2024 (Official Gazette n° Special of 29/06/2024), Annex II-3 Development budget by agency, project and funding type, BA 1605 RWANDA BIO-MEDICAL CENTER(RBC), project CB7 (gazette p. 477)",2024-06-26-rwa-2024-28-98,2026-09-25,"Project named for health data. External loans 0, external grants 141,552,640; the columns name no lender."
