deal_id,place,state_level,spending_tier_name,fiscal_year_label,fy_start,fy_end,fy_calendar,budget_version,supplementary_basis,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,line_name,purpose,primary_subject,scope_confidence,scope_basis,finance_origin,funding_source,is_transfer,transfer_to,currency,amount_scale,proposed,appropriated,revised,released,actual,audited,baseline_stage,current_stage,exec_vs_voted,exec_vs_revised,source_tier,doc_type,doc_locator,source_slug,extracted,origin_record,notes
rwa-2024-01-19,RWA,national,,2024/25,2024-07-01,2025-06-30,,original,,,,,PRESIREP (institution 01),,"19 — Science, Technology Innovation And Research Development",,,,"19 — Science, Technology Innovation And Research Development","Science, Technology Innovation And Research Development — programme 19 under institution 01 PRESIREP, as printed in ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM to Itegeko n° 066/2024 ryo ku wa 26/06/2024 (Official Gazette n° Special of 29/06/2024).",tech.innovate,partial,"Science, Technology, Innovation and Research Development — broader than digital; contains digital R&D among other science. Amount not separable, so partial.",domestic-state,domestic-revenue,false,,RWF,"RWF full units, no multiplier",,883231852,917214603,,917122797,,appropriated,actual,103.8,100.0,budget-document,appropriation-act,"ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM, institution 01, programme 19",,2026-07-27,2024-06-26-rwa-2024-01-19,"Externally-financed share excluded from the amount, deliberately.** The programme's total in the annexe is RWF 1 883 231 853, of which RWF 1 000 000 001 is externally financed. The origin gate records only the state's own money as `domestic-state`; the external share names no funder in this document, so no `non-state` record is built from it either (driver → *Origin*). Do not read this record's total as the programme's total. · `scope_confidence: partial`** — the programme is broader than digital and the digital share is not separable. Finance compile reports partial records outside the headline total. · Executed above the original appropriation (103.8%).** The revised allocation (RWF 917 214 603) differs from the enacted one; both are recorded above, dated. · Money is carried in **RWF**, the announcing party's own currency. The USD figure is a dated conversion at the IMF annual-average rate for the fiscal year's start year and is a ball-park only."
rwa-2024-01-f5,RWA,national,,2024/25,2024-07-01,2025-06-30,,original,,,,,PRESIREP (institution 01),,F5 — Space Program,,,,F5 — Space Program,"Space Program — programme F5 under institution 01 PRESIREP, as printed in ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM to Itegeko n° 066/2024 ryo ku wa 26/06/2024 (Official Gazette n° Special of 29/06/2024).",data.satellite,whole,Space Programme: sub-programmes are remote sensing / geospatial / earth observation and satellite communication — data and connectivity infrastructure.,domestic-state,domestic-revenue,false,,RWF,"RWF full units, no multiplier",,3294665900,3294665900,,1063374001,,appropriated,actual,32.3,32.3,budget-document,appropriation-act,"ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM, institution 01, programme F5",,2026-07-27,2024-06-26-rwa-2024-01-f5,"Externally-financed share excluded from the amount, deliberately.** The programme's total in the annexe is RWF 6 390 345 459, of which RWF 3 095 679 559 is externally financed. The origin gate records only the state's own money as `domestic-state`; the external share names no funder in this document, so no `non-state` record is built from it either (driver → *Origin*). Do not read this record's total as the programme's total. · Money is carried in **RWF**, the announcing party's own currency. The USD figure is a dated conversion at the IMF annual-average rate for the fiscal year's start year and is a ball-park only."
rwa-2024-01-fp,RWA,national,,2024/25,2024-07-01,2025-06-30,,original,,,,,PRESIREP (institution 01),,FP — Cyberspace Protection,,,,FP — Cyberspace Protection,"Cyberspace Protection — programme FP under institution 01 PRESIREP, as printed in ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM to Itegeko n° 066/2024 ryo ku wa 26/06/2024 (Official Gazette n° Special of 29/06/2024).",infra.cybersec,whole,Programme title names cyberspace protection outright; the whole programme is a cybersecurity activity.,domestic-state,domestic-revenue,false,,RWF,"RWF full units, no multiplier",,1491676491,1709301957,,1277065053,,appropriated,actual,85.6,74.7,budget-document,appropriation-act,"ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM, institution 01, programme FP",,2026-07-27,2024-06-26-rwa-2024-01-fp,"Money is carried in **RWF**, the announcing party's own currency. The USD figure is a dated conversion at the IMF annual-average rate for the fiscal year's start year and is a ball-park only."
rwa-2024-01-fq,RWA,national,,2024/25,2024-07-01,2025-06-30,,original,,,,,PRESIREP (institution 01),,FQ — Cybersecurity Standards & Skills Development,,,,FQ — Cybersecurity Standards & Skills Development,"Cybersecurity Standards & Skills Development — programme FQ under institution 01 PRESIREP, as printed in ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM to Itegeko n° 066/2024 ryo ku wa 26/06/2024 (Official Gazette n° Special of 29/06/2024).",infra.cybersec,whole,Programme title names cybersecurity standards and skills; whole programme is a cybersecurity activity.,domestic-state,domestic-revenue,false,,RWF,"RWF full units, no multiplier",,921000000,753374534,,106246859,,appropriated,actual,11.5,14.1,budget-document,appropriation-act,"ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM, institution 01, programme FQ",,2026-07-27,2024-06-26-rwa-2024-01-fq,"Money is carried in **RWF**, the announcing party's own currency. The USD figure is a dated conversion at the IMF annual-average rate for the fiscal year's start year and is a ball-park only."
rwa-2024-01-fr,RWA,national,,2024/25,2024-07-01,2025-06-30,,original,,,,,PRESIREP (institution 01),,FR — Data Protection And Privacy,,,,FR — Data Protection And Privacy,"Data Protection And Privacy — programme FR under institution 01 PRESIREP, as printed in ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM to Itegeko n° 066/2024 ryo ku wa 26/06/2024 (Official Gazette n° Special of 29/06/2024).",gov.protect,whole,"Programme title is ""Data Protection and Privacy"" — a single-purpose data-governance programme, so the whole appropriation is the digital line (driver → Scope, single-mandate carve-out reasoning applied at programme level).",domestic-state,domestic-revenue,false,,RWF,"RWF full units, no multiplier",,150000000,100000000,,52710000,,appropriated,actual,35.1,52.7,budget-document,appropriation-act,"ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM, institution 01, programme FR",,2026-07-27,2024-06-26-rwa-2024-01-fr,"Money is carried in **RWF**, the announcing party's own currency. The USD figure is a dated conversion at the IMF annual-average rate for the fiscal year's start year and is a ball-park only."
rwa-2024-12-52,RWA,national,,2024/25,2024-07-01,2025-06-30,,original,,,,,MINECOFIN (institution 12),,"52 — Economic, Social And Demographic Statistics",,,,"52 — Economic, Social And Demographic Statistics","Economic, Social And Demographic Statistics — programme 52 under institution 12 MINECOFIN, as printed in ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM to Itegeko n° 066/2024 ryo ku wa 26/06/2024 (Official Gazette n° Special of 29/06/2024).",data.statistics,whole,"Economic, Social and Demographic Statistics — official statistics production, i.e. the state data function; sub-programmes include Big Data and Data Revolution.",domestic-state,domestic-revenue,false,,RWF,"RWF full units, no multiplier",,2039327746,1643898871,,1643147311,,appropriated,actual,80.6,100.0,budget-document,appropriation-act,"ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM, institution 12, programme 52",,2026-07-27,2024-06-26-rwa-2024-12-52,"Externally-financed share excluded from the amount, deliberately.** The programme's total in the annexe is RWF 9 346 839 993, of which RWF 7 307 512 247 is externally financed. The origin gate records only the state's own money as `domestic-state`; the external share names no funder in this document, so no `non-state` record is built from it either (driver → *Origin*). Do not read this record's total as the programme's total. · Money is carried in **RWF**, the announcing party's own currency. The USD figure is a dated conversion at the IMF annual-average rate for the fiscal year's start year and is a ball-park only."
rwa-2024-14-70,RWA,national,,2024/25,2024-07-01,2025-06-30,,original,,,,,MINEDUC (institution 14),,70 — Ict Integration In Education,,,,70 — Ict Integration In Education,"Ict Integration In Education — programme 70 under institution 14 MINEDUC, as printed in ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM to Itegeko n° 066/2024 ryo ku wa 26/06/2024 (Official Gazette n° Special of 29/06/2024).",capacity.literacy,whole,ICT Integration in Education — programme title names ICT; sub-programmes are primary/lower-secondary/upper-secondary ICT integration.,domestic-state,domestic-revenue,false,,RWF,"RWF full units, no multiplier",,6906511784,6465614090,,5643999664,,appropriated,actual,81.7,87.3,budget-document,appropriation-act,"ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM, institution 14, programme 70",,2026-07-27,2024-06-26-rwa-2024-14-70,"Externally-financed share excluded from the amount, deliberately.** The programme's total in the annexe is RWF 11 939 199 698, of which RWF 5 032 687 914 is externally financed. The origin gate records only the state's own money as `domestic-state`; the external share names no funder in this document, so no `non-state` record is built from it either (driver → *Origin*). Do not read this record's total as the programme's total. · Money is carried in **RWF**, the announcing party's own currency. The USD figure is a dated conversion at the IMF annual-average rate for the fiscal year's start year and is a ball-park only."
rwa-2024-14-es,RWA,national,,2024/25,2024-07-01,2025-06-30,,original,,,,,MINEDUC (institution 14),,ES — Ict In Education,,,,ES — Ict In Education,"Ict In Education — programme ES under institution 14 MINEDUC, as printed in ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM to Itegeko n° 066/2024 ryo ku wa 26/06/2024 (Official Gazette n° Special of 29/06/2024).",capacity.literacy,whole,ICT in Education — programme title names ICT.,domestic-state,domestic-revenue,false,,RWF,"RWF full units, no multiplier",,3250000000,938300000,,2368402334,,appropriated,actual,72.9,252.4,budget-document,appropriation-act,"ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM, institution 14, programme ES",,2026-07-27,2024-06-26-rwa-2024-14-es,"⚠ Executed above the revised allocation (252.4%).** Spending exceeded the figure printed in the *Allocated* column. Recorded as printed; not reconciled by this pass. · Money is carried in **RWF**, the announcing party's own currency. The USD figure is a dated conversion at the IMF annual-average rate for the fiscal year's start year and is a ball-park only."
rwa-2024-28-98,RWA,national,,2024/25,2024-07-01,2025-06-30,,original,,,,,MINICT (institution 28),,98 — Ict For Development,,,,98 — Ict For Development,"Ict For Development — programme 98 under institution 28 MINICT, as printed in ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM to Itegeko n° 066/2024 ryo ku wa 26/06/2024 (Official Gazette n° Special of 29/06/2024).",dpi.govtech,whole,ICT for Development — programme title names ICT; sub-programmes are ICT Support Services Development and Innovation and ICT Private Sector Development.,domestic-state,domestic-revenue,false,,RWF,"RWF full units, no multiplier",,8718840307,8755796505,,6416052226,,appropriated,actual,73.6,73.3,budget-document,appropriation-act,"ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM, institution 28, programme 98",,2026-07-27,2024-06-26-rwa-2024-28-98,"Externally-financed share excluded from the amount, deliberately.** The programme's total in the annexe is RWF 48 040 665 268, of which RWF 39 321 824 961 is externally financed. The origin gate records only the state's own money as `domestic-state`; the external share names no funder in this document, so no `non-state` record is built from it either (driver → *Origin*). Do not read this record's total as the programme's total. · Money is carried in **RWF**, the announcing party's own currency. The USD figure is a dated conversion at the IMF annual-average rate for the fiscal year's start year and is a ball-park only."
rwa-2024-28-b9,RWA,national,,2024/25,2024-07-01,2025-06-30,,original,,,,,MINICT (institution 28),,B9 — National Identification,,,,B9 — National Identification,"National Identification — programme B9 under institution 28 MINICT, as printed in ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM to Itegeko n° 066/2024 ryo ku wa 26/06/2024 (Official Gazette n° Special of 29/06/2024).",dpi.id,whole,"National Identification — sub-programmes are Identity Card Production and Distribution, and National ID System Infrastructure and Security.",domestic-state,domestic-revenue,false,,RWF,"RWF full units, no multiplier",,2166312861,3305312860,,3048446559,,appropriated,actual,140.7,92.2,budget-document,appropriation-act,"ANNEX II-2 2024-2025 — BUDGET BY INSTITUTION, PROGRAM AND SUB-PROGRAM, institution 28, programme B9",,2026-07-27,2024-06-26-rwa-2024-28-b9,"Executed above the original appropriation (140.7%).** The revised allocation (RWF 3 305 312 860) differs from the enacted one; both are recorded above, dated. · Money is carried in **RWF**, the announcing party's own currency. The USD figure is a dated conversion at the IMF annual-average rate for the fiscal year's start year and is a ball-park only."
