recipient_country,start_year,end_year,financier,sector,instrument,commitment_usd_m,amount_basis,amount_quality,status,title,description,beneficiary_type,recipient_organisation,original_amount,project_id,iati_activity_id,url,financier_slug,record
DJI,2026,,Linkwise Group,Data Storage,MoU,1350,commitment,reported,Pipeline,"LinkWise Group US$1.35 billion Djibouti integrated investment (100 MW AI compute centre, renewables, digital industrial park)",,PPP,Republic of Djibouti,,,,https://www.lanation.dj/un-partenariat-strategique-pour-faire-de-djibouti-un-pole-regional-de-linnovation/,linkwise-group,2026-07-19-linkwise-group-dji-2026-record
DJI,2025,,World Bank,Registries,Grant,31,commitment,exact,Active,Djibouti Integrated Community Resilience Project,"""The Project Development Objective (PDO) is to improve access to basic services and safety nets, and enhance economic opportunities for vulnerable communities, including refugees and host communities in target areas."" Three components: (1) social safety nets systems (US$15,000,000), including a component scaling Djibouti's national Social Registry (515,730 people registered as of February 2025, targeting 600,000) housed at the Ministry of Social Affairs and Solidarities (MASS) with an ANSIE interoperability upgrade; (2) socio-economic infrastructure and development of economic opportunities (US$14,000,000); (3) project management (US$2,000,000).",Public Sector,Republic of Djibouti,"SDR 23,800,000",P506969,,https://projects.worldbank.org/en/projects-operations/project-detail/P506969,world-bank,2025-03-14-wb-dji-007-djibouti-integrated-community-resilience-project
DJI,2025,2030,World Bank,Other GovTech and e-Gov,Concessional Loan,20,commitment,exact,Active,Djibouti Economic and Financial Governance Project,"Improves tax administration efficiency, expenditure management transparency, and citizen access to digital services in Djibouti. Includes tax administration system modernization, digital financial management information systems, and digital service delivery improvements. GovTech-focused intervention supporting PFM IT systems and revenue administration digitalization.",Public Sector,Republic of Djibouti,,P180696,44000-P180696,https://projects.worldbank.org/en/projects-operations/project-detail/P180696,world-bank,2025-01-01-wb-dji-001-djibouti-economic-and-financial-governance-project
DJI,2021,,World Bank,Connectivity,Concessional Loan,10,commitment,exact,Active,Djibouti Digital Foundations Project,"""The project development objective is to assist Djibouti in developing a favorable environment for the gradual introduction of competition and private-sector investment in ICT, and to promote the adoption of digital skills and services."" Component 1, Digital enabling environment and connectivity (Cost US$6,600,000); Component 2, Digital ecosystem, transformation and skills development (Cost US$3,200,000); Component 3, Project management (Cost US$1,200,000); Component 4, Contingent Emergency Response Component (CERC) (Cost US$0). ISR Sequence 8 (archived 10-Feb-2026) records the pilot phase connecting 33 MDAs (11 in Djibouti city, 22 in the regions), a generalisation phase targeting roughly 100 further MDAs, and a decision to initiate updating the Djibouti Smart Nation Strategy to align with the new National Development Plan and the new Cybersecurity Agency.",Public Sector,Republic of Djibouti,"US$11,000,000 total project cost (of which US$10,000,000 IBRD/IDA)",P174461,,https://documents1.worldbank.org/curated/en/099021026071059349/pdf/P174461-c8bd0e28-2653-456e-845a-f8242ec8facc.pdf,world-bank,2021-12-02-wb-dji-004-djibouti-digital-foundations-project
DJI,2020,,World Bank,Sectoral management information systems,Concessional Loan,42,commitment,exact,Active,Djibouti Expanding Opportunities for Learning Project,"""The project development objective is to increase equitable access to basic education, improve teaching practices, and strengthen MENFOP's management capacity."" Component 1, Establishing foundations for quality preschool education (Cost US$4,150,000); Component 2, Expanding access to and improving retention in primary and lower secondary education (Cost US$20,330,000); Component 3, Building capacity to support teaching and learning (Cost US$12,510,000); Component 4, Strengthening MENFOP's management capacity and data systems (Cost US$4,710,000). Originally approved 16-Jun-2020; Additional Financing (AF1) approved as part of the current-objective package on 31-Aug-2021; a second Additional Financing (AF2) became effective 11-Aug-2025. ISR Sequence 13 (archived 05-Feb-2026) rates progress toward the PDO upgraded from Moderately Satisfactory to Satisfactory, with implementation ""largely completed"" under the original financing and AF1.",Public Sector,Republic of Djibouti,,P166059,,https://documents1.worldbank.org/curated/en/099020526033041234/pdf/P166059-9743a34b-3e26-4cf3-b8b2-f04263fdc372.pdf,world-bank,2020-06-16-wb-dji-005-djibouti-expanding-opportunities-learning
DJI,2020,2027,Agence Française de Développement,Innovation ecosystem,Concessional Loan,11,commitment,exact,Active,Djibouti Digitalisation and Professionalisation of Higher Education,"Sovereign loan to support digitalisation and professionalisation of higher education in Djibouti. Develops digital learning infrastructure, capacity, and skills in the higher education system.",Public Sector,Republic of Djibouti,"EUR 10,000,000",CDJ1100,FR-3-CDJ1100,https://www.afd.fr/fr/carte-des-projets/numerisation-et-professionnalisation-de-lenseignement-superieur,afd,2020-01-01-afd-dji-001-djibouti-digitalisation-and-professionalisation-of-higher
DJI,2019,2021,Islamic Development Bank (IsDB),Connectivity,Commercial Loan,39,commitment,exact,Closed,DARE Regional Submarine Cable Project,"The project objective is to contribute to socioeconomic development of Djibouti by providing efficient and reliable Information and Communication Technology Services. Finances the Djibouti Africa Regional Express-1 (DARE-1) submarine cable, a 3,000 km undersea cable connecting Djibouti to Tanzania and other East African countries, making Djibouti a regional ICT hub. Target: internet access for 60 million regional subscribers.",Public Sector,Government of Djibouti / Djibouti Telecom,,,XM-DAC-46025-DJI1004,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46025-DJI1004,islamic-development-bank,2019-01-01-isdb-dji-dare-submarine-cable-2019-dare-regional-submarine-cable-project
DJI,2019,2026,World Bank,Registries,Concessional Loan,48,commitment,exact,Active,Djibouti Integrated Slum Upgrading Project,"""ISUP was approved by the World Bank Board of Directors on November 9, 2018, and became effective on March 11, 2019, with financing from IDA credit of US$15 million and a grant of US$5 million from the IDA 19 Window for Host Communities and Refugees. An additional financing (AF) was later approved on November 9, 2020, widening the scope of the project to additional neighborhoods and two refugee villages and to implementation of the National Refugee Law (NRL)."" The current revised development objective is ""(i) improve the living conditions of host communities and refugees in selected areas, and (ii) enhance the social and economic integration of host communities and refugees."" This restructuring paper (RES01465, in response to the Borrower's request of 7 December 2025) sought a 12-month extension of the AF closing date from 31 December 2025 to 31 December 2026, disbursement expected to rise from 68% to close to 100%, with minor Results Framework adjustments.",Public Sector,Republic of Djibouti,"Original: IDA Credit US$15,000,000 + IDA Grant US$5,000,000 (2018). Additional Financing: IDA Credit US$5,000,000 + IDA Grant US$25,000,000 (2020). Nominal total US$50,000,000",P162901,,https://documents1.worldbank.org/curated/en/099121825102510392/pdf/P162901-3cccce69-b9c0-4812-b1fc-dcb383364dbb.pdf,world-bank,2018-11-09-wb-dji-006-djibouti-integrated-slum-upgrading
DJI,2018,,World Bank,Other GovTech and e-Gov,Concessional Loan,15,commitment,exact,Closed,Djibouti Public Administration Modernization Project,"""The PDO is to enable access to e-government and promote efficiency of selected revenue administration services."" Component 1, Strengthening e-Government Foundation and Institutional Building (Approved US$9.5 million; Actual US$9.2 million), covered a digital platform and e-services, a Citizen Service Center pilot, and institution building — including an interoperable digital platform connecting tax, customs, justice, birth-certificate, driver's-licence, education, health and budget systems, a CERT and PKI, an e-ID unique identifier system, and an e-services portal. Credit 6627-DJ / IDA-62270, approved 25-Apr-2018. Restructured 17-Mar-2022 (the e-ID subcomponent was dropped and the Citizen Service Center pilot reduced in scope) and 31-Oct-2023 (closing-date extension only).",Public Sector,Republic of Djibouti,SDR 10.4 million,P162904,,https://documents1.worldbank.org/curated/en/099080525142540178/pdf/BOSIB-52d5d49a-e84f-4d03-9ca1-282ab3f38cab.pdf,world-bank,2018-04-25-wb-dji-003-djibouti-public-admin-modernization
DJI,2018,2021,China Ministry of Commerce,ICT Industry,Grant,23,commitment,exact,Closed,Chinese Government provides $20 million USD grant for Urban Security Monitoring System Project (Linked to Project ID#88678),"In 2006, amidst regional instability and terrorism, President of Djibouti Ismaïl Omar Guelleh ordered Djibouti's National Security Agency to conduct a feasibility study on a modern surveillance system for Djibouti City and the surrounding region. Then, on December 3, 2015, on the sidelines of the Summit of the Forum on China-Africa Cooperation (FSCA) held in Johannesburg, South Africa, Chinese President Xi Jinping and President Guelleh discussed the establishment of a framework for the implementation of a Chinese-installed video camera surveillance system. Then, on January 24, 2017 and February 2, 2017, the Chinese Government and the Government of Djibouti signed an exchange of letters in which the Chinese Government committed $20 million USD in grant funding to Djibouti for the Urban Security Monitoring System Project. China's Ministry of Commerce (MOFCOM) was the specific Chinese Government institution responsible for providing this grant.  A project management team had visited Djibouti for inspection work on July 18 to August 5, 2017. On December 5, 2017, MOFCOM released a tender notice for the project, which noted that the project had a planned start date in the third quarter of 2018 (between July 1 and September 30, 2018) with a planned construction period of 18 months (between January 1 and March 30, 2020). The contractor, a Chinese company, would work under an engineering, procurement, and construction (EPC contract), as well as provide two years of training and maintenance services and one year of technical support after the handover (for the MOFCOM tender notice, see ""采购招标公告""). China Railway Construction Group won the contract for the project in April 2018; it sent a technical team to carry out studies the same month. Then, in May 2018, China hosted a one-month long seminar and training on surveillance camera systems for 29 Djiboutian public security agents (see linked project ID#88678). In July 2018, a Djiboutian technical team finalized and signed an agre",Public Sector,Government of Djibouti,,aiddata-gcdf3-59548,,https://www.sohu.com/a/257932360_230289,china-ministry-of-commerce,2017-01-01-china-mofcom-dji-001-chinese-government-provides-20-million-usd
DJI,2015,2017,Islamic Development Bank (IsDB),Connectivity,Commercial Loan,17,commitment,exact,Closed,Regional Submarine Telecommunications Project,The objective of the project is to contribute to socioeconomic development of Djibouti by providing efficient and reliable Information and Communication Technology Services. Finances the AAE-1 submarine cable project connecting Djibouti to international broadband infrastructure.,Public Sector,Government of Djibouti / Djibouti Telecom,,,XM-DAC-46025-DJI0071,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46025-DJI0071,islamic-development-bank,2015-01-01-isdb-dji-submarine-telecom-2015-regional-submarine-telecommunications-project
DJI,2015,2021,World Bank,Digital Payments and Fintech,Concessional Loan,7,commitment,exact,Closed,Djibouti: Governance for Private Sector Development and Finance Project,"""The Project Development Objective is to help improve Djibouti's business environment."" Revised PDO: ""To improve the efficiency of business regulation and establish an automated National Payment System."" IDA Credits 5935-DJ and 5518-DJ, approved 23-Jun-2014, effective 12-Mar-2015, originally scheduled to close 31-Dec-2019, actually closed 30-Jun-2021, rated Outcome: Satisfactory.",Public Sector,Republic of Djibouti,SDR 5.1 million,P146250,,https://documents1.worldbank.org/curated/en/331131646420868726/pdf/Djibouti-Governance-for-Private-Sector-Development-and-Finance-Project.pdf,world-bank,2014-06-23-wb-dji-002-djibouti-governance-private-sector-development-finance
